Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
few-shot,GNA12-GPR55-RGS2 complex,Human,"Mouse (homologous complexes likely based on orthologs, but well-characterized complex and functional interactions are most prominent in human literature).","The GNA12-GPR55-RGS2 protein complex modulates G protein-coupled receptor (GPCR) signaling. In particular, GPR55 is an orphan GPCR activated by ligands such as lysophosphatidylinositol, which couples to Gα12 (GNA12) to mediate downstream signaling pathways, including regulation of cell morphology, proliferation, and cytoskeletal rearrangement. RGS2 functions as a GTPase-activating protein for GNA12, thus attenuating GNA12-mediated signaling.","Guanine nucleotide-binding protein subunit alpha-12 (GNA12), G protein-coupled receptor 55 (GPR55), Regulator of G-protein signaling 2 (RGS2)","GNA12, GPR55, RGS2",(0.95 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.255 + 0.25 + 0.15 = **0.94**
contextual,GNA12-GPR55-RGS2 complex,Human,"Mouse (GPR55 and GNA12 orthologs characterized; Rgs2 functionally conserved, but detailed complex assembly mainly described in human context).","This heterotrimeric signaling complex is involved in G-protein coupled receptor (GPCR) signal transduction, specifically mediating the effects of lysophosphatidylinositol (LPI) via GPR55 and regulation by RGS2. In humans, GPR55 acts as a receptor for LPI, activating GNA12 (a G12 family G alpha subunit), which can initiate downstream RhoA-dependent pathways; RGS2 serves as a negative regulator, accelerating GTP hydrolysis on G alpha subunits to terminate the signal. This complex is implicated in processes such as cell migration, inflammation, and possibly cancer progression.","G protein subunit alpha 12 (GNA12), G protein-coupled receptor 55 (GPR55), Regulator of G-protein signaling 2 (RGS2)","GNA12, GPR55, RGS2",(0.9 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.24 + 0.25 + 0.15 = **0.91**
zero-shot,** Melanocortin Receptor 3 Complex,** Human (Homo sapiens),,**,**,,**
few-shot,Melanocortin Receptor 3 Complex,Human,Mouse,"G protein-coupled receptor involved in energy homeostasis control, regulation of feeding behavior, and modulation of metabolic processes. It mediates effects of melanocortin peptides, notably ACTH and MSHs, through activation of cAMP signaling pathways in the hypothalamus and peripheral tissues.",Melanocortin receptor 3,MC3R,(0.97 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.291 + 0.285 + 0.25 + 0.15 = **0.976**
contextual,Melanocortin receptor 3 complex',Human',Mouse',"G protein-coupled receptor that binds melanocortin peptides (such as alpha-, beta-, and gamma-MSH and ACTH); participates in the regulation of energy homeostasis, body weight, and fat metabolism. In humans, it is implicated in the control of feeding behavior and energy expenditure.'",Melanocortin-3 receptor (MC3R)',MC3R',(1.0 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.285 + 0.25 + 0.15 = **0.985**'
zero-shot,ATP1A1-TSHR complex,Human (Homo sapiens),,"In humans, the ATP1A1-TSHR complex represents the physical and functional interaction between the Na⁺/K⁺ ATPase alpha-1 subunit (ATP1A1) and the Thyroid Stimulating Hormone Receptor (TSHR). Recent evidence indicates that ATP1A1 forms a regulatory complex with TSHR at the plasma membrane of thyrocytes. This interaction modulates the sensitivity of TSHR signaling, influencing thyroid hormone production and potentially impacting autoimmune thyroid diseases such as Graves' disease. ATP1A1 is primarily involved in ion transport and cell membrane potential maintenance, and its association with TSHR alters cAMP signaling in thyroid epithelial cells.; **Complex Components (Proteins)**:; - Na⁺/K⁺-transporting ATPase subunit alpha-1 (ATP1A1); - Thyroid stimulating hormone receptor (TSHR); **Corresponding Genes**:; - **ATP1A1** gene (encoding Na⁺/K⁺ ATPase alpha-1 subunit); - **TSHR** gene (encoding Thyroid Stimulating Hormone Receptor); **Occurrence in Other Listed Model Organisms**:; No evidence supports the existence of a functionally analogous or structurally conserved ATP1A1-TSHR protein complex in Mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae. The TSHR is a vertebrate-specific G protein-coupled receptor primarily studied in mammals (especially Human).; ---; **Self Confidence Score Equation**:; (Consistency: 1.00 × 0.3) + (Experimental Support: 0.60 × 0.3) + (Gene Mapping Accuracy: 1.00 × 0.25) + (Organism Specificity: 1.00 × 0.15) = 0.3 + 0.18 + 0.25 + 0.15 = **0.88**",,,
few-shot,ATP1A1-TSHR complex,Human,"Mouse (evidence for homologous interaction exists but best characterized in human), N/A for more distantly related organisms","This complex represents a physical interaction between the Na+/K+ ATPase alpha-1 subunit (ATP1A1) and the Thyroid Stimulating Hormone Receptor (TSHR) at the plasma membrane. In humans, this interaction has been proposed to facilitate TSHR-mediated signaling affecting ion transport, and modulate thyroid hormone synthesis and secretion by linking G-protein-coupled signaling with ion transport regulation.","Sodium/potassium-transporting ATPase subunit alpha-1 (ATP1A1), Thyroid stimulating hormone receptor (TSHR)","ATP1A1, TSHR",(0.90 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**
contextual,ATP1A1-TSHR complex,Human,"No confirmed reports of this specific protein-protein interaction complex in Mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.","The ATP1A1-TSHR complex has been described in human cells, involving the physical and functional interaction between the Na+/K+-ATPase alpha-1 subunit (ATP1A1) and the thyroid stimulating hormone receptor (TSHR). This receptor complex plays a modulatory role in thyroid hormone synthesis and secretion, signal transduction, and possibly in regulating ion balance at the thyroid cell membrane, with evidence supporting cross-talk relevant to the pathophysiology of Graves' disease.","Na+/K+-transporting ATPase subunit alpha-1 (ATP1A1), Thyroid stimulating hormone receptor (TSHR)","ATP1A1, TSHR",(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**
zero-shot,** ADRA1B–CXCR4 complex,** Human (Homo sapiens),,**,**,,**
few-shot,ADRA1B-CXCR4 complex,Human,Not well documented; reported complex formation is specific to human systems based on experimental studies.,"The ADRA1B-CXCR4 complex consists of a heteromeric association between the Alpha-1B adrenergic receptor (ADRA1B) and the chemokine receptor CXCR4. In humans, this complex has been demonstrated to mediate cross-talk between adrenergic and chemokine signaling pathways, impacting cellular responses such as ERK pathway activation and cell migration. The formation of this complex can influence physiological processes such as cancer cell proliferation and metastasis, particularly in prostate cancer models.","Alpha-1B adrenergic receptor, C-X-C chemokine receptor type 4","ADRA1B, CXCR4",(0.933 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.2799 + 0.285 + 0.25 + 0.15 = **0.9649**
contextual,ADRA1B-CXCR4 complex,Human,Mouse,"The ADRA1B-CXCR4 complex is a heteromeric association between the α1B-adrenergic receptor (ADRA1B) and the chemokine receptor CXCR4. In humans, this complex has been implicated in modulating intracellular Ca2+ signaling, cell migration, growth, and possibly cancer metastasis, by altering receptor signaling properties compared to individual receptors. The heteromerization can lead to altered G protein coupling, receptor internalization, and downstream signal transduction.","Alpha-1B adrenergic receptor (ADRA1B), C-X-C chemokine receptor type 4 (CXCR4)","ADRA1B, CXCR4",(0.93 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.279 + 0.24 + 0.25 + 0.15 = **0.919**
zero-shot,Bdkrb2-Tbxa2r Complex,Homo sapiens (Human),,"The Bdkrb2-Tbxa2r complex is a heteromeric protein complex involving the direct interaction between the Bradykinin receptor B2 (Bdkrb2) and Thromboxane A2 receptor (Tbxa2r), both of which are G protein-coupled receptors (GPCRs). This complex modulates signal transduction in vascular endothelium and smooth muscle, influencing vasoregulation, inflammation, and platelet function. The interaction has been implicated in the cross-talk between the kinin-kallikrein system and the thromboxane pathway, potentially affecting blood pressure regulation and prothrombotic processes.; List of Proteins in the Complex:; 1. Bdkrb2 (Bradykinin receptor B2); 2. Tbxa2r (Thromboxane A2 receptor); Corresponding Genes:; 1. **BDKRB2** (Bradykinin receptor B2 gene); 2. **TBXA2R** (Thromboxane A2 receptor gene); Other Organisms (from the 5 specified) where the protein complex is found:; — No substantial evidence supports the existence of a homologous Bdkrb2-Tbxa2r complex as a stable interaction or functional entity in Mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.; ---",,,**
few-shot,Bdkrb2-Tbxa2r complex',Human',"Mouse (functional orthologous GPCRs present, but direct evidence for the complex is lacking)'","This putative receptor complex may be involved in vascular responses, as both Bdkrb2 (Bradykinin receptor B2) and Tbxa2r (Thromboxane A2 receptor) are G protein-coupled receptors (GPCRs) implicated in vasoregulation, though direct experimental confirmation of their physical complex in vivo is limited. Functional crosstalk and potential heteromerization have been explored mainly in the context of human vascular tissue, affecting responses such as vasoconstriction and inflammatory signaling.'","Bradykinin receptor B2 (Bdkrb2), Thromboxane A2 receptor (Tbxa2r)'","BDKRB2, TBXA2R'",(0.8 × 0.3) + (0.7 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.24 + 0.21 + 0.25 + 0.15 = **0.85**'
contextual,Bdkrb2-Tbxa2r complex,Human,Mouse (orthologous genes); direct evidence for heteromeric complex primarily reported in Human.,"Mediates functional cross-talk between the bradykinin B2 receptor (BDKRB2) and the thromboxane A2 receptor (TBXA2R), facilitating heterodimerization that influences G-protein-coupled receptor signaling; involved in vascular tone regulation, inflammatory response, and platelet function.","Bradykinin receptor B2 (BDKRB2), Thromboxane A2 receptor (TBXA2R)","BDKRB2, TBXA2R",(1.0 × 0.3) + (0.7 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.21 + 0.25 + 0.15 = **0.91**
zero-shot,Drd3-Ednrb complex,Human (Homo sapiens),,"The Drd3-Ednrb complex refers to the direct or functional interaction between the Dopamine Receptor D3 (DRD3) and the Endothelin Receptor Type B (EDNRB). This complex is implicated in neural signaling mechanisms within the central nervous system. Specifically, there is evidence that co-expression or co-activation of DRD3 and EDNRB modulates dopaminergic neurotransmission and endothelium-derived signals, potentially impacting dopaminergic activity, vasoregulatory functions, and the pathophysiology of certain neuropsychiatric and neurovascular disorders. The functional interaction may involve physical association and/or signaling crosstalk.; List of Proteins in the Complex:; - Dopamine Receptor D3 (DRD3); - Endothelin Receptor Type B (EDNRB); Corresponding Genes:; - DRD3 gene (encoding Dopamine Receptor D3); - EDNRB gene (encoding Endothelin Receptor Type B); Other Organisms with the Complex:; There is no solid evidence that a direct Drd3-Ednrb complex with similar interactions or functions has been characterized in Mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae. The complex is referenced and studied predominantly in Homo sapiens.; ---",,,**; **
few-shot,Drd3-Ednrb complex,Mouse,Human,"The Drd3-Ednrb complex is a heteromeric G protein-coupled receptor (GPCR) complex formed by physical interaction between the dopamine receptor D3 (Drd3) and the endothelin receptor type B (Ednrb). In mouse, where this complex is most prominently researched, the Drd3-Ednrb heteromer modulates dopamine and endothelin-1-mediated intracellular signaling pathways, and is implicated in regulating synaptic plasticity, vasoreactivity, and neuroprotection, particularly in neural and vascular tissues.","Dopamine receptor D3, Endothelin receptor type B","Drd3, Ednrb",(0.9 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (0.95 × 0.15) = 0.27 + 0.24 + 0.25 + 0.1425 = **0.9025**
contextual,Drd3-Ednrb complex,Human,Mouse,"The Drd3-Ednrb complex is a heteromer formed by the physical association of the dopamine receptor D3 (DRD3) and the endothelin receptor type B (EDNRB), both of which are G protein-coupled receptors (GPCRs). This complex has been shown to modulate intracellular signaling pathways, particularly influencing cAMP accumulation and MAPK (ERK1/2) pathway signaling. It may play a role in neuromodulation, affecting dopamine and endothelin signaling integration, with implications in psychiatric and neurodegenerative disorders.","Dopamine receptor D3, Endothelin receptor type B","DRD3, EDNRB",(0.90 × 0.3) + (0.75 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.225 + 0.25 + 0.15 = **0.895**
zero-shot,** Egflam-Gpr179 Complex,** Mouse (*Mus musculus*),**,**,,,**; **
few-shot,Egflam-Gpr179 complex,Mouse,Human,"The Egflam-Gpr179 complex is essential for signal transduction at the photoreceptor-to-ON-bipolar cell synapse in the retina. It is involved in the regulation and localization of the mGluR6 signaling cascade, ensuring correct visual signal transmission by facilitating the postsynaptic accumulation and stability of GPR179, a key component necessary for ON-bipolar cell function.","EGFLAM (also known as Pikachurin), GPR179","Egflam, Gpr179",(1.0 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.285 + 0.25 + 0.15 = **0.985**
contextual,Egflam-Gpr179 complex,Human,Mouse,The Egflam-Gpr179 complex is crucial for mediating synaptic localization of the G protein-coupled receptor 179 (GPR179) at the dendritic tips of depolarizing bipolar cells in the retina. It is essential for proper functioning of the ON-bipolar cell signaling cascade and is vital for visual signal transmission across the photoreceptor-to-bipolar cell synapse. Disruption of this complex leads to congenital stationary night blindness.,"EGF-like, fibronectin type-III and laminin G-like domain-containing protein (EGFLAM, also called Pikachurin), G protein-coupled receptor 179 (GPR179)","EGFLAM, GPR179",(1.0 × 0.3) + (1.0 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.0**
zero-shot,** Ceacam1-4L-Syk-Tlr4 complex,** Mouse (Mus musculus),,**,**,,**; **
few-shot,Ceacam1-4L-Syk-Tlr4 complex,Mouse,No evidence for the same complex in other organisms; the specific interaction is described in mouse.,"The Ceacam1-4L-Syk-Tlr4 complex is involved in immune cell signaling in response to bacterial lipopolysaccharide (LPS). Specifically, in mouse granulocytes, the long isoform of CEACAM1 (Ceacam1-4L) associates with the spleen tyrosine kinase (Syk) and toll-like receptor 4 (Tlr4), regulating the cellular response to LPS. This interaction modulates TLR4-mediated signaling, affects innate immune responses, and can impact inflammation and host defense against pathogens.",- Carcinoembryonic antigen-related cell adhesion molecule 1 long isoform (Ceacam1-4L); - Spleen tyrosine kinase (Syk); - Toll-like receptor 4 (Tlr4),- Ceacam1; - Syk; - Tlr4,(0.85 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.255 + 0.285 + 0.25 + 0.15 = **0.94**
contextual,Ceacam1-4L-Syk-Tlr4 complex,Mouse (Mus musculus),"Orthologous complexes featuring CEACAM1, SYK, and TLR4 have been described in humans, but the defined ""Ceacam1-4L-Syk-Tlr4"" assembly with the characterized mouse Ceacam1-4L isoform is best studied in mouse.","This signaling complex mediates immune responses in myeloid cells. Upon stimulation via TLR4 (Toll-like receptor 4), CEACAM1-4L (Carcinoembryonic antigen-related cell adhesion molecule 1, long isoform) recruits Syk (Spleen tyrosine kinase) to enhance or modulate downstream signaling pathways such as NF-κB activation, cytokine production, and cell activation during pathogen recognition (e.g., LPS recognition). The 4L isoform of CEACAM1 is particularly important for signaling in myeloid cells and requires association with both TLR4 and Syk for full function.","CEACAM1-4L (Carcinoembryonic antigen-related cell adhesion molecule 1, long isoform), SYK (Spleen tyrosine kinase), TLR4 (Toll-like receptor 4)","Ceacam1, Syk, Tlr4",(0.92 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.276 + 0.285 + 0.25 + 0.15 = **0.961**
zero-shot,KDR-NRP1-VEGF165 Complex,Human (Homo sapiens),,"This complex is central to the regulation of angiogenesis — the formation of new blood vessels. Upon binding of VEGF165 (a major pro-angiogenic isoform of vascular endothelial growth factor A), Neuropilin-1 (NRP1) acts as a co-receptor, enhancing the interaction and signal transduction mediated by KDR (also known as VEGFR2 or FLK1). The assembly of VEGF165, NRP1, and KDR triggers downstream signaling, promoting endothelial cell proliferation, migration, and survival — critical for vascular development and pathological angiogenesis (e.g., in cancer or retinopathies).; Proteins in the Complex:; 1. KDR (Kinase insert Domain Receptor; also called VEGFR2/FLK1) – primary signaling receptor tyrosine kinase for VEGF.; 2. NRP1 (Neuropilin-1) – co-receptor that enhances VEGF-mediated signaling.; 3. VEGF165 (the 165 amino acid isoform of Vascular Endothelial Growth Factor A) – ligand.; Corresponding Genes:; 1. KDR – Gene: **KDR**; 2. NRP1 – Gene: **NRP1**; 3. VEGF165 – Gene: **VEGFA** (VEGF165 is a splice isoform).; Presence in Other Organisms from List:; - Mouse (Mus musculus): Orthologous proteins and complex exist, but the conventional nomenclature and the vast majority of functional/structural data references the human complex.; - C. elegans, Drosophila melanogaster, Saccharomyces cerevisiae: No direct orthologs or functional complex exists.; Self Confidence Score Equation:; - Consistency of information across different databases/sources (0.3): 1.00; - Supporting experimental data regarding the complex (0.3): 1.00; - Accuracy of corresponding protein-gene mapping (0.25): 1.00; - Analysis information being organism-specific (0.15): 1.00; Confidence score equation:; (1.00 × 0.3) + (1.00 × 0.3) + (1.00 × 0.25) + (1.00 × 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**",,,
few-shot,KDR-NRP1-VEGF165 complex,Human,Mouse,"Mediates high-affinity binding of vascular endothelial growth factor-A165 (VEGF-A165) to its main receptor KDR (VEGFR2), with neuropilin-1 (NRP1) acting as a co-receptor. This complex formation significantly enhances VEGF-A signaling, promoting angiogenesis via cellular proliferation, migration, and new blood vessel formation in humans.","Vascular endothelial growth factor receptor 2 (KDR/VEGFR2), Neuropilin-1 (NRP1), Vascular endothelial growth factor A165 (VEGF165, a specific isoform of VEGFA)","KDR, NRP1, VEGFA",(0.98 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.294 + 0.285 + 0.25 + 0.15 = **0.979**
contextual,KDR-NRP1-VEGF165 complex,Human,Mouse,"This complex mediates vascular endothelial growth factor A (VEGF-A165) signaling crucial for angiogenesis. VEGF165 binds simultaneously to VEGF receptor 2 (KDR/VEGFR2) and Neuropilin-1 (NRP1), forming a ternary complex that enhances receptor activation, signal transduction, and downstream effects such as endothelial cell proliferation, migration, and new blood vessel formation.","Vascular endothelial growth factor receptor 2 (KDR/VEGFR2), Neuropilin-1 (NRP1), Vascular endothelial growth factor 165 isoform (VEGF165/VEGFA165)","KDR (also known as FLK1 or VEGFR2), NRP1, VEGFA",(1.0 × 0.3) + (1.0 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**
zero-shot,** NRP1-VEGF121 Complex,** Human (Homo sapiens),,**,,,**
few-shot,NRP1-VEGF121 complex,Human,Mouse,"The NRP1-VEGF121 complex mediates the binding of vascular endothelial growth factor 121 (VEGF121) to neuropilin-1 (NRP1), enhancing VEGF signaling specificity and modulating angiogenesis through VEGFR2-dependent and -independent pathways. NRP1 acts as a non-tyrosine kinase co-receptor for VEGF121, facilitating endothelial cell migration, survival, and blood vessel formation.","Neuropilin-1 (NRP1), Vascular endothelial growth factor A, isoform 121 (VEGFA-121)","NRP1, VEGFA",(1.0 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.285 + 0.25 + 0.15 = **0.985**
