Protein,Organism
"['Cytochrome b', 'Cytochrome c1', 'Ubiquinol-cytochrome c reductase complex subunit 7', 'Ubiquinol-cytochrome c reductase complex subunit 6', 'Ubiquinol-cytochrome c reductase core protein 2', 'Ubiquinol-cytochrome c reductase core protein 1', 'Ubiquinol-cytochrome c reductase complex subunit 8', 'Ubiquinol-cytochrome c reductase complex subunit 9', 'Ubiquinol-cytochrome c reductase complex subunit 10', 'Ubiquinol-cytochrome c reductase complex subunit 11']",Homo Sapiens
"['Cytochrome b', 'Cytochrome c1', 'Ubiquinol-cytochrome c reductase complex subunit 7', 'Ubiquinol-cytochrome c reductase complex subunit 6', 'Ubiquinol-cytochrome c reductase core protein 2', 'Ubiquinol-cytochrome c reductase core protein 1', 'Ubiquinol-cytochrome c reductase complex subunit 8', 'Ubiquinol-cytochrome c reductase complex subunit 9', 'Ubiquinol-cytochrome c reductase complex subunit 10', 'Ubiquinol-cytochrome c reductase complex subunit 11']",Homo Sapiens
"['Zip1p', 'Hop1p', 'Red1p', 'Ecm11p', 'Gmc2p']",Saccharomyces cerevisiae
"['Zip1', 'Hop1', 'Red1', 'Mek1/Mre4']",Saccharomyces cerevisiae
"['EGF-like', 'fibronectin type-III and laminin G-like domain-containing protein', 'Probable G-protein coupled receptor 179']",Mus Musculus
"['Pikachurin', 'Probable G-protein coupled receptor 179']",Mus Musculus
"['Ceacam1-4L', 'Syk', 'Tlr4']",Mus Musculus
"['Carcinoembryonic antigen-related cell adhesion molecule 1 isoform 4L', 'Tyrosine-protein kinase SYK', 'Toll-like receptor 4']",Mus Musculus
"['Carcinoembryonic antigen-related cell adhesion molecule 1 isoform 4L', 'Tyrosine-protein kinase SYK', 'Toll-like receptor 4']",Mus Musculus
"['KDR', 'NRP1', 'VEGF165']",Homo Sapiens
"['Vascular endothelial growth factor receptor 2', 'Neuropilin-1', 'Vascular endothelial growth factor A isoform 165']",Homo Sapiens
"['Vascular endothelial growth factor receptor 2', 'Neuropilin-1', 'Vascular endothelial growth factor A isoform 165']",Homo Sapiens
"['Neuropilin-1', 'Vascular endothelial growth factor A isoform 121']",Homo Sapiens
"['Neuropilin-1', 'Vascular endothelial growth factor A isoform 121']",Homo Sapiens
"['KDR', 'VEGF165']",Homo Sapiens
"['Vascular endothelial growth factor receptor 2', 'Vascular endothelial growth factor A isoform VEGF165']",Homo Sapiens
"['Vascular endothelial growth factor receptor 2', 'Vascular endothelial growth factor A isoform 165']",Homo Sapiens
"['Histone acetyltransferase KAT5', 'RNA polymerase II-associated factor 1 homolog', 'Actin-like protein 6A', 'Bromodomain-containing protein 8', 'E1A-binding protein p400', 'Transformation/transcription domain-associated protein', 'Enhancer of polycomb homolog 1', 'MRG domain-binding protein', 'Gas41-like protein']",Homo Sapiens
"['GPS1', 'COPS2', 'COPS3', 'COPS4', 'COPS5', 'COPS6', 'COPS7A', 'COPS8.']",Homo Sapiens
"['Scl1p', 'Pre8p', 'Scl1p', 'Pre6p', 'Pup2p', 'Pre5p', 'Pre10p', 'Pre3p', 'Pup1p', 'Pup3p', 'Pre1p', 'Pre2p', 'Pre7p', 'Pre4p']",Saccharomyces cerevisiae
"['Scl1p', 'Pre8p', 'Scl1p', 'Pre6p', 'Pup2p', 'Pre5p', 'Pre10p', 'Pre3p', 'Pup1p', 'Pup3p', 'Pre1p', 'Pre2p', 'Pre7p', 'Pre4p']",Saccharomyces cerevisiae
"['Scl1p', 'Pre8p', 'Scl1p', 'Pre6p', 'Pup2p', 'Pre5p', 'Pre10p', 'Pre3p', 'Pup1p', 'Pup3p', 'Pre1p', 'Pre2p', 'Pre7p', 'Pre4p']",Saccharomyces cerevisiae
"['Scl1p', 'Pre8p', 'Scl1p', 'Pre6p', 'Pup2p', 'Pre5p', 'Pre10p', 'Pre3p', 'Pup1p', 'Pup3p', 'Pre1p', 'Pre2p', 'Pre7p', 'Pre4p']",Saccharomyces cerevisiae
"['Scl1p', 'Pre8p', 'Scl1p', 'Pre6p', 'Pup2p', 'Pre5p', 'Pre10p', 'Pre3p', 'Pup1p', 'Pup3p', 'Pre1p', 'Pre2p', 'Pre7p', 'Pre4p']",Saccharomyces cerevisiae
"['20S proteasome subunit alpha 1', '20S proteasome subunit alpha 2', '20S proteasome subunit alpha 3', '20S proteasome subunit alpha 4', '20S proteasome subunit alpha 5', '20S proteasome subunit alpha 6', '20S proteasome subunit alpha 7', '20S proteasome subunit beta 1', '20S proteasome subunit beta 2', '20S proteasome subunit beta 3', '20S proteasome subunit beta 4', '20S proteasome subunit beta 5', '20S proteasome subunit beta 6', '20S proteasome subunit beta 7']",Saccharomyces cerevisiae
"['20S proteasome subunit alpha 1', '20S proteasome subunit alpha 2', '20S proteasome subunit alpha 3', '20S proteasome subunit alpha 4', '20S proteasome subunit alpha 5', '20S proteasome subunit alpha 6', '20S proteasome subunit alpha 7', '20S proteasome subunit beta 1', '20S proteasome subunit beta 2', '20S proteasome subunit beta 3', '20S proteasome subunit beta 4', '20S proteasome subunit beta 5', '20S proteasome subunit beta 6', '20S proteasome subunit beta 7']",Saccharomyces cerevisiae
"['20S proteasome subunit alpha 1', '20S proteasome subunit alpha 2', '20S proteasome subunit alpha 3', '20S proteasome subunit alpha 4', '20S proteasome subunit alpha 5', '20S proteasome subunit alpha 6', '20S proteasome subunit alpha 7', '20S proteasome subunit beta 1', '20S proteasome subunit beta 2', '20S proteasome subunit beta 3', '20S proteasome subunit beta 4', '20S proteasome subunit beta 5', '20S proteasome subunit beta 6', '20S proteasome subunit beta 7']",Saccharomyces cerevisiae
"['20S proteasome subunit alpha 1', '20S proteasome subunit alpha 2', '20S proteasome subunit alpha 3', '20S proteasome subunit alpha 4', '20S proteasome subunit alpha 5', '20S proteasome subunit alpha 6', '20S proteasome subunit alpha 7', '20S proteasome subunit beta 1', '20S proteasome subunit beta 2', '20S proteasome subunit beta 3', '20S proteasome subunit beta 4', '20S proteasome subunit beta 5', '20S proteasome subunit beta 6', '20S proteasome subunit beta 7']",Saccharomyces cerevisiae
"['20S proteasome subunit alpha 1', '20S proteasome subunit alpha 2', '20S proteasome subunit alpha 3', '20S proteasome subunit alpha 4', '20S proteasome subunit alpha 5', '20S proteasome subunit alpha 6', '20S proteasome subunit alpha 7', '20S proteasome subunit beta 1', '20S proteasome subunit beta 2', '20S proteasome subunit beta 3', '20S proteasome subunit beta 4', '20S proteasome subunit beta 5', '20S proteasome subunit beta 6', '20S proteasome subunit beta 7']",Saccharomyces cerevisiae
"['20S proteasome subunit alpha 1', '20S proteasome subunit alpha 2', '20S proteasome subunit alpha 3', '20S proteasome subunit alpha 4', '20S proteasome subunit alpha 5', '20S proteasome subunit alpha 6', '20S proteasome subunit alpha 7', '20S proteasome subunit beta 1', '20S proteasome subunit beta 2', '20S proteasome subunit beta 3', '20S proteasome subunit beta 4', '20S proteasome subunit beta 5', '20S proteasome subunit beta 6', '20S proteasome subunit beta 7']",Saccharomyces cerevisiae
"['20S proteasome subunit alpha 1', '20S proteasome subunit alpha 2', '20S proteasome subunit alpha 3', '20S proteasome subunit alpha 4', '20S proteasome subunit alpha 5', '20S proteasome subunit alpha 6', '20S proteasome subunit alpha 7', '20S proteasome subunit beta 1', '20S proteasome subunit beta 2', '20S proteasome subunit beta 3', '20S proteasome subunit beta 4', '20S proteasome subunit beta 5', '20S proteasome subunit beta 6', '20S proteasome subunit beta 7']",Saccharomyces cerevisiae
"['20S proteasome subunit alpha 1', '20S proteasome subunit alpha 2', '20S proteasome subunit alpha 3', '20S proteasome subunit alpha 4', '20S proteasome subunit alpha 5', '20S proteasome subunit alpha 6', '20S proteasome subunit alpha 7', '20S proteasome subunit beta 1', '20S proteasome subunit beta 2', '20S proteasome subunit beta 3', '20S proteasome subunit beta 4', '20S proteasome subunit beta 5', '20S proteasome subunit beta 6', '20S proteasome subunit beta 7']",Saccharomyces cerevisiae
"['20S proteasome subunit alpha 1', '20S proteasome subunit alpha 2', '20S proteasome subunit alpha 3', '20S proteasome subunit alpha 4', '20S proteasome subunit alpha 5', '20S proteasome subunit alpha 6', '20S proteasome subunit alpha 7', '20S proteasome subunit beta 1', '20S proteasome subunit beta 2', '20S proteasome subunit beta 3', '20S proteasome subunit beta 4', '20S proteasome subunit beta 5', '20S proteasome subunit beta 6', '20S proteasome subunit beta 7']",Saccharomyces cerevisiae
"['20S proteasome subunit alpha 1', '20S proteasome subunit alpha 2', '20S proteasome subunit alpha 3', '20S proteasome subunit alpha 4', '20S proteasome subunit alpha 5', '20S proteasome subunit alpha 6', '20S proteasome subunit alpha 7', '20S proteasome subunit beta 1', '20S proteasome subunit beta 2', '20S proteasome subunit beta 3', '20S proteasome subunit beta 4', '20S proteasome subunit beta 5', '20S proteasome subunit beta 6', '20S proteasome subunit beta 7']",Saccharomyces cerevisiae
"['20S proteasome subunit alpha 1', '20S proteasome subunit alpha 2', '20S proteasome subunit alpha 3', '20S proteasome subunit alpha 4', '20S proteasome subunit alpha 5', '20S proteasome subunit alpha 6', '20S proteasome subunit alpha 7', '20S proteasome subunit beta 1', '20S proteasome subunit beta 2', '20S proteasome subunit beta 3', '20S proteasome subunit beta 4', '20S proteasome subunit beta 5', '20S proteasome subunit beta 6', '20S proteasome subunit beta 7']",Saccharomyces cerevisiae
"['20S proteasome subunit alpha 1', '20S proteasome subunit alpha 2', '20S proteasome subunit alpha 3', '20S proteasome subunit alpha 4', '20S proteasome subunit alpha 5', '20S proteasome subunit alpha 6', '20S proteasome subunit alpha 7', '20S proteasome subunit beta 1', '20S proteasome subunit beta 2', '20S proteasome subunit beta 3', '20S proteasome subunit beta 4', '20S proteasome subunit beta 5', '20S proteasome subunit beta 6', '20S proteasome subunit beta 7']",Saccharomyces cerevisiae
"['20S proteasome subunit alpha 1', '20S proteasome subunit alpha 2', '20S proteasome subunit alpha 3', '20S proteasome subunit alpha 4', '20S proteasome subunit alpha 5', '20S proteasome subunit alpha 6', '20S proteasome subunit alpha 7', '20S proteasome subunit beta 1', '20S proteasome subunit beta 2', '20S proteasome subunit beta 3', '20S proteasome subunit beta 4', '20S proteasome subunit beta 5', '20S proteasome subunit beta 6', '20S proteasome subunit beta 7']",Saccharomyces cerevisiae
"['20S proteasome subunit alpha 1', '20S proteasome subunit alpha 2', '20S proteasome subunit alpha 3', '20S proteasome subunit alpha 4', '20S proteasome subunit alpha 5', '20S proteasome subunit alpha 6', '20S proteasome subunit alpha 7', '20S proteasome subunit beta 1', '20S proteasome subunit beta 2', '20S proteasome subunit beta 3', '20S proteasome subunit beta 4', '20S proteasome subunit beta 5', '20S proteasome subunit beta 6', '20S proteasome subunit beta 7']",Saccharomyces cerevisiae
"['Glutamate receptor ionotropic', 'NMDA 1', 'Pyrimidinergic receptor P2Y4']",Homo Sapiens
"['Cog1p', 'Cog2p', 'Cog3p', 'Cog4p', 'Cog5p', 'Cog6p', 'Cog7p', 'Cog8p']",Saccharomyces cerevisiae
"['Cog1p', 'Cog2p', 'Cog3p', 'Cog4p', 'Cog5p', 'Cog6p', 'Cog7p', 'Cog8p']",Saccharomyces cerevisiae
"['Cog1p', 'Cog2p', 'Cog3p', 'Cog4p', 'Cog5p', 'Cog6p', 'Cog7p', 'Cog8p']",Saccharomyces cerevisiae
"['Cog1p', 'Cog2p', 'Cog3p', 'Cog4p', 'Cog5p', 'Cog6p', 'Cog7p', 'Cog8p']",Saccharomyces cerevisiae
"['Cog1p', 'Cog2p', 'Cog3p', 'Cog4p', 'Cog5p', 'Cog6p', 'Cog7p', 'Cog8p']",Saccharomyces cerevisiae
"['Cog1p', 'Cog2p', 'Cog3p', 'Cog4p', 'Cog5p', 'Cog6p', 'Cog7p', 'Cog8p']",Saccharomyces cerevisiae
"['Gpi14p', 'Pbn1p', 'Gpi13p']",Saccharomyces cerevisiae
"['Gpi14p', 'Pbn1p', 'Gpi13p']",Saccharomyces cerevisiae
"['Gpi14p', 'Pbn1p', 'Gpi13p']",Saccharomyces cerevisiae
"['Glycosylphosphatidylinositol-mannosyltransferase 1', 'Phosphatidylinositol glycan anchor biosynthesis class U protein', 'Phosphatidylinositol glycan anchor biosynthesis class Q protein']",Saccharomyces cerevisiae
"['Glycosylphosphatidylinositol-mannosyltransferase 1', 'Phosphatidylinositol glycan anchor biosynthesis class U protein', 'Phosphatidylinositol glycan anchor biosynthesis class Q protein']",Saccharomyces cerevisiae
"['Glycosylphosphatidylinositol-mannosyltransferase 1', 'Phosphatidylinositol glycan anchor biosynthesis class U protein', 'Phosphatidylinositol glycan anchor biosynthesis class Q protein']",Saccharomyces cerevisiae
"['Dsl1p', 'Dsl3p', 'Tip20p']",Saccharomyces cerevisiae
"['Dsl1p', 'Dsl3p', 'Tip20p']",Saccharomyces cerevisiae
"['AP1G1', 'AP1B1', 'AP1M1', 'AP1S1.']",Homo Sapiens
"['AP-1 complex subunit gamma-1', 'AP-1 complex subunit beta-1', 'AP-1 complex subunit mu-1', 'AP-1 complex subunit sigma-1A', 'AP-1 complex subunit sigma-1B']",Homo Sapiens
"['AP-1 complex subunit gamma-1', 'AP-1 complex subunit beta-1', 'AP-1 complex subunit mu-1', 'AP-1 complex subunit sigma-1A', 'AP-1 complex subunit sigma-1B']",Homo Sapiens
"['Pan1p', 'End3p', 'Sla1p']",Saccharomyces cerevisiae
"['Pan1p', 'End3p', 'Sla1p']",Saccharomyces cerevisiae
"['Pan1p', 'End3p', 'Sla1p']",Saccharomyces cerevisiae
"['Actin cytoskeleton-regulatory complex protein PAN1', 'Protein APP1', 'Eps15-like protein 1', 'Eps15-like protein 2']",Saccharomyces cerevisiae
"['Actin cytoskeleton-regulatory complex protein PAN1', 'Protein APP1', 'Eps15-like protein 1', 'Eps15-like protein 2']",Saccharomyces cerevisiae
"['Actin cytoskeleton-regulatory complex protein PAN1', 'Protein APP1', 'Eps15-like protein 1', 'Eps15-like protein 2']",Saccharomyces cerevisiae
"['Protein kinase AMP-activated catalytic subunit alpha 1', 'Protein kinase AMP-activated catalytic subunit alpha 2', 'Protein kinase AMP-activated non-catalytic subunit beta 1', 'Protein kinase AMP-activated non-catalytic subunit beta 2', 'Protein kinase AMP-activated non-catalytic subunit gamma 1', 'Protein kinase AMP-activated non-catalytic subunit gamma 2', 'Protein kinase AMP-activated non-catalytic subunit gamma 3']",Homo Sapiens
"['Protein kinase AMP-activated catalytic subunit alpha 1', 'Protein kinase AMP-activated catalytic subunit alpha 2', 'Protein kinase AMP-activated non-catalytic subunit beta 1', 'Protein kinase AMP-activated non-catalytic subunit beta 2', 'Protein kinase AMP-activated non-catalytic subunit gamma 1', 'Protein kinase AMP-activated non-catalytic subunit gamma 2', 'Protein kinase AMP-activated non-catalytic subunit gamma 3']",Homo Sapiens
"['Protein kinase AMP-activated catalytic subunit alpha 1', 'Protein kinase AMP-activated catalytic subunit alpha 2', 'Protein kinase AMP-activated non-catalytic subunit beta 1', 'Protein kinase AMP-activated non-catalytic subunit beta 2', 'Protein kinase AMP-activated non-catalytic subunit gamma 1', 'Protein kinase AMP-activated non-catalytic subunit gamma 2', 'Protein kinase AMP-activated non-catalytic subunit gamma 3']",Homo Sapiens
"['Protein kinase AMP-activated catalytic subunit alpha 1', 'Protein kinase AMP-activated catalytic subunit alpha 2', 'Protein kinase AMP-activated non-catalytic subunit beta 1', 'Protein kinase AMP-activated non-catalytic subunit beta 2', 'Protein kinase AMP-activated non-catalytic subunit gamma 1', 'Protein kinase AMP-activated non-catalytic subunit gamma 2', 'Protein kinase AMP-activated non-catalytic subunit gamma 3']",Homo Sapiens
"['Protein kinase AMP-activated catalytic subunit alpha 1', 'Protein kinase AMP-activated catalytic subunit alpha 2', 'Protein kinase AMP-activated non-catalytic subunit beta 1', 'Protein kinase AMP-activated non-catalytic subunit beta 2', 'Protein kinase AMP-activated non-catalytic subunit gamma 1', 'Protein kinase AMP-activated non-catalytic subunit gamma 2', 'Protein kinase AMP-activated non-catalytic subunit gamma 3']",Homo Sapiens
"['Protein kinase AMP-activated catalytic subunit alpha 1', 'Protein kinase AMP-activated catalytic subunit alpha 2', 'Protein kinase AMP-activated non-catalytic subunit beta 1', 'Protein kinase AMP-activated non-catalytic subunit beta 2', 'Protein kinase AMP-activated non-catalytic subunit gamma 1', 'Protein kinase AMP-activated non-catalytic subunit gamma 2', 'Protein kinase AMP-activated non-catalytic subunit gamma 3']",Homo Sapiens
"['Augmin subunit 1', 'Augmin subunit 2', 'Augmin subunit 3', 'Augmin subunit 4', 'Augmin subunit 5', 'Augmin subunit 6', 'Augmin subunit 7', 'Augmin subunit 8']",Drosophila Melanogaster
"['Augmin subunit 1', 'Augmin subunit 2', 'Augmin subunit 3', 'Augmin subunit 4', 'Augmin subunit 5', 'Augmin subunit 6', 'Augmin subunit 7', 'Augmin subunit 8']",Drosophila Melanogaster
"['Augmin subunit 1', 'Augmin subunit 2', 'Augmin subunit 3', 'Augmin subunit 4', 'Augmin subunit 5', 'Augmin subunit 6', 'Augmin subunit 7', 'Augmin subunit 8']",Drosophila Melanogaster
"['Augmin subunit 1', 'Augmin subunit 2', 'Augmin subunit 3', 'Augmin subunit 4', 'Augmin subunit 5', 'Augmin subunit 6', 'Augmin subunit 7', 'Augmin subunit 8']",Drosophila Melanogaster
"['Augmin subunit 1', 'Augmin subunit 2', 'Augmin subunit 3', 'Augmin subunit 4', 'Augmin subunit 5', 'Augmin subunit 6', 'Augmin subunit 7', 'Augmin subunit 8']",Drosophila Melanogaster
"['Augmin subunit 1', 'Augmin subunit 2', 'Augmin subunit 3', 'Augmin subunit 4', 'Augmin subunit 5', 'Augmin subunit 6', 'Augmin subunit 7', 'Augmin subunit 8']",Drosophila Melanogaster
"['Augmin subunit 1', 'Augmin subunit 2', 'Augmin subunit 3', 'Augmin subunit 4', 'Augmin subunit 5', 'Augmin subunit 6', 'Augmin subunit 7', 'Augmin subunit 8']",Drosophila Melanogaster
"['Augmin subunit 1', 'Augmin subunit 2', 'Augmin subunit 3', 'Augmin subunit 4', 'Augmin subunit 5', 'Augmin subunit 6', 'Augmin subunit 7', 'Augmin subunit 8']",Drosophila Melanogaster
"['Myb', 'Mip120', 'Mip130', 'p55/CAF1', 'Mip40']",Drosophila Melanogaster
"['Myeloblastosis oncoprotein-related protein B', 'Modulo', 'Always early', 'Multivulva B', 'MuvB complex subunit Lin-37 homolog', 'MuvB complex subunit Lin-52 homolog', 'MuvB complex subunit Lin-54 homolog', 'Chromatin accessibility complex protein 1']",Drosophila Melanogaster
"['Myeloblastosis oncoprotein-related protein B', 'Modulo', 'Always early', 'Multivulva B', 'MuvB complex subunit Lin-37 homolog', 'MuvB complex subunit Lin-52 homolog', 'MuvB complex subunit Lin-54 homolog', 'Chromatin accessibility complex protein 1']",Drosophila Melanogaster
"['Myeloblastosis oncoprotein-related protein B', 'Modulo', 'Always early', 'Multivulva B', 'MuvB complex subunit Lin-37 homolog', 'MuvB complex subunit Lin-52 homolog', 'MuvB complex subunit Lin-54 homolog', 'Chromatin accessibility complex protein 1']",Drosophila Melanogaster
"['Myeloblastosis oncoprotein-related protein B', 'Modulo', 'Always early', 'Multivulva B', 'MuvB complex subunit Lin-37 homolog', 'MuvB complex subunit Lin-52 homolog', 'MuvB complex subunit Lin-54 homolog', 'Chromatin accessibility complex protein 1']",Drosophila Melanogaster
"['Myeloblastosis oncoprotein-related protein B', 'Modulo', 'Always early', 'Multivulva B', 'MuvB complex subunit Lin-37 homolog', 'MuvB complex subunit Lin-52 homolog', 'MuvB complex subunit Lin-54 homolog', 'Chromatin accessibility complex protein 1']",Drosophila Melanogaster
"['Myeloblastosis oncoprotein-related protein B', 'Modulo', 'Always early', 'Multivulva B', 'MuvB complex subunit Lin-37 homolog', 'MuvB complex subunit Lin-52 homolog', 'MuvB complex subunit Lin-54 homolog', 'Chromatin accessibility complex protein 1']",Drosophila Melanogaster
"['Atg1p', 'Atg13p', 'Atg17p', 'Atg29p', 'Atg31p']",Saccharomyces cerevisiae
"['Atg1p', 'Atg13p', 'Atg17p', 'Atg29p', 'Atg31p']",Saccharomyces cerevisiae
"['Atg1p', 'Atg13p', 'Atg17p', 'Atg29p', 'Atg31p']",Saccharomyces cerevisiae
"['Atg1p', 'Atg13p', 'Atg17p', 'Atg29p', 'Atg31p']",Saccharomyces cerevisiae
"['Atg1p', 'Atg13p', 'Atg17p', 'Atg29p', 'Atg31p']",Saccharomyces cerevisiae
"['Mon1p', 'Ccz1p']",Saccharomyces cerevisiae
"['Zinc finger protein 1', 'Histone methyltransferase DOT-1']",Caenorhabditis Elegans
"['Cell death protein 3', 'Cell death protein 4', 'Apoptosis regulator mac-1']",Caenorhabditis Elegans
"['Sister chromatid cohesion protein 1', 'Sister chromatid cohesion protein 3', 'Structural maintenance of chromosomes protein 1', 'Structural maintenance of chromosomes protein 3']",Saccharomyces cerevisiae
"['Sister chromatid cohesion protein 1', 'Sister chromatid cohesion protein 3', 'Structural maintenance of chromosomes protein 1', 'Structural maintenance of chromosomes protein 3']",Saccharomyces cerevisiae
"['SAPA-1', 'SAPA-2', 'SAPA-3', 'SAPA-4', 'TOST-1']",Caenorhabditis Elegans
"['SAPA-1', 'SAPA-2', 'SAPA-3', 'SAPA-4', 'TOST-1']",Caenorhabditis Elegans
"['SAPA-1', 'SAPA-2', 'SAPA-3', 'SAPA-4', 'TOST-1']",Caenorhabditis Elegans
"['SAPA-1', 'SAPA-2', 'SAPA-3', 'SAPA-4', 'TOST-1']",Caenorhabditis Elegans
"['Ndc80p', 'Nuf2p', 'Spc24p', 'Spc25p']",Saccharomyces cerevisiae
"['Ndc80p', 'Nuf2p', 'Spc24p', 'Spc25p']",Saccharomyces cerevisiae
"['Ndc80p', 'Nuf2p', 'Spc24p', 'Spc25p']",Saccharomyces cerevisiae
"['Ndc80p', 'Nuf2p', 'Spc24p', 'Spc25p']",Saccharomyces cerevisiae
"['Hpr1p', 'Tho2p', 'Mft1p', 'Thp2p']",Saccharomyces cerevisiae
"['Pheromone receptor transcription factor Ste12', 'Down-regulator of invasive growth 1', 'Down-regulator of invasive growth 2']",Saccharomyces cerevisiae
"['Trs120p', 'Trs130p', 'Trs20p', 'Trs23p', 'Trs31p', 'Trs33p', 'Bet3p', 'Bet5p', 'Tca17p', 'Trs65p']",Saccharomyces cerevisiae
"['Trs120p', 'Trs130p', 'Trs20p', 'Trs23p', 'Trs31p', 'Trs33p', 'Bet3p', 'Bet5p', 'Tca17p', 'Trs65p']",Saccharomyces cerevisiae
"['Trs120p', 'Trs130p', 'Trs20p', 'Trs23p', 'Trs31p', 'Trs33p', 'Bet3p', 'Bet5p', 'Tca17p', 'Trs65p']",Saccharomyces cerevisiae
"['Trs120p', 'Trs130p', 'Trs20p', 'Trs23p', 'Trs31p', 'Trs33p', 'Bet3p', 'Bet5p', 'Tca17p', 'Trs65p']",Saccharomyces cerevisiae
"['Trafficking protein particle complex subunit BET3', 'Trafficking protein particle complex subunit BET5', 'Trafficking protein particle complex subunit TRS120', 'Trafficking protein particle complex subunit TRS130', 'Trafficking protein particle complex subunit TRS20', 'Trafficking protein particle complex subunit TRS23', 'Trafficking protein particle complex subunit TRS31', 'Trafficking protein particle complex subunit TRS33', 'Trafficking protein particle complex subunit TCA17']",Saccharomyces cerevisiae
