Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,Akt-1/Akt-2/Sgk-1 Protein Kinase Complex,C. elegans,The protein complex with similar functionalities is also found in humans; mice; and Drosophila melanogaster.,The Akt-1/Akt-2/Sgk-1 protein kinase complex is primarily involved in intracellular signaling pathways that regulate various cellular processes; such as glucose metabolism; cell proliferation; apoptosis; transcription; and cell migration. It plays a critical role in response to extracellular stimuli and is pivotal for maintaining cellular integrity and function.,Akt-1; Akt-2; Sgk-1,akt-1; akt-2; sgk-1,0.91
few-shot,Atk-1/Akt-2/Sgk-1 protein kinase complex,C. elegans,Human; Mouse,This complex is involved in various signaling pathways that regulate critical cellular processes such as metabolism; growth; proliferation; and survival. It functions mainly in response to insulin signaling and can modulate the activity of downstream targets involved in these processes.,Serine/threonine-protein kinase Akt-1; Serine/threonine-protein kinase Akt-2; Serum/glucocorticoid-regulated kinase 1,akt-1; akt-2; sgk-1,0.9125
contextual,Atk-1/Akt-2/Sgk-1 protein kinase complex,C. elegans,Human; Mouse,This protein kinase complex is involved in regulating various cellular process including metabolism; cell proliferation; survival; and differentiation. It is a part of the signaling pathways that mediate responses to growth factors and other extracellular stimuli; particularly important in stress resistance and longevity.,Atk-1; Akt-2; Sgk-1,akt-1; akt-2; sgk-1,0.925
zero-shot,RB1-E2F1-TFDP1 Transcription Repressor Complex,Human,Mouse (also contains orthologous proteins that form a similar complex),The RB1-E2F1-TFDP1 transcription repressor complex plays a crucial role in regulating the cell cycle; particularly in controlling the transition from the G1 to S phase. It achieves this by repressing E2F-responsive genes that are essential for DNA replication and cell cycle progression.,RB1 (Retinoblastoma Protein); E2F1 (E2F Transcription Factor 1); TFDP1 (Transcription Factor Dp-1),RB1: Encodes the Retinoblastoma Protein; crucial for cell cycle regulation.; E2F1: Encodes the E2F Transcription Factor 1; involved in driving the cell cycle forward by activating certain genes.; TFDP1: Encodes the Transcription Factor Dp-1; an important partner of E2F1 for DNA binding and regulation.,0.965
few-shot,RB1-E2F1-TFDP1 transcription repressor complex,Human,Mouse,This complex plays a critical role in cell cycle regulation by repressing E2F target gene transcription and thus controlling progression from the G1 to S phase of the cell cycle.,Retinoblastoma-associated protein (RB1); E2F transcription factor 1 (E2F1); Transcription factor Dp-1 (TFDP1),RB1; E2F1; TFDP1,0.925
contextual,RB1-E2F1-TFDP1 transcription repressor complex,Human,Mouse,This transcription repressor complex plays a crucial role in regulating the cell cycle by inhibiting the transition from the G1 to S phase. It does this by binding to E2F-responsive promoters; thus controlling the transcription of genes necessary for DNA replication.,Retinoblastoma-associated protein (RB1); Transcription factor E2F1; Transcription factor Dp-1 (TFDP1),RB1; E2F1; TFDP1,0.955
zero-shot,PETISCO; pid-1 variant,*Caenorhabditis elegans*,The PETISCO complex is not prominently found in the other specified organisms (Human; Mouse; Drosophila melanogaster; Saccharomyces cerevisiae) in relation to the pid-1 variant function.,The PETISCO complex; specifically the pid-1 variant in *Caenorhabditis elegans*; is involved in the biogenesis of piRNAs. These small RNAs play a crucial role in silencing transposable elements and maintaining germline integrity.,The main proteins involved in the PETISCO; pid-1 variant are PID-1; PRG-1; and RDE-4.,The corresponding genes for these proteins are pid-1; prg-1; and rde-4.,0.91
few-shot,PETISCO; pid-1 variant',*C. elegans*',N/A',Involved in the biogenesis of small RNAs that protect the germline in *C. elegans*; by aiding in the processing of primary piRNAs.',PID-1; TOFU-6; ERH-2; TOFU-5',pid-1; tofu-6; erh-2; tofu-5',0.9125
contextual,PETISCO; pid-1 variant',C. elegans',N/A',The PETISCO complex in C. elegans is critically involved in the biogenesis of small RNAs and plays a key role in gene silencing processes; particularly relating to the piRNA pathway which is essential for transposon silencing and genome stability.',PID-1; TOFU-6; ERH-2; IFE-3',pid-1; tofu-6; erh-2; ife-3',0.925
zero-shot,PETISCO; tost-1 variant,C. elegans,The PETISCO complex is also found in humans and mice.,The PETISCO complex is involved in RNA regulation and processing; specifically in the biogenesis of small RNAs that play a critical role in RNA interference. The tost-1 variant specifically refers to a form of this complex observed in certain genetic studies.,The PETISCO complex in C. elegans includes proteins such as TOFU-6; ERI-1; TOST-1; and SACY-1.,The corresponding genes for these proteins are tofu-6; eri-1; tost-1; and sacy-1 respectively.,0.925
few-shot,PETISCO; tost-1 variant',C. elegans',N/A',PETISCO is involved in the maturation of small nucleolar RNAs (snoRNAs) and small nuclear RNAs (snRNAs); playing a critical role in pre-mRNA splicing and RNA interference pathways.',TOFU-6; PID-3; ERH-2; SMN-1; TOFU-5',tofu-6; pid-3; erh-2; smn-1; tofu-5',0.9125
contextual,PETISCO; tost-1 variant,C. elegans,Drosophila melanogaster,The PETISCO complex is a protein assembly involved in the processing of small nuclear RNAs; playing a crucial role in the biogenesis of spliceosomal small nuclear ribonucleoproteins (snRNPs); thereby impacting the regulation of pre-mRNA splicing.,TOAST-1; ERH-2; ICL-1; and SMN-1,tost-1; erh-2; icl-1; smn-1,0.8975
zero-shot,Ndc80 complex,Saccharomyces cerevisiae,The Ndc80 complex is also found in Humans (Homo sapiens); Mice (Mus musculus); Caenorhabditis elegans; and Drosophila melanogaster.,The Ndc80 complex is critical for the accurate segregation of chromosomes during mitosis. It acts as a key component of the kinetochore; a structure on chromosomes where spindle fibers attach during cell division to ensure accurate chromosome alignment and separation.,Ndc80p (Hec1); Nuf2p; Spc24p; Spc25p,The corresponding genes for these proteins in Saccharomyces cerevisiae are NDC80 (Ndc80p); NUF2 (Nuf2p); SPC24 (Spc24p); and SPC25 (Spc25p).,0.97
few-shot,Ndc80 complex',Saccharomyces cerevisiae',Human; Mouse; C. elegans; Drosophila melanogaster',A key component of the kinetochore; crucial for chromosome segregation during cell division by mediating the attachment of microtubules to kinetochores.',Ndc80p; Nuf2p; Spc24p; Spc25p',NDC80; NUF2; SPC24; SPC25',0.955
contextual,Ndc80 complex,Saccharomyces cerevisiae,Human; Mouse; C. elegans; Drosophila melanogaster,The Ndc80 complex is a key kinetochore component involved in the attachment of spindle microtubules to chromosomes during mitosis; ensuring proper chromosome segregation.,Ndc80p; Nuf2p; Spc24p; Spc25p,NDC80; NUF2; SPC24; SPC25,0.955
zero-shot,Kinetochore Mis12 Complex,Human,Mouse; Saccharomyces cerevisiae; Drosophila melanogaster; C. elegans,The Mis12 complex is integral to the kinetochore; a protein structure on chromatids where the spindle fibers attach during cell division to pull the chromatids apart. In humans; the Mis12 complex is essential for accurate chromosome segregation and proper kinetochore assembly. It plays a critical role in linking the inner centromere to the outer kinetochore components and microtubules.,The human Mis12 complex consists of four proteins: MIS12 (from the hMis12 protein); PMF1 (Partner of Mis12); NSL1 (Nsl1; kinetochore complex component); and DSN1 (Dsn1; kinetochore complex component).,MIS12: Encodes the MIS12 protein; PMF1: Encodes the PMF1 protein; NSL1: Encodes the NSL1 protein; DSN1: Encodes the DSN1 protein,1.00
few-shot,Kinetochore Mis12 complex,Human,Mouse; C. elegans; Drosophila melanogaster; Saccharomyces cerevisiae,The Mis12 complex is essential for the proper attachment of microtubules to the kinetochore; ensuring accurate chromosome segregation during cell division.,MIS12 protein homolog; Kinetochore associated protein 1; Kinetochore scaffold 1; NNF1 homolog,MIS12; DSN1; NSL1; PMF1,0.925
contextual,Kinetochore Mis12 Complex',Human',Mouse; Drosophila melanogaster; Caenorhabditis elegans; Saccharomyces cerevisiae',This complex is essential for proper kinetochore-microtubule attachment; playing a critical role in chromosome segregation during cell division by serving as a platform for the assembly of other kinetochore components.',MIS12; NSL1; DSN1; PMF1',MIS12; NSL1; DSN1; PMF1',0.94
