Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
few-shot,Drd3-Ednrb complex,"Mouse'

'","No direct evidence for this complex in other organisms, but both Drd3 and Ednrb homologs exist in human and other mammals[3].'

'","The Drd3-Ednrb complex is a putative protein complex that may involve the interaction between the dopamine receptor D3 (Drd3) and the endothelin B receptor (Ednrb), both of which are G-protein-coupled receptors (GPCRs). Although comprehensive experimental data confirming this specific complex are lacking, both Drd3 and Ednrb individually play key roles in neural and metabolic processes in the mouse. Drd3 is involved in dopaminergic neurotransmission, influencing mood, cognition, and movement, while Ednrb mediates responses to endothelins, impacting neural crest cell development and metabolic regulation, particularly in oligodendrocyte differentiation, browning of adipose tissue, and enteric nervous system development. Potential interaction between these receptors could impact neural cell signaling and developmental pathways in the mouse[1][4][5].'

'","Dopamine receptor D3, Endothelin B receptor'

'","Drd3, Ednrb'

'Self","(0.40 × 0.3) + (0.30 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.12 + 0.09 + 0.25 + 0.15 = **0.61**'

**Confidence rationale:**  
- Consistency of information: Moderate. Drd3 and Ednrb are well-characterized in mouse, but evidence of their physical or functional complex is limited or speculative.
- Supporting experimental data: Low. No direct experimental confirmation of Drd3-Ednrb complex formation.
- Protein-gene mapping: High. The mapping of Dopamine receptor D3 to Drd3 and Endothelin B receptor to Ednrb in mouse is fully accurate.
- Organism specificity: High. The functional data refer specifically to the mouse, and the complex is most prominently considered in this context."
contextual,Drd3-Ednrb complex,"Mouse  
Based on gene and protein expression data, both Drd3 and Ednrb have been characterized in mouse central nervous system cells, particularly in OPCs and neural tissues where their genes are highly expressed and functionally relevant[3].","Human  
Orthologs of Drd3 and Ednrb exist in humans, where they play similar roles in dopaminergic signaling (DRD3) and endothelin-mediated processes (EDNRB), but the specific Drd3-Ednrb complex is not broadly documented in other species or experimental systems beyond mouse and human[4][5].","The Drd3-Ednrb complex is a putative protein-protein interaction between Dopamine Receptor D3 (Drd3) and Endothelin Receptor Type B (Ednrb). While both receptors are G protein-coupled and are individually implicated in critical neural and physiological pathways, direct evidence for a stable Drd3-Ednrb heteromeric complex in vivo is limited. The Ednrb receptor is central in oligodendrocyte precursor cell (OPC) differentiation and central nervous system development, while Drd3 modulates dopaminergic neurotransmission. Current literature does not document a well-characterized, functionally distinct Drd3-Ednrb complex, but both receptors may co-exist or interact in neural tissues where they participate in overlapping signaling cascades that regulate neural differentiation, survival, and neurotransmitter responsiveness[3][4].","- Dopamine receptor D3 (Drd3)
- Endothelin receptor type B (Ednrb)","- Drd3 (dopamine receptor D3 gene)
- Ednrb (endothelin receptor type B gene)

Self","- Consistency across databases/sources: 0.80 (Limited evidence for direct complex, but individual proteins and functions are well characterized)
- Supporting experimental data on the complex: 0.65 (Some functional and expression overlap, but direct Drd3-Ednrb complex data is sparse)
- Protein-gene mapping accuracy: 1.00 (Gene-to-protein mapping is definitive)
- Organism specificity: 1.00 (Analysis is mouse-specific, which is where these gene products have been most characterized)

Self Confidence Score Calculation:
(0.80 × 0.3) + (0.65 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.24 + 0.195 + 0.25 + 0.15 = **0.835**"
few-shot,Egflam-Gpr179 complex,Human,"Mouse (murine models are well-studied for this complex), but the most prominent and functionally characterized role is in humans[1][3].","Crucial for the synaptic organization of photoreceptors in the retina, this complex forms a transsynaptic bridge that mediates signal transmission between photoreceptors and bipolar cells. Egflam (also known as pikachurin) serves as an extracellular matrix protein that connects the dystroglycan-dystrophin complex on the photoreceptor side to the orphan G protein-coupled receptor GPR179 on the bipolar cell side. This interaction is essential for precise synaptic alignment and efficient visual signal processing, with mutations in either component linked to human blinding disorders[1][3][5].","- Egflam (pikachurin)
- GPR179 (Probable G-protein coupled receptor 179)","- EGFLAM (also known as Q63HQ2, NCBI Gene: 133584, Ensembl: ENSG00000164318)[5]
- GPR179 (UniProt: Q6PRD1)[4]

Self","- Consistency of information across different databases/sources: 1.00 (well-supported by structural, genetic, and functional studies)[1][3][4][5]
- Supporting experimental data regarding the complex: 1.00 (cryo-EM, x-ray crystallography, genetic studies)[1][2][3]
- Accuracy of corresponding protein-gene mapping: 1.00 (confirmed UniProt/NCBI/Ensembl cross-references)[4][5]
- The analysis information being specific to the organism that it is most prominent in: 1.00 (retinal role best documented in human contexts)[1][3][5]

Self Confidence Score:  
(1.00 × 0.3) + (1.00 × 0.3) + (1.00 × 0.25) + (1.00 × 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**"
contextual,Egflam-Gpr179 complex,Human,"Mouse  
(The Egflam-Gpr179 interaction is most studied and established in mammals, especially mouse and human retina[1]. No evidence supports its presence or function in C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.)","This complex is critical for the organization of photoreceptor ribbon synapses in the retina. Egflam (also known as Pikachurin) acts as a transsynaptic bridge that links the extracellular matrix protein alpha-dystroglycan in photoreceptors to the postsynaptic GPR179 receptor on ON-bipolar neurons. This interaction is essential for synaptic structure, neurotransmission, and visual signal processing. Disruption of this complex impairs retinal synapse formation and visual function[1][4][3].","- EGFLAM (also known as Pikachurin)  
- GPR179 receptor","- EGFLAM (Gene ID: 133584; also known as Pikachurin)[2][4]  
- GPR179 (Gene ID: 222950)

Self",(1.0 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.285 + 0.25 + 0.15 = **0.985**
few-shot,Ceacam1-4L-Syk-Tlr4 complex,Mouse (Mus musculus). The described complex and its regulatory function in neutrophils is best characterized in the mouse model[1][2][4].,"The regulatory interaction involving CEACAM1, Syk, and TLR4 is not clearly established in humans or other model organisms based on available evidence; thus, this specific immune regulatory complex is currently described as mouse-specific in the literature[1][2][4].","This complex functions as a negative regulator of inflammasome activation in mouse neutrophils. Specifically, upon lipopolysaccharide (LPS) stimulation, TLR4, Syk kinase (phosphorylated Syk), and CEACAM1 (phosphorylated CEACAM1) form a complex that fine-tunes the production of the pro-inflammatory cytokine IL-1β. CEACAM1's inhibitory motif recruits phosphatases (such as SHP-1) that counteract Syk's activating effect, leading to inhibition of downstream caspase-1 activation and lysosomal destabilization, thereby reducing excessive inflammation. In CEACAM1-deficient neutrophils, this inhibition is lost, resulting in hyper-production of IL-1β[1][2][4].","- CEACAM1 (Carcinoembryonic antigen-related cell adhesion molecule 1; specifically the 4L isoform characterized by a long cytoplasmic tail containing immunoreceptor tyrosine-based inhibitory motifs)
- Syk (Spleen tyrosine kinase)
- TLR4 (Toll-like receptor 4)
- SHP-1 (Src homology region 2 domain-containing phosphatase-1; recruited upon CEACAM1 phosphorylation)","- Ceacam1 (gene encoding CEACAM1)
- Syk (gene encoding Syk kinase)
- Tlr4 (gene encoding TLR4)
- Ptpn6 (gene encoding SHP-1 phosphatase)

Self Confidence Score Calculation:
- Consistency of information across different databases/sources: 1.00 (mouse-specific interaction and function reproduced in multiple studies and reviews)[1][2][4]
- Supporting experimental data regarding the complex: 1.00 (direct biochemical and functional evidence in mouse neutrophils)[1][2][4]
- Accuracy of corresponding protein-gene mapping: 1.00 (well-established gene-protein assignments in mouse)
- Analysis specificity to the organism: 1.00 (all published findings about this complex and its immune regulatory role are in mouse)

Self","\[
(1.00 \times 0.3) + (1.00 \times 0.3) + (1.00 \times 0.25) + (1.00 \times 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = \textbf{1.00}
\]"
contextual,Ceacam1-4L-Syk-Tlr4 complex,Mouse (Mus musculus)[1][2][4],"This complex and negative regulatory function have been specifically demonstrated in mouse neutrophils. While the individual proteins (CEACAM1, SYK, TLR4) are conserved in humans, the described LPS-induced complex and its precise immunoregulatory function are most clearly characterized in mouse; similar complexes may exist in other mammals but are not conclusively established based on current data[1][2][4].","This complex is critical for regulating inflammation in mouse neutrophils. Upon lipopolysaccharide (LPS) stimulation, Toll-like receptor 4 (Tlr4), phosphorylated Spleen tyrosine kinase (Syk), and phosphorylated Carcinoembryonic antigen-related cell adhesion molecule 1 (Ceacam1) assemble into a signaling complex. Recruitment of the phosphatase SHP-1 to the phosphorylated immunoreceptor tyrosine-based inhibitory motifs (ITIMs) of Ceacam1 inhibits Syk activity, suppressing inflammasome activation and thus reducing IL-1β production. This mechanism fine-tunes neutrophil inflammatory responses to bacterial LPS; disruption of Ceacam1 leads to excessive IL-1β secretion and heightened inflammation[1][2][4].","- CEACAM1 (Carcinoembryonic antigen-related cell adhesion molecule 1, specifically the long isoform with ITIMs, e.g., Ceacam1-4L)
- SYK (Spleen tyrosine kinase, particularly its phosphorylated form)
- TLR4 (Toll-like receptor 4)
- SHP-1 (Src homology region 2 domain-containing phosphatase-1; recruited but not a core member)[1][2][4]","- Ceacam1 (encodes CEACAM1)
- Syk (encodes Syk)
- Tlr4 (encodes Tlr4)
- Ptpn6 (encodes SHP-1)[1][2][4]

Self",(1.0 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.285 + 0.25 + 0.15 = **0.985**
few-shot,KDR-NRP1-VEGF165 complex,"Human'

'","Mouse (homologous complex forms with mouse orthologs: Vegfa165, Nrp1, and Kdr)'[2]

'","This complex mediates vascular endothelial growth factor (VEGF)-induced angiogenic signaling. VEGF165 (the predominant human isoform of VEGFA) binds Neuropilin-1 (NRP1), which in turn promotes complex formation with the kinase insert domain receptor (KDR/VEGFR2). This assembly enhances endothelial cell migration, proliferation, chemotaxis, tubulogenesis, and vascular permeability, all crucial for physiological and pathological angiogenesis.'[1][4][5]

'","'
- Kinase insert domain receptor (KDR), also known as vascular endothelial growth factor receptor 2 (VEGFR2)
- Neuropilin-1 (NRP1)
- Vascular endothelial growth factor A, isoform VEGF165 (VEGFA)

'","'
- KDR (encodes VEGFR2)[1][2][4][5]
- NRP1 (encodes Neuropilin-1)[1][2][4][5]
- VEGFA (encodes VEGF165)[1][2][4][5]

'Self",(1.0 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.285 + 0.25 + 0.15 = **0.985**'
contextual,KDR-NRP1-VEGF165 complex,"Human'

'","Mouse'[1]
  
'","This tripartite protein complex mediates vascular endothelial growth factor (VEGF) signaling essential for angiogenesis in endothelial cells. Neuropilin-1 (NRP1) acts as a coreceptor by binding VEGF165 and forming a holoreceptor complex with VEGF receptor-2 (KDR/VEGFR2), thereby enhancing VEGFR2 signal transduction and promoting endothelial cell migration, chemotaxis, and tubulogenesis in response to VEGF stimulation.'[1][2][3][5]

'","'
- Kinase insert domain-containing receptor (KDR, also known as VEGFR2)
- Neuropilin-1 (NRP1)
- Vascular endothelial growth factor 165 (VEGF165, also known as VEGF-A165)

'","'
- KDR (gene encoding VEGF receptor-2)
- NRP1 (gene encoding Neuropilin-1)
- VEGFA (gene encoding VEGF165/VEGF-A165)

'Self",(1.0 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.285 + 0.25 + 0.15 = **0.985**'
few-shot,NRP1-VEGF121 complex,"Human'  
'","Mouse (evidence for NRP1 and VEGF121 orthologs and direct interaction in vascular biology is also present in mouse)'  
'","This complex consists of Neuropilin-1 (NRP1) directly binding to Vascular Endothelial Growth Factor 121 (VEGF121), contributing to processes such as endothelial cell migration and sprout formation, although VEGF121 is not sufficient to bridge the NRP1-VEGFR2 complex. NRP1 thereby modulates VEGF121-induced angiogenic behavior in human endothelial cells.'[1][5]  
'","Neuropilin-1 (NRP1), Vascular Endothelial Growth Factor 121 (VEGF121)'  
'","NRP1 (encodes Neuropilin-1), VEGFA (encodes the VEGF121 isoform)'  
'Self",(1.0 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.285 + 0.25 + 0.15 = **0.985**'
contextual,NRP1-VEGF121 complex,Human,"Mouse (based on the conservation of the NRP1 and VEGF-A system in mice, which is commonly used for in vivo angiogenesis research; VEGF-A/NRP1 interactions are highly conserved across mammals). However, the VEGF121 isoform’s functional binding and the resulting complex are most characterized and prominent in human systems[1][5].","The NRP1-VEGF121 complex involves the direct binding of vascular endothelial growth factor isoform 121 (VEGF121) to neuropilin-1 (NRP1), a receptor primarily expressed in human endothelial cells. This interaction is implicated in the regulation of endothelial cell migration, angiogenesis, and vascular sprout formation. While VEGF121 binds directly to NRP1, it does not facilitate the bridging of the NRP1-VEGFR2 complex as VEGF165 does, suggesting nuanced roles for different VEGF isoforms in angiogenic signaling. This complex is critical for specific endothelial cell signaling events required for blood vessel formation in humans[1][5].","- Neuropilin-1 (NRP1)
- Vascular Endothelial Growth Factor 121 (VEGF121; an isoform of VEGF-A)","- NRP1 (neuropilin 1) [Gene ID: 8829][2]
- VEGFA (vascular endothelial growth factor A) [Gene ID: 7422] (VEGF121 is produced from differential splicing of the VEGFA gene)

Self","- Consistency of information across databases/sources: 1.00 (NRP1-VEGF121 complex and its direct binding are well documented in primary literature and databases)[1][5].
- Supporting experimental data regarding the complex: 0.95 (Direct binding and functional studies exist, but the bridging function is more robust for VEGF165 than for VEGF121)[1][5].
- Accuracy of corresponding protein-gene mapping: 1.00 (Protein-gene mappings for human NRP1 and VEGFA are well established)[2].
- Analysis specificity to the organism where the complex is most prominent: 1.00 (The data provided and discussed is specific to human vascular biology with some reference to mammalian conservation)[1][5].

Self Confidence Score Equation:
(1.00 × 0.3) + (0.95 × 0.3) + (1.00 × 0.25) + (1.00 × 0.15) = 0.30 + 0.285 + 0.25 + 0.15 = **0.985**

Summary Table

| Attribute         | Value                                                                                   |
|-------------------|----------------------------------------------------------------------------------------|
| Complex Name      | NRP1-VEGF121 complex                                                                   |
| Function          | Regulates endothelial migration, angiogenesis, and vascular sprout formation           |
| Organism          | Human                                                                                  |
| Other Organisms   | Mouse                                                                                  |
| Proteins          | Neuropilin-1 (NRP1), VEGF121 (isoform of VEGFA)                                        |
| Genes             | NRP1, VEGFA                                                                            |
| Self Confidence   | **0.985**                                                                              |"
contextual,KDR-VEGF165 complex,Human,Mouse,"The KDR-VEGF165 complex is central to angiogenesis in humans. It mediates the proliferation, migration, and survival of endothelial cells by activating intracellular signaling cascades upon ligand binding. The complex drives vascular development during embryogenesis, wound healing, and is implicated in pathological processes such as tumor angiogenesis and vascular leakage[1][5][3]. VEGF165 binding to KDR (also known as VEGFR2) initiates phosphorylation events critical for endothelial cell proliferation and survival[2][5].","- Vascular endothelial growth factor 165 (VEGF165)
- Kinase insert domain receptor (KDR; also known as VEGFR2 or Flk-1 in mice)[3][5]","- VEGFA (encodes VEGF165)
- KDR (encodes VEGFR2)[3][5]

Self",(1.0 × 0.3) + (1.0 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**
