Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
few-shot,GNA12-GPR55-RGS2 complex',Human',N/A',"This complex plays a role in signal transduction by modulating G protein-coupled receptor (GPCR) signaling. GNA12 (G protein subunit alpha 12) is involved in activating Rho GTPase signaling pathways, while GPR55 is an orphan GPCR thought to be involved in the regulation of various cellular functions, and RGS2 (regulator of G protein signaling 2) acts to increase the intrinsic GTPase activity of the G proteins, thus acting as a negative regulator of GPCR signaling.'","GNA12, GPR55, RGS2'","GNA12, GPR55, RGS2'",(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**'
contextual,GNA12-GPR55-RGS2 complex',Human',N/A',"The GNA12-GPR55-RGS2 complex is involved in intracellular signaling pathways that mediate cellular responses to extracellular stimuli. It integrates signals from G-protein coupled receptor 55 (GPR55) activation to regulate various cellular processes, including cell proliferation and migration, which are crucial in physiological and pathological contexts.'","Guanine nucleotide-binding protein subunit alpha-12 (GNA12), G-protein coupled receptor 55 (GPR55), Regulator of G-protein signaling 2 (RGS2)'","GNA12, GPR55, RGS2'",(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**'
zero-shot,Melanocortin Receptor 3 (MC3R),Human,,"The Melanocortin Receptor 3 is a G protein-coupled receptor (GPCR) primarily involved in the regulation of energy homeostasis, including effects on feeding behavior, energy expenditure, and lipid metabolism. It is also implicated in modulating immunologic and neuroendocrine functions.",The primary protein in the Melanocortin Receptor 3 complex is the MC3R itself.,The protein MC3R is encoded by the gene MC3R in humans.,
few-shot,Melanocortin receptor 3 complex',Human',"Mouse, Drosophila melanogaster'","The melanocortin receptor 3 (MC3R) is involved in energy homeostasis, feeding behavior, and potentially the regulation of energy expenditure and obesity.'",Melanocortin receptor 3',MC3R',(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**'
contextual,Melanocortin receptor 3 (MC3R complex)',Human',Mouse',"The MC3R is a G protein-coupled receptor that plays important roles in energy homeostasis, feeding behavior, and regulation of the sleep-wake cycle. It is implicated in the modulation of insulin sensitivity and adiposity.'",Melanocortin receptor 3',MC3R',(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**'
zero-shot,** ATP1A1-TSHR Complex,** Human,"** The ATP1A1-TSHR complex is primarily studied and characterized in Humans. There is limited evidence suggesting the presence of a similar interaction in other mentioned organisms such as Mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae, although components like ATP1A1 and TSHR may be individually studied in different contexts across various species for their fundamental roles.","** The ATP1A1-TSHR complex plays a role in the regulation of thyroid hormone synthesis. ATP1A1, the alpha subunit of the Na+/K+-ATPase, engages in ion transport across the plasma membrane, while TSHR (thyroid-stimulating hormone receptor) is involved in signal transduction pathways that regulate thyroid function and growth. Their interplay can influence thyroid hormone production and cellular responses within thyroid tissues.",**,**,**
few-shot,ATP1A1-TSHR complex',Human',N/A',"The ATP1A1-TSHR complex involves a functional interaction between the Na+/K+ ATPase and the thyroid-stimulating hormone receptor (TSHR), which can influence the regulation of ion balance and cellular signaling pathways. It is particularly relevant in modulating thyroid hormone activity and possibly influencing thyroid gland function.'","Sodium/potassium-transporting ATPase subunit alpha-1, Thyrotropin receptor'","ATP1A1, TSHR'",(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**'
contextual,ATP1A1-TSHR complex',Human',Mouse',"This complex is involved in the regulation of thyroid hormone activity. It plays a role in modulating thyroid-stimulating hormone receptor (TSHR) signaling, which is vital for thyroid growth and function.'","Sodium/potassium-transporting ATPase subunit alpha-1, Thyroid-stimulating hormone receptor'","ATP1A1, TSHR'",(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**'
zero-shot,** ADRA1B-CXCR4 Complex,** Human (Homo sapiens),,**,**,**,**
few-shot,ADRA1B-CXCR4 complex',Human',Mouse',"The ADRA1B-CXCR4 complex plays a role in the modulation of signal transduction pathways, specifically involving the interaction between adrenergic receptors and chemokine receptors, which can influence vascular development and cellular migration.'","Alpha-1B adrenergic receptor, C-X-C chemokine receptor type 4'","ADRA1B, CXCR4'",(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**'
contextual,ADRA1B-CXCR4 complex',Human',N/A',"This complex involves interactions between ADRA1B, an alpha-1B adrenergic receptor, and CXCR4, a chemokine receptor. The interaction may modulate cellular responses such as cell migration, signal transduction, and receptor internalization.'","Alpha-1B adrenergic receptor (ADRA1B), C-X-C chemokine receptor type 4 (CXCR4)'","ADRA1B, CXCR4'",(0.90 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**'
zero-shot,,,,,,,\[ (0.3 \times 1.0) + (0.3 \times 0.8) + (0.25 \times 1.0) + (0.15 \times 1.0) = 0.965 \]
few-shot,Bdkrb2-Tbxa2r complex',Mouse',N/A',"The Bdkrb2-Tbxa2r complex is known for regulating cardiovascular functions, including blood pressure and inflammatory responses, through its action in vasoconstriction and vasodilation.'","Bradykinin receptor B2, Thromboxane A2 receptor'","Bdkrb2, Tbxa2r'",(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**'
contextual,Bdkrb2-Tbxa2r complex',Mouse',N/A',This complex involves interaction between the bradykinin receptor B2 and thromboxane A2 receptor to modulate vascular tone and inflammatory responses.',"Bradykinin receptor B2, Thromboxane A2 receptor'","Bdkrb2, Tbxa2r'",(0.85 × 0.3) + (0.8 × 0.3) + (0.9 × 0.25) + (1.0 × 0.15) = 0.255 + 0.24 + 0.225 + 0.15 = **0.87**'
zero-shot,** Drd3-Ednrb Complex,** Mouse (Mus musculus),**,"** The Drd3-Ednrb complex is involved in signaling pathways associated with neurotransmission and vascular regulation. Drd3, or Dopamine receptor D3, is linked to the regulation of dopamine neurotransmission, while Ednrb, or Endothelin receptor type B, is involved in modulating vascular tone and neurotransmission processes. The complex formation suggests a role in modulating these pathways, potentially implicating it in neurological and cardiovascular functions.",**,,**
few-shot,Drd3-Ednrb complex',Mouse',N/A',The Drd3-Ednrb complex is believed to be involved in modulating neurotransmission and could play a role in various neurological processes by integrating signals from both dopamine and endothelin pathways.',"Dopamine receptor D3 (Drd3), Endothelin receptor type B (Ednrb)'","Drd3, Ednrb'",(0.85 × 0.3) + (0.8 × 0.3) + (0.9 × 0.25) + (1.0 × 0.15) = 0.255 + 0.24 + 0.225 + 0.15 = **0.87**'
contextual,Drd3-Ednrb complex',Mouse',Human',This complex likely plays a role in modulating neural signaling and various physiological functions by integrating signaling pathways of dopamine receptor D3 (Drd3) and endothelin receptor type B (Ednrb).',"Dopamine receptor D3, Endothelin receptor type B'","Drd3, Ednrb'",(0.8 × 0.3) + (0.75 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.24 + 0.225 + 0.25 + 0.15 = **0.865**'
zero-shot,** Egflam-Gpr179 Complex,** Mouse,"** Currently, the Egflam-Gpr179 complex is most prominently studied in the mouse, with limited and less conclusive information about its presence or functional conservation in humans or other model organisms like C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.","** The Egflam-Gpr179 complex is primarily involved in synaptic signaling in the retina. Specifically, it plays a critical role in the synaptic organization and functionality of the photoreceptor-bipolar cell synapse, which is essential for visual signal transmission.",**,**,**; **
few-shot,Egflam-Gpr179 complex',Mouse',N/A',"The Egflam-Gpr179 complex plays a crucial role in the function of the retina, particularly in the signaling pathways of bipolar cells in the mouse visual system. The complex is involved in the transduction of light signals into neural signals, which are essential for vision.'","EGFLAM (Egg protein with multiple EGF-like and LamG domains), GPR179 (G protein-coupled receptor 179)'","Egflam, Gpr179'",(0.85 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.255 + 0.24 + 0.25 + 0.15 = **0.895**'
contextual,** Egflam-Gpr179 complex,** Mouse,** N/A,"** The Egflam-Gpr179 complex is integral to the structural organization and function of photoreceptor synapses, specifically contributing to the synaptic transmission and stabilization of specific components within the synaptic cleft.","** Egflam (EGF-like, fibronectin type III and laminin G domains) and Gpr179 (G-protein coupled receptor 179)","** Egflam, Gpr179",** (0.85 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.255 + 0.24 + 0.25 + 0.15 = **0.895**
zero-shot,** Ceacam1-4L-Syk-Tlr4 complex,** Mouse,"** There is no evidence from the available data to suggest that the Ceacam1-4L-Syk-Tlr4 complex is found in the other four organisms (Human, C. elegans, Drosophila melanogaster, and Saccharomyces cerevisiae).","** The Ceacam1-4L-Syk-Tlr4 complex plays a crucial role in the immune response, particularly in signal transduction that leads to inflammation. It is involved in pathogen recognition and activation of innate immune responses.",**,**,**; **
few-shot,Ceacam1-4L-Syk-Tlr4 complex',Mouse',Not well-documented as a specific complex in other organisms.',"This complex is involved in immune response regulation. Ceacam1-4L is implicated in cellular adhesion and immune signaling. Syk is a tyrosine kinase that transduces signals necessary for a proper immune response. Tlr4 functions as a pattern recognition receptor detecting lipopolysaccharides, leading to activation of the innate immune response.'","Carcinoembryonic antigen-related cell adhesion molecule 1, Spleen tyrosine kinase, Toll-like receptor 4'","Ceacam1, Syk, Tlr4'",(0.7 × 0.3) + (0.8 × 0.3) + (0.95 × 0.25) + (1.0 × 0.15) = 0.21 + 0.24 + 0.2375 + 0.15 = **0.8375**'
contextual,Ceacam1-4L-Syk-Tlr4 complex',Mouse',N/A',"This protein complex is involved in the regulation of immune responses, primarily targeting the modulation of inflammatory signaling pathways.'","Carcinoembryonic antigen-related cell adhesion molecule 1 (CEACAM1), Spleen tyrosine kinase (Syk), Toll-like receptor 4 (TLR4)'","Ceacam1, Syk, Tlr4'",(0.8 × 0.3) + (0.75 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.24 + 0.225 + 0.25 + 0.15 = **0.865**'
zero-shot,,,,,,,**
few-shot,KDR-NRP1-VEGF165 complex',Human',Mouse',"This complex is involved in angiogenesis, acting as a key mediator of vascular endothelial growth factor (VEGF) signaling. It plays a crucial role in blood vessel formation and the development of the vascular system.'","Kinase insert domain receptor (KDR), Neuropilin-1 (NRP1), Vascular endothelial growth factor 165 (VEGF165)'","KDR, NRP1, VEGFA'",(0.95 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.27 + 0.25 + 0.15 = **0.955**'
contextual,KDR-NRP1-VEGF165 complex',Human',Mouse',Mediates angiogenesis by promoting endothelial cell proliferation and migration. This complex plays a crucial role in vascular development and is involved in conditions such as cancer and diabetic retinopathy.',"Kinase insert domain receptor (KDR), Neuropilin-1 (NRP1), Vascular endothelial growth factor 165 (VEGF165)'","KDR, NRP1, VEGFA'",(1.0 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.27 + 0.25 + 0.15 = **0.97**'
zero-shot,,,,,,,**; \[ (1.00 \times 0.3) + (0.90 \times 0.3) + (1.00 \times 0.25) + (1.00 \times 0.15) = 0.30 + 0.27 + 0.25 + 0.15 = 0.97 \]; The confidence score for this analysis of the NRP1-VEGF121 complex is 0.97.
few-shot,NRP1-VEGF121 complex',Human',Mouse',"This complex plays a crucial role in angiogenesis, cellular proliferation, migration, and survival, primarily by facilitating the interaction between the vascular endothelial growth factor (VEGF) and its receptors on endothelial cells, thus promoting the growth of blood vessels.'","Neuropilin-1 (NRP1), Vascular Endothelial Growth Factor A isoform VEGF121'","NRP1, VEGFA'",(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**'
contextual,NRP1-VEGF121 complex',Human',Mouse',"The NRP1-VEGF121 complex is involved in the regulation of angiogenesis, modulating vascular endothelial growth factor (VEGF) mediated signaling pathways which play a crucial role in blood vessel formation and maintenance.'","Neuropilin-1 (NRP1), Vascular Endothelial Growth Factor 121'","NRP1, VEGFA'",(0.90 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**'
zero-shot,,,,,,,**; **
few-shot,KDR-VEGF165 complex',Human',"Mouse (similar interactions), though specific isoforms may vary slightly.'","The KDR-VEGF165 complex is critical for angiogenesis, the formation of new blood vessels from pre-existing vessels, by promoting endothelial cell proliferation, migration, and survival. The complex acts as a high-affinity receptor for the vascular endothelial growth factor (VEGF), facilitating its signal transduction leading to these angiogenic processes.'","Kinase insert domain receptor (KDR), Vascular Endothelial Growth Factor 165 (VEGF165)'","KDR (also known as FLK1, VEGFR2), VEGFA (specifically the VEGF165 isoform derived from alternative splicing of VEGFA)'",(0.90 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**'
contextual,KDR-VEGF165 complex',Human',Mouse',"The KDR-VEGF165 complex is involved in the regulation of angiogenesis, which includes the growth of new blood vessels from pre-existing ones. This process is crucial for normal development, wound healing, and plays a significant role in pathological conditions like cancer.'","Kinase insert domain receptor (KDR), Vascular endothelial growth factor isoform 165 (VEGF165)'","KDR, VEGFA'",(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**'
zero-shot,FLT4-VEGFC complex,Human,"The FLT4-VEGFC complex is also found in mice. However, it is less prominent or non-existent in the other organisms listed (C. elegans, Drosophila melanogaster, and Saccharomyces cerevisiae).","The FLT4-VEGFC complex plays a crucial role in lymphangiogenesis, which is the formation of lymphatic vessels. This process is critical for maintaining fluid homeostasis, immune response, and fat absorption. The interaction between FLT4 (Vascular Endothelial Growth Factor Receptor-3, VEGFR-3) and its ligand, VEGFC (Vascular Endothelial Growth Factor-C), initiates downstream signaling pathways that promote the proliferation, migration, and survival of lymphatic endothelial cells.",,,
few-shot,FLT4-VEGFC complex',Human',Mouse',"The FLT4-VEGFC complex is involved in the regulation of lymphangiogenesis, primarily mediating the proliferation, migration, and survival of lymphatic endothelial cells. It plays a crucial role in lymphatic vessel development and maintenance.'","Vascular endothelial growth factor receptor 3 (VEGFR-3), Vascular endothelial growth factor C (VEGF-C)'","FLT4, VEGFC'",(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**'
contextual,FLT4-VEGFC complex',Human',"Mouse, Zebrafish'","This complex plays a critical role in lymphangiogenesis, which involves the development of lymphatic vessels. It is crucial for the regulation of lymphatic endothelial cell proliferation, migration, and survival.'","Vascular endothelial growth factor C (VEGFC), Vascular endothelial growth factor receptor 3 (FLT4/VEGFR3)'","VEGFC, FLT4'",(0.95 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.27 + 0.25 + 0.15 = **0.955**'
zero-shot,** ITGA3-ITGB1 Complex,** Human (Homo sapiens),**,**,**,**,**
few-shot,** ITGA3-ITGB1 complex,** Human,"** Mouse, C. elegans, Drosophila melanogaster","** This integrin complex plays a critical role in cell adhesion, cell migration, and signal transduction. It is involved in interactions between cells and the extracellular matrix, influencing processes like wound healing, immune response, and cancer metastasis.","** Integrin alpha-3 (ITGA3), Integrin beta-1 (ITGB1)","** ITGA3, ITGB1",** (0.95 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.27 + 0.25 + 0.15 = **0.955**
contextual,ITGA3-ITGB1 complex',Human',"Mouse, C. elegans, Drosophila melanogaster'","The ITGA3-ITGB1 complex is a heterodimeric integrin complex that plays a critical role in cell adhesion to the extracellular matrix and is involved in the regulation of various cellular processes, including migration, survival, and differentiation.'","Integrin alpha-3, Integrin beta-1'","ITGA3, ITGB1'",(0.95 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.255 + 0.25 + 0.15 = **0.94**'
zero-shot,** Golgi-associated retrograde protein (GARP) complex,** Saccharomyces cerevisiae (Baker's yeast),**,**,**,,**; **
few-shot,Golgi-associated retrograde protein (GARP) complex',Saccharomyces cerevisiae',"Human, Mouse, C. elegans, Drosophila melanogaster'","The GARP complex is involved in retrograde transport, which is the process of transporting proteins from early and late endosomes back to the Golgi apparatus. This complex plays a crucial role in maintaining the function and structure of the Golgi by facilitating the recycling of proteins that are essential for Golgi function.'","Vps51, Vps52, Vps53, Vps54'","VPS51, VPS52, VPS53, VPS54'",(0.95 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.27 + 0.25 + 0.15 = **0.955**'
contextual,Golgi-associated retrograde protein complex (GARP complex)',Saccharomyces cerevisiae',"Human, Mouse, Drosophila melanogaster'",The GARP complex is involved in the retrograde transport of proteins from endosomes to the trans-Golgi network. It plays a crucial role in maintaining Golgi function and integrity by facilitating the recycling of transport proteins.',"Vps51, Vps52, Vps53, Vps54'","VPS51, VPS52, VPS53, VPS54'",(0.85 × 0.3) + (0.87 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.255 + 0.261 + 0.25 + 0.15 = **0.916**'
zero-shot,Transmembrane Channel-Like (TMC) 2 Complex**,Mouse (Mus musculus)**,**,**,**,**,**; **
few-shot,Transmembrane channel-like (TMC) 2 complex',Mouse',Human',"The TMC2 complex is primarily known for its role in mechanotransduction in the sensory hair cells of the inner ear. It is suggested to be part of the channel complex that allows Ca²⁺ ions to enter in response to mechanical stimuli, which is critical for auditory function.'",TMC2',Tmc2',(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (0.9 × 0.15) = 0.27 + 0.255 + 0.25 + 0.135 = **0.91**'
contextual,Transmembrane channel-like protein 2 (TMC2) complex',Mouse',Human',"The TMC2 complex is involved in mechanotransduction, specifically in cochlear hair cells where it is crucial for converting sound vibrations into electrical signals in the auditory pathway.'","Transmembrane channel-like protein 1, Transmembrane channel-like protein 2'","Tmc1, Tmc2'",(0.9 × 0.3) + (0.85 × 0.3) + (0.95 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.2375 + 0.15 = **0.9125**'
zero-shot,** 13 subunit eukaryotic initiation factor 3 (eIF3) complex,** Human,**,** The eIF3 complex plays a crucial role in the initiation phase of eukaryotic translation by facilitating the recruitment of the ribosome to the mRNA cap-structure. It also helps the assembly of the 43S pre-initiation complex and stabilizes the interaction between mRNA and the ribosome.,**,**,**
few-shot,13 subunit eukaryotic initiation factor 3 (eIF3) complex',Human',"Mouse, C. elegans, Drosophila melanogaster, Saccharomyces cerevisiae'","eIF3 is essential for the initiation phase of protein synthesis in eukaryotic cells, facilitating the recruitment of mRNA and the 40S ribosomal subunit and promoting correct start codon selection.'","eIF3a, eIF3b, eIF3c, eIF3d, eIF3e, eIF3f, eIF3g, eIF3h, eIF3i, eIF3j, eIF3k, eIF3l, eIF3m'","EIF3A, EIF3B, EIF3C, EIF3D, EIF3E, EIF3F, EIF3G, EIF3H, EIF3I, EIF3J, EIF3K, EIF3L, EIF3M'",(0.95 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.27 + 0.25 + 0.15 = **0.955**'
contextual,Eukaryotic Initiation Factor 3 (eIF3) Complex',Human',"Mouse, C. elegans, Drosophila melanogaster, Saccharomyces cerevisiae'","The eIF3 complex is critical in the initiation phase of eukaryotic translation. It plays a key role in the formation of the translation initiation complex, facilitating mRNA recruitment and ribosomal 40S subunit stabilization, and preventing ribosomal subunit reassociation.'","eIF3a, eIF3b, eIF3c, eIF3d, eIF3e, eIF3f, eIF3g, eIF3h, eIF3i, eIF3j, eIF3k, eIF3l, eIF3m'","EIF3A, EIF3B, EIF3C, EIF3D, EIF3E, EIF3F, EIF3G, EIF3H, EIF3I, EIF3J, EIF3K, EIF3L, EIF3M'",(0.95 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.27 + 0.25 + 0.15 = **0.955**
zero-shot,** Tip60 Chromatin-Remodeling Complex,** Human,**,**; **,**,,**; **
few-shot,Tip60 chromatin-remodeling complex',Drosophila melanogaster',"Human, Mouse, C. elegans, Saccharomyces cerevisiae'","The Tip60 chromatin-remodeling complex is involved in transcription regulation, DNA repair, chromatin modification, and apoptosis. It acetylates histone proteins and other key transcription-related substrates to regulate gene expression by altering chromatin structure and recruiting other necessary cofactors.'","Tip60 (Tat-interactive protein, 60kDa), Domino, Nipped-A, Enhancer of polycomb 1, Actin-related protein 4, Pontin, Reptin'","Tip60 (CG6121), Domino (DOM/CG1372), Nipped-A (CG9155), Enhancer of polycomb 1 (CG1624), Actin-related protein 4 (Arp4/CG2926), Pontin (CG8406), Reptin (CG18676)'",(0.90 × 0.3) + (0.85 × 0.3) + (0.95 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.2375 + 0.15 = **0.9125**'
contextual,Tip60 chromatin-remodeling complex',Drosophila melanogaster',"Human, Mouse, C. elegans, Saccharomyces cerevisiae'","The Tip60 chromatin-remodeling complex is involved in histone acetylation, DNA repair, and transcription regulation, playing a crucial role in chromatin remodeling and influencing gene expression patterns.'","Tip60, Domino, Actin-related protein 4 (Arp4), Enhancer of Polycomb (E(Pc)), Pontin, Reptin, among others'","Tip60 (CG14919), Domino (CG15569), Arp4 (CG4324), E(Pc) (CG6449), Pontin (CG10220), Reptin (CG8338)'",(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (0.95 × 0.15) = 0.27 + 0.255 + 0.25 + 0.1425 = **0.9175**'
