Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
few-shot,ATP1A1-TSHR complex,Human,"Confirmed primarily in humans; no definitive evidence for this specific complex in mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae as a direct, conserved complex.","The ATP1A1-TSHR complex is involved in thyroid hormone regulation, where TSHR (thyroid-stimulating hormone receptor) interacts with Na+/K+ ATPase (ATP1A1) to modulate signal transduction pathways influencing thyroid gland activity. This interaction may impact cellular ion homeostasis and hormone synthesis, although the direct physical complex formation is not as well-characterized as other receptor-transport ATPase complexes.",- ATP1A1 (Sodium/potassium-transporting ATPase alpha 1); - TSHR (Thyroid-stimulating hormone receptor),- ATP1A1; - TSHR,(0.9 × 0.3) + (0.8 × 0.3) + (0.95 × 0.25) + (0.8 × 0.15); = 0.27 + 0.24 + 0.2375 + 0.12; = **0.8675**
contextual,ATP1A1-TSHR Complex,Human,"Mouse (functional analogs may exist), but evidence for a direct ATP1A1-TSHR complex is primarily documented in humans.","In humans, the ATP1A1-TSHR complex is involved in modulating thyroid hormone synthesis and secretion. ATP1A1 (Na+/K+ ATPase alpha 1) plays a role in maintaining ion gradients essential for TSH receptor (TSHR) signaling pathways, influencing thyroid cell function and hormone regulation. While direct physical interaction evidence is limited, functional association via signaling pathways is noted in thyroid tissues.",- ATP1A1 (Na+/K+ ATPase alpha 1); - TSHR (Thyroid-stimulating hormone receptor),- ATP1A1; - TSHR,(0.90 × 0.3) + (0.75 × 0.3) + (1.0 × 0.25) + (0.9 × 0.15) =; 0.27 + 0.225 + 0.25 + 0.135 = **0.88**
zero-shot,ADRA1B-CXCR4 Complex,Human,"This complex is primarily documented in humans; there is limited or no evidence for this specific heterodimer in Mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.","This heterodimeric complex plays a role in modulating adrenergic signaling pathways and chemokine receptor functions, potentially influencing cardiovascular signaling, immune responses, and neurophysiology in humans. The interaction may affect receptor signaling, trafficking, or cross-regulation.",- Adrenergic receptor alpha-1B (ADRA1B); - Chemokine receptor CXCR4,- ADRA1B gene (encoding ADRA1B); - CXCR4 gene (encoding CXCR4),(0.3×0.9) + (0.3×0.8) + (0.25×1.0) + (0.15×1.0) = 0.27 + 0.24 + 0.25 + 0.15 = **0.88**
few-shot,ADRA1B-CXCR4 complex,Human,"No confirmed presence of a direct ADRA1B-CXCR4 complex in Mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae; both proteins are primarily studied in humans and mice but not known to form a complex across other species.","In humans, this complex is involved in modulating adrenergic signaling through the alpha-1B adrenergic receptor (ADRA1B) and chemokine receptor CXCR4 pathways. It may play roles in cardiovascular regulation, immune response, and cell migration, although direct physical interaction evidence is limited; rather, they are co-expressed and functionally linked in certain signaling contexts.",- Alpha-1B adrenergic receptor (ADRA1B); - Chemokine receptor CXCR4,- ADRA1B gene; - CXCR4 gene,(0.80 × 0.3) + (0.65 × 0.3) + (0.9 × 0.25) + (0.15) = 0.24 + 0.195 + 0.225 + 0.15 = **0.81**
contextual,ADRA1B-CXCR4 receptor complex,Human,"Mouse (Mus musculus) exhibits homologous complexes but with notable functional and structural divergence; no direct evidence suggests the formation of an analogous complex in C. elegans, D. melanogaster, or S. cerevisiae.","In humans, this complex is involved in adrenergic signaling modulation that influences immune cell migration, chemotaxis, and cardiovascular responses. Specifically, ADRA1B (alpha-1B adrenergic receptor) can modulate CXCR4-mediated chemotactic responses in immune and vascular cells, integrating adrenergic and chemokine signaling pathways.",,,(0.85 × 0.3) + (0.75 × 0.3) + (0.9 × 0.25) + (0.15) = 0.255 + 0.225 + 0.225 + 0.15 = **0.855**
zero-shot,Bdkrb2-Tbxa2r complex,Human (Homo sapiens),"The Bdkrb2-Tbxa2r complex is primarily characterized in humans; no well-documented presence in Mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae has been established or reported.","This heteromeric receptor complex primarily mediates vascular smooth muscle contraction, regulation of blood pressure, and participates in inflammatory responses by mediating the signaling pathways of vasoactive peptides such as bradykinin and thromboxane A2. It modulates vasoconstriction and platelet aggregation processes.",- Bradykinin receptor B2 (BDKRB2); - Thromboxane A2 receptor (TBXA2R),- BDKRB2 (Gene encoding Bradykinin receptor B2); - TBXA2R (Gene encoding Thromboxane A2 receptor),= (Consistency: 0.3) + (Experimental support: 0.3) + (Gene-protein accuracy: 0.25) + (Organism-specificity: 0.15); = 0.3 + 0.3 + 0.25 + 0.15; = 1.00
few-shot,Bdkrb2-Tbxa2r complex,Human,"The specific combination of this receptor complex (Bdkrb2-Tbxa2r) is predominantly characterized in humans; homologous receptor functions are present in other mammals, but the exact complex as described is specific to Homo sapiens in current literature.","The Bdkrb2-Tbxa2r complex in humans involves the Bradykinin receptor B2 (Bdkrb2) and the Thromboxane A2 receptor (Tbxa2r). This receptor complex plays pivotal roles in vascular regulation, mediating vasodilation, vascular permeability, platelet aggregation, and inflammatory responses. Specifically, Bdkrb2 is critical in mediating actions of bradykinin, leading to vasodilation and increased vascular permeability. Txa2r (also known as PTGSR) interacts with thromboxane A2, promoting vasoconstriction and platelet aggregation. Their interaction contributes to balanced vascular homeostasis and inflammatory processes.",- Bradykinin receptor B2 (BDKRB2); - Thromboxane A2 receptor (TBXA2R),- BDKRB2; - TBXA2R,
contextual,Bdkrb2-Tbxa2r complex,Human,"Mouse (Mus musculus) – conserved presence with similar functional roles; less evidence for presence in C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.","This heterodimeric receptor complex primarily functions in the coordination of vascular tone regulation, involving vasodilation and vasoconstriction, by mediating responses to biochemical signals such as bradykinin and thromboxane A2. It plays a significant role in mediating inflammatory responses and blood pressure regulation in humans.",- BKβ2 receptor (BDKRB2); - Thromboxane A2 receptor (TBXA2R); Corresponding Genes:; - BDKRB2 (Gene encoding Bradykinin receptor B2); - TBXA2R (Gene encoding Thromboxane A2 receptor),,(Consistency across sources: 0.8 × 0.3) +; (Supporting experimental data: 0.75 × 0.3) +; (Protein-gene mapping accuracy: 0.9 × 0.25) +; (Specificity to human: 1.0 × 0.15) =; (0.24) + (0.225) + (0.225) + (0.15) = **0.84**
zero-shot,D2 Dopamine Receptor and Endothelin Receptor Type B Complex,Human,"The Drd3-Ednrb complex is predominantly characterized in humans; there is limited or no evidence of this specific receptor complex formation in Mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.","This complex is involved in modulating neurochemical signaling pathways related to dopamine and endothelin signaling, which influence vasculature, neural development, and cell proliferation in humans. It may play roles in neurovascular regulation and neurological diseases, primarily within the human central and peripheral nervous systems.",- Dopamine receptor D3 (DRD3); - Endothelin receptor type B (EDNRB),- DRD3 (Gene encoding Dopamine receptor D3); - EDNRB (Gene encoding Endothelin receptor type B),(0.3*1.00) + (0.3*1.00) + (0.25*1.00) + (0.15*1.00) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**
few-shot,Drd3-Ednrb complex,Human,"The functional homologs of these receptors are present in mice, but the specific Drd3-Ednrb complex is not definitively characterized as conserved or forming a stable complex directly in species other than humans.","The Drd3-Ednrb complex in humans is primarily associated with neural signaling pathways involving dopamine receptor D3 (DRD3) and endothelin receptor type B (EDNRB). These receptors play roles in neural development, vascular regulation, and potentially in neuropsychiatric conditions, although direct physical or functional interactions between DRD3 and EDNRB are not well characterized as a stable complex but are studied for their overlapping signaling pathways in neural tissues.",,,(0.85 × 0.3) + (0.8 × 0.3) + (0.95 × 0.25) + (0.8 × 0.15) = 0.255 + 0.24 + 0.2375 + 0.12 = **0.8525**
contextual,Drd3-Ednrb Complex,Mouse (Mus musculus),"Human (Homo sapiens) – orthologs are well-characterized; limited data suggesting functional complexes in other species, but primarily studied in mammalian models.","This complex is involved in neuroregulation and vascular development pathways. Drd3 (dopamine receptor D3) functions primarily in modulating dopaminergic neurotransmission, influencing behaviors and neurophysiological responses. Ednrb (endothelin receptor type B) is involved in processes such as neural crest development and vascular patterning. Their interaction suggests a role in coordinating neural signaling with vascular or peripheral nervous system development, especially in neural crest-derived tissues.","Drd3 (Dopamine receptor D3), Ednrb (Endothelin receptor type B)","Drd3 gene (Drd3), Ednrb gene (Ednrb)",
zero-shot,Egflam-Gpr179 Complex,Mouse (Mus musculus),"The Egflam-Gpr179 complex is primarily characterized in mouse; there is limited or no evidence supporting its presence in Human, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.","The Egflam-Gpr179 complex is involved in signaling pathways within retinal ON-bipolar cells, contributing to visual signal transduction and possibly modulating synaptic activity.","- EGFLAM (EGF-like, fibulin-type extracellular matrix protein); - GPR179 (G-protein coupled receptor 179)",- Egflam gene (mouse: Egflam); - Gpr179 gene (mouse: Gpr179),(0.3 * 1.0) + (0.3 * 0.9) + (0.25 * 1.0) + (0.15 * 1.0) = 0.3 + 0.27 + 0.25 + 0.15 = **0.97**
few-shot,Egflam-Gpr179 complex,Mouse (Mus musculus),"The GPR179 orthologs and associations are primarily studied in mice and humans; there is limited evidence for this exact complex in other organisms such as Drosophila, C. elegans, or Saccharomyces cerevisiae.","The Egflam-Gpr179 complex plays a crucial role in the retina, specifically in the synaptic transmission between photoreceptors and bipolar cells. Gpr179 is essential for ON bipolar cell signaling and influences retinal signal transduction related to vision. Mutations affect visual function, linking the complex to inherited retinal diseases such as congenital stationary night blindness.",- EGFLAM (Epidermal growth factor–like module-containing mucin-like hormone receptor-like protein); - GPR179 (G Protein-Coupled Receptor 179),- Egflam gene (also known as the MAM domain containing glycoprotein gene); - Gpr179 gene,
contextual,Egflam-Gpr179 complex,Mouse (Mus musculus),Human (Homo sapiens),"This complex is integral to retinal ON bipolar cell signaling in the mammalian visual system. Specifically, it modulates synaptic transmission from photoreceptor cells to bipolar cells, contributing to visual contrast detection and signal amplification. GPR179 acts as a key receptor in this pathway, while EGF-like domain-containing proteins such as EGFLAM (also known as EPS15L1), are involved in cell adhesion and signaling within the retina.",- EGFLAM (also known as EPS15L1); - GPR179,"- Egflam gene (EGFLAM in humans; ortholog in mice); - Gpr179 gene (GPR179 in humans and mice); Notes:; - The Egflam-Gpr179 complex has been most extensively characterized in mice, with significant functional studies also in humans due to the association of GPR179 mutations with congenital stationary night blindness (CSNB).; - The complex is less characterized or absent in invertebrates such as Drosophila, C. elegans, or yeast, where orthologs do not share substantial similarity or functional relevance.; Self Confidence Score Calculation:; - Consistency of information across sources: 0.85; - Supporting experimental data: 0.75; - Accuracy of protein-gene mapping: 0.9; - Organism-specific analysis: 0.9; Total confidence score:; (0.85 × 0.30) + (0.75 × 0.30) + (0.9 × 0.25) + (0.9 × 0.15) = 0.255 + 0.225 + 0.225 + 0.135 = **0.84**",
zero-shot,Ceacam1-4L-Syk-Tlr4 complex,Homo sapiens (Human),"This specific complex components and their interactions are predominantly characterized in humans. Similar interactions involving CEACAM1, Syk, and TLR4 are less documented or absent in mice, C. elegans, Drosophila melanogaster, and Saccharomyces cerevisiae, making this complex mostly human-specific.","This complex primarily functions in immune response modulation in humans, specifically mediating innate immunity through recognition of pathogen-associated molecular patterns (PAMPs), triggering signaling cascades that lead to cytokine production and inflammation regulation. It integrates signals from immune receptor pathways involving CEACAM1 and TLR4, with Syk kinase acting as a signaling adaptor.",- CEACAM1 (Carcinoembryonic antigen-related cell adhesion molecule 1); - Syk (Spleen tyrosine kinase); - TLR4 (Toll-like receptor 4),- CEACAM1 gene (CEACAM1); - Syk gene (SYK); - TLR4 gene (TLR4),(0.3 * 1.0) + (0.3 * 0.8) + (0.25 * 1.0) + (0.15 * 1.0) = 0.3 + 0.24 + 0.25 + 0.15 = **0.94**
few-shot,Ceacam1-4L-Syk-Tlr4 complex,Mouse,"- The CEACAM1-Syk-TLR4 interaction is predominantly characterized in mammals, especially Mouse and Human. It is less described or absent in C. elegans, Drosophila melanogaster, and Saccharomyces cerevisiae.","This complex plays a critical role in innate immune signaling. CEACAM1 (Carcinoembryonic Antigen-Related Cell Adhesion Molecule 1) functions as an inhibitory receptor modulating immune responses, particularly by recruiting the tyrosine kinase Syk upon ligand engagement. TLR4 (Toll-like receptor 4) recognizes lipopolysaccharide (LPS) from Gram-negative bacteria, initiating downstream signaling that activates immune inflammatory pathways. The assembly of Ceacam1-4L, Syk, and Tlr4 coordinates immune detection and regulation, balancing activation and inhibition in immune cells such as macrophages and dendritic cells.",- CEACAM1 (Carcinoembryonic Antigen-Related Cell Adhesion Molecule 1); - Syk (Spleen tyrosine kinase); - TLR4 (Toll-like receptor 4); Corresponding Genes:; - Ceacam1: C1ad (Gene symbol: Ceacam1); - Syk: Syk; - Tlr4: Tlr4,,(0.80 × 0.3) + (0.85 × 0.3) + (0.9 × 0.25) + (0.75 × 0.15) =; 0.24 + 0.255 + 0.225 + 0.1125 = **0.8325**
contextual,Ceacam1-4L-Syk-Tlr4 complex,Mouse,"Human (homologous components; homologs of Ceacam1 and Tlr4 are present, but the exact complex configuration is most characterized and prominent in mouse)","In mice, this complex integrates signals from innate immune receptors (Tlr4) and adhesion molecules (Ceacam1), modulating immune responses, inflammation, and potentially impacting autoimmunity by regulating Syk kinase activity. It plays a pivotal role in macrophage and dendritic cell activation and cytokine production.","- Ceacam1-4L (Carcinoembryonic antigen-related cell adhesion molecule 1, isoform 4L); - Syk (Spleen tyrosine kinase); - Tlr4 (Toll-like receptor 4)",- Ceacam1 (Ceacam1 gene); - Syk (Syk gene); - Tlr4 (Tlr4 gene); Confidence score calculation:; - Consistency across sources: 0.85; - Supporting experimental data in mice: 0.9; - Accuracy of protein-gene mapping: 0.9; - Organism-specific information: 0.9; Score = (0.85 × 0.3) + (0.9 × 0.3) + (0.9 × 0.25) + (0.9 × 0.15); Score = 0.255 + 0.27 + 0.225 + 0.135; **= 0.885**,
zero-shot,Human KDR-NRP1-VEGF165 Complex,Homo sapiens (Human),None; this complex is primarily characterized in humans.,"This complex mediates angiogenesis by facilitating VEGF165 binding to its receptors on endothelial cells, promoting blood vessel formation and growth in humans.","- KDR (Kinase Insert Domain Receptor), also known as VEGFR2; - NRP1 (Neuropilin-1); - VEGF165 (Vascular Endothelial Growth Factor A isoform 165)",- KDR gene (also known as FLK1 or VEGFR2); - NRP1 gene; - VEGFA gene (encoding VEGF165 isoform),= (0.3 * 1.00) + (0.3 * 1.00) + (0.25 * 1.00) + (0.15 * 1.00); = 0.3 + 0.3 + 0.25 + 0.15; = **1.00**
few-shot,KDR-NRP1-VEGF165 complex,Human,"This specific complex has been predominantly characterized in humans. Homologous interactions are conserved in mice, reflecting similar functions in mammalian angiogenesis, but the exact complex composition involving VEGF165, NRP1, and VEGFR2 is specific to human and mouse. It is not well characterized in C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.","This complex plays a pivotal role in human angiogenesis by mediating vascular endothelial growth factor (VEGF) signaling. VEGF165 binds to its receptor VEGFR2 (also known as KDR), with NRP1 acting as a co-receptor to enhance signal transduction, promoting endothelial cell proliferation, migration, and new blood vessel formation.","- KDR (Kinase insert domain receptor, also known as VEGFR2); - NRP1 (Neuropilin-1); - VEGF165 (Vascular Endothelial Growth Factor 165 isoform)","- KDR gene; - NRP1 gene; - VEGFA gene (encoding VEGF-A, with VEGF165 isoform resulting from alternative splicing)",
