Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,Ceacam1-4L-Syk-Tlr4 complex,Human,None specifically confirmed,Immune signaling and cell adhesion regulation in immune response,CEACAM1 (Carcinoembryonic antigen-related cell adhesion molecule 1); CEACAM4L (Carcinoembryonic antigen-related cell adhesion molecule 4-like); SYK (Spleen tyrosine kinase); TLR4 (Toll-like receptor 4),CEACAM1; CEACAM4; SYK; TLR4,0.535
few-shot,Ceacam1-4L-Syk-Tlr4 complex,Human; 0.8 × 0.15 = 0.12,N/A,Signal transduction and immune response regulation;  particularly in innate immune cell interactions and inflammatory processes,Carcinoembryonic antigen-related cell adhesion molecule 1 (CEACAM1); CEACAM1 4L isoform; Spleen tyrosine kinase (Syk); Toll-like receptor 4 (TLR4); 0.9 × 0.25 = 0.225,CEACAM1; CEACAM1 (4L isoform variant); SYK; TLR4; Self Confidence Score Calculation:; Consistency across sources: 0.7 × 0.3 = 0.21; Supporting experimental data: 0.6 × 0.3 = 0.18,
contextual,Ceacam1-4L-Syk-Tlr4 complex,Human,N/A,Immune signaling and cell adhesion complex involved in inflammatory response regulation and pathogen recognition;  particularly in cellular interactions and immune signal transduction.,Carcinoembryonic antigen-related cell adhesion molecule 1 (Ceacam1); Spleen tyrosine kinase (Syk); Toll-like receptor 4 (Tlr4); Long isoform of Ceacam1 (4L),CEACAM1; SYK; TLR4,0.735
zero-shot,KDR-NRP1-VEGF165 complex,Human,None,Mediates angiogenesis and vascular development through receptor-ligand interactions that promote endothelial cell proliferation;  migration;  and survival,VEGF165 (Vascular Endothelial Growth Factor 165); KDR (Kinase Domain Receptor;  also known as VEGFR-2); NRP1 (Neuropilin-1),VEGFA (encodes VEGF165); KDR (encodes KDR/VEGFR-2); NRP1 (encodes Neuropilin-1); Self Confidence Score Calculation:; (Consistency across sources: 0.8 × 0.3) + (Experimental data support: 0.75 × 0.3) + (Protein-gene mapping accuracy: 0.9 × 0.25) + (Organism specificity: 1.0 × 0.15) = 0.24 + 0.225 + 0.225 + 0.15 = 0.84,
few-shot,KDR-NRP1-VEGF165 complex,Human; 1.00,N/A,This protein complex plays a critical role in angiogenesis;  mediating vascular endothelial growth factor (VEGF) signaling and promoting blood vessel formation and growth.,Vascular Endothelial Growth Factor A (VEGF-A); Kinase Insert Domain Receptor (KDR/VEGFR-2); Neuropilin-1 (NRP1); 1.00,VEGFA; KDR; NRP1; Self Confidence Score Calculation:; Consistency across databases (0.30 weight): 0.90; Supporting experimental data (0.30 weight): 0.85,
contextual,KDR-NRP1-VEGF165 complex,Human; 1.0 × 0.15 = 0.15,N/A,Mediates vascular endothelial growth factor (VEGF) signaling;  critical for angiogenesis;  blood vessel formation;  and vascular permeability in humans.,Kinase insert domain receptor (KDR/VEGFR-2); Neuropilin-1 (NRP1); Vascular endothelial growth factor 165 (VEGF165); 1.0 × 0.25 = 0.25,KDR (also known as VEGFR2); NRP1; VEGFA; Self Confidence Score Calculation:; Consistency across databases: 0.92 × 0.3 = 0.276; Supporting experimental data: 0.88 × 0.3 = 0.264,0.94
zero-shot,NRP1-VEGF121 complex,Human; 0.95 (highly specific human context),Mouse,Facilitates angiogenesis and vascular development through interaction between neuropilin-1 receptor and vascular endothelial growth factor,Neuropilin-1 (NRP1);  Vascular Endothelial Growth Factor 121 (VEGF121); 0.80 (well-established mapping),NRP1;  VEGFA,[Calculation]
few-shot,NRP1-VEGF121 complex,Human,N/A,Mediates vascular endothelial growth factor (VEGF) signaling;  crucial for angiogenesis;  neuronal guidance;  and cell migration processes in the human body.,Neuropilin-1 (NRP1); Vascular Endothelial Growth Factor 121 (VEGF121),NRP1 (Neuropilin-1 gene); VEGFA (Vascular Endothelial Growth Factor A gene); Self Confidence Score Calculation:; Consistency across databases (0.90 × 0.3) = 0.270; Supporting experimental data (0.85 × 0.3) = 0.255; Protein-gene mapping accuracy (0.95 × 0.25) = 0.238; Organism-specific information (1.0 × 0.15) = 0.150,0.913
contextual,NRP1-VEGF121 complex,Human; 1.0 × 0.15 = 0.15,N/A,Acts as a critical co-receptor in angiogenesis;  facilitating vascular endothelial growth factor (VEGF) signaling and promoting endothelial cell proliferation;  migration;  and survival.,Neuropilin-1 (NRP1); Vascular Endothelial Growth Factor 121 (VEGF121); 1.0 × 0.25 = 0.25,NRP1 (Neuropilin-1 gene); VEGFA (Vascular Endothelial Growth Factor A gene); Self Confidence Score Calculation:; Consistency across databases: 0.95 × 0.3 = 0.285; Supporting experimental data: 0.90 × 0.3 = 0.27,
zero-shot,KDR-VEGF165 complex,Human,Mouse,Mediates angiogenesis;  cell proliferation;  and vascular permeability through receptor-ligand interaction,VEGF165 (Vascular Endothelial Growth Factor 165); KDR/VEGFR-2 (Kinase Insert Domain Receptor),VEGFA (encoding VEGF165); KDR (encoding KDR/VEGFR-2),0.9125
few-shot,KDR-VEGF165 complex,Human,N/A,Receptor-ligand interaction crucial for angiogenesis;  cell proliferation;  and vascular permeability in endothelial cells,Kinase insert domain receptor (VEGFR-2/KDR); Vascular endothelial growth factor 165 (VEGF165),KDR (Kinase Insert Domain Receptor); VEGFA (Vascular Endothelial Growth Factor A); Self Confidence Score Calculation:; Consistency across databases (0.90 × 0.3) = 0.27; Supporting experimental data (0.85 × 0.3) = 0.255; Protein-gene mapping accuracy (0.95 × 0.25) = 0.2375; Organism-specific information (1.0 × 0.15) = 0.15,0.9125
contextual,KDR-VEGF165 complex,Human; 1.00,N/A,Mediates angiogenesis and vascular permeability through receptor-ligand interaction;  critical for blood vessel formation and growth,Kinase insert domain receptor (KDR/VEGFR-2); Vascular endothelial growth factor 165 (VEGF165); 1.00,KDR (Kinase Insert Domain Receptor); VEGFA (Vascular Endothelial Growth Factor A); Self Confidence Score Calculation:; Consistency across sources: 0.90; Supporting experimental data: 0.85,0.925
zero-shot,FLT4-VEGFC complex,Human,Mouse,Mediates lymphangiogenesis and vascular development through tyrosine kinase receptor signaling,FLT4 (VEGFR-3);  VEGFC,FLT4 (chromosomal location 5q35.3);  VEGFC (chromosomal location 4q34.3),
few-shot,FLT4-VEGFC complex,Human; 0.95 × 0.15 = 0.143,Mouse,Mediates lymphangiogenesis and lymphatic vascular development through receptor-ligand interaction;  facilitating cell signaling and vascular growth,Vascular endothelial growth factor C (VEGFC);  Fms-like tyrosine kinase 4 receptor (FLT4/VEGFR3); 1.00 × 0.25 = 0.250,VEGFC;  FLT4,0.918
contextual,FLT4-VEGFC complex,Human,N/A,This receptor-ligand complex is crucial for lymphangiogenesis;  regulating lymphatic vessel growth;  development;  and maintenance through tyrosine kinase signaling.,Vascular endothelial growth factor C (VEGFC); Fms-related tyrosine kinase 4 (FLT4/VEGFR-3),VEGFC; FLT4; Self Confidence Score Calculation:; Consistency across databases (0.90 × 0.30) = 0.270; Experimental data support (0.85 × 0.30) = 0.255; Protein-gene mapping accuracy (0.95 × 0.25) = 0.2375; Organism-specific specificity (1.00 × 0.15) = 0.150,0.9125
zero-shot,ITGA3-ITGB1 integrin complex,Human,Mouse,Cell adhesion;  signal transduction;  and regulation of cell migration and survival in epithelial tissues,Integrin alpha-3 (ITGA3); Integrin beta-1 (ITGB1),ITGA3 (Integrin Subunit Alpha 3); ITGB1 (Integrin Subunit Beta 1); Self Confidence Score Calculation:; (Consistency across sources: 0.25/0.30) + (Experimental support: 0.20/0.30) + (Protein-gene mapping accuracy: 0.22/0.25) + (Organism specificity: 0.14/0.15) = 0.81,0.81
few-shot,ITGA3-ITGB1 complex,Human; 1.00,Mouse,Cell adhesion complex that mediates attachment between cells and the extracellular matrix;  crucial for cell migration;  signaling;  and tissue organization in humans.,Integrin alpha-3;  Integrin beta-1; 1.00,ITGA3;  ITGB1,0.925
contextual,ITGA3-ITGB1 integrin complex,Human,Mouse,Cell adhesion receptor that connects the extracellular matrix to the intracellular actin cytoskeleton;  mediating cell-matrix interactions;  signal transduction;  and cellular migration in epithelial and endothelial tissues,Integrin alpha-3 (ITGA3); Integrin beta-1 (ITGB1),ITGA3 (Integrin Subunit Alpha 3); ITGB1 (Integrin Subunit Beta 1); Self Confidence Score Calculation:; (0.95 × 0.3) + (0.88 × 0.3) + (1.0 × 0.25) + (0.95 × 0.15); = 0.285 + 0.264 + 0.25 + 0.1425; = 0.842; Confidence score reflects high confidence in data sourcing;  strong experimental validation;  precise protein-gene mapping;  and specific focus on human biological context.,
zero-shot,Golgi-associated retrograde protein (GARP) complex,Human,Saccharomyces cerevisiae,Tethering and fusion of retrograde transport vesicles from the endosome to the trans-Golgi network,VPS51 (Vacuolar protein sorting 51); VPS52 (Vacuolar protein sorting 52); VPS53 (Vacuolar protein sorting 53); VPS54 (Vacuolar protein sorting 54),VPS51; VPS52; VPS53; VPS54,0.815
few-shot,Golgi-associated retrograde protein (GARP) complex,Human,N/A,The GARP complex is responsible for tethering and facilitating vesicle fusion at the trans-Golgi network;  specifically involved in retrograde trafficking from endosomes to the Golgi apparatus.,VPS51 (Vacuolar protein sorting 51 homolog); VPS52 (Vacuolar protein sorting 52 homolog); VPS53 (Vacuolar protein sorting 53 homolog); VPS54 (Vacuolar protein sorting 54 homolog),VPS51; VPS52; VPS53; VPS54; Self Confidence Score Calculation:; (Consistency across sources: 0.85 × 0.3) +; (Experimental supporting data: 0.75 × 0.3) +; (Protein-gene mapping accuracy: 0.90 × 0.25) +; (Organism specificity: 1.0 × 0.15) =; 255 + 0.225 + 0.225 + 0.15 = 0.855,
contextual,Golgi-associated retrograde protein (GARP) complex,Human; 0.95 × 0.15 = 0.1425,N/A (most extensively studied in humans),Involved in retrograde trafficking from endosomes to the trans-Golgi network (TGN);  specifically facilitating cargo transport and membrane fusion,VPS52 (Vacuolar protein sorting 52 homolog); VPS53 (Vacuolar protein sorting 53 homolog); VPS54 (Vacuolar protein sorting 54 homolog); TMEM immunity-related GTPase family M protein; 1.00 × 0.25 = 0.25,VPS52; VPS53; VPS54; TMEM immunity-related GTPase gene; Self Confidence Score Calculation:; Consistency across databases: 0.90 × 0.30 = 0.27; Supporting experimental data: 0.85 × 0.30 = 0.255,0.92
zero-shot,Transmembrane channel-like (TMC) 2 complex,Homo sapiens (Human),Mouse,Essential for mechanotransduction in hair cells;  particularly in auditory and vestibular systems,Transmembrane channel-like protein 2 (TMC2); Transmembrane channel-like protein 1 (TMC1),TMC2; TMC1,Calculation
few-shot,Transmembrane channel-like (TMC) 2 complex,Human,Mouse,Essential for hearing and sound transduction in hair cells of the inner ear;  specifically involved in mechanotransduction and sound sensitivity,Transmembrane channel-like protein 2,TMC2,0.848
contextual,Transmembrane channel-like (TMC) 2 complex,Human; 1.00 × 0.15 = 0.150,Mouse,Essential for mechanotransduction in inner ear hair cells;  specifically involved in sound detection and auditory signal transduction,Transmembrane channel-like protein 2 (TMC2); 0.95 × 0.25 = 0.2375,TMEM38B (TMC2 gene); Self Confidence Score Calculation:; Consistency across databases: 0.85 × 0.30 = 0.255; Supporting experimental data: 0.90 × 0.30 = 0.270,0.9125
zero-shot,Eukaryotic Initiation Factor 3 (eIF3) Complex,Homo sapiens (Human),Saccharomyces cerevisiae;  Drosophila melanogaster,Regulates translation initiation by facilitating ribosome assembly;  mRNA recruitment;  and translation start site recognition,eIF3a (eIF3A); eIF3b (eIF3B); eIF3c (eIF3C); eIF3d (eIF3D); eIF3e (eIF3E); eIF3f (eIF3F); eIF3g (eIF3G); eIF3h (eIF3H); eIF3i (eIF3I); eIF3j (eIF3J); eIF3k (eIF3K); eIF3l (eIF3L); eIF3m (eIF3M),EIF3A; EIF3B; EIF3C; EIF3D; EIF3E; EIF3F; EIF3G; EIF3H; EIF3I; EIF3J; EIF3K; EIF3L; EIF3M; Self Confidence Score Calculation:; (Consistency of sources: 0.9 * 0.3) + (Experimental data: 0.85 * 0.3) + (Protein-gene mapping: 0.95 * 0.25) + (Organism specificity: 1.0 * 0.15) = 0.90,
few-shot,Eukaryotic Initiation Factor 3 (eIF3) complex,Human; 1.00 × 0.15 = 0.150,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae,A multi-subunit protein complex that plays a crucial role in translation initiation by facilitating the assembly of the 43S preinitiation complex and promoting mRNA recruitment to the ribosome,eIF3a (eIF3A); eIF3b (eIF3B); eIF3c (eIF3C); eIF3d (eIF3D); eIF3e (eIF3E); eIF3f (eIF3F); eIF3g (eIF3G); eIF3h (eIF3H); eIF3i (eIF3I); eIF3j (eIF3J); eIF3k (eIF3K); eIF3l (eIF3L); eIF3m (eIF3M); 0.95 × 0.25 = 0.238,EIF3A; EIF3B; EIF3C; EIF3D; EIF3E; EIF3F; EIF3G; EIF3H; EIF3I; EIF3J; EIF3K; EIF3L; EIF3M,0.913
contextual,Eukaryotic Initiation Factor 3 (eIF3) Complex,Human,Mouse;  Drosophila melanogaster,A multi-subunit protein complex crucial for translation initiation in eukaryotic cells;  responsible for recruiting the 40S ribosomal subunit to mRNA and facilitating translation initiation complex assembly.,eIF3a (eIF3A); eIF3b (eIF3B); eIF3c (eIF3C); eIF3d (eIF3D); eIF3e (eIF3E); eIF3f (eIF3F); eIF3g (eIF3G); eIF3h (eIF3H); eIF3i (eIF3I); eIF3j (eIF3J); eIF3k (eIF3K); eIF3l (eIF3L); eIF3m (eIF3M),EIF3A; EIF3B; EIF3C; EIF3D; EIF3E; EIF3F; EIF3G; EIF3H; EIF3I; EIF3J; EIF3K; EIF3L; EIF3M,0.9275
zero-shot,Tip60 chromatin-remodeling complex,Human,Drosophila melanogaster,Acetylates histones;  regulates gene expression;  DNA damage response;  and chromatin remodeling,Tip60 (KAT5); TRRAP; BAF53A; ARP4; EPC1; EPC2; MRGBP,KAT5; TRRAP; BAF53A; ACTL6A; EPC1; EPC2; MRGBP,0.815
few-shot,Tip60 chromatin-remodeling complex,Human; 1.00 × 0.15 = 0.150,Drosophila melanogaster,Regulates gene expression through histone acetylation;  DNA damage response;  and chromatin remodeling;  playing a crucial role in transcriptional activation and DNA repair mechanisms.,KAT5 (Tip60/GCN5); TRRAP (Transformation/transcription domain-associated protein); WD repeat-containing protein 5 (WDR5); Regulatory proteins of the NuA4 histone acetyltransferase complex; 0.95 × 0.25 = 0.238,KAT5; TRRAP; WDR5; Additional associated genes involved in histone acetylation and chromatin remodeling; Self Confidence Score Calculation:; Consistency across sources: 0.85 × 0.30 = 0.255; Supporting experimental data: 0.90 × 0.30 = 0.270,0.913
