Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,ADRA1B-CXCR4 complex,Human,Current literature and databases do not explicitly mention the presence of this complex in Mouse;  C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae.,The ADRA1B-CXCR4 complex is involved in signal transduction mechanisms. Specifically;  the complex facilitates the interaction between adrenergic and chemokine receptor signaling pathways. This can play a key role in processes like cell migration and response to external stimuli.,The complex consists of ADRA1B (Alpha-1B adrenergic receptor) and CXCR4 (C-X-C chemokine receptor type 4).,ADRA1B: The gene encoding the Alpha-1B adrenergic receptor is ADRA1B.; CXCR4: The gene encoding the C-X-C chemokine receptor type 4 is CXCR4.,0.95
few-shot,ADRA1B-CXCR4 complex',Human',Mouse',The ADRA1B-CXCR4 complex involves the interaction between the alpha-1B adrenergic receptor (ADRA1B) and the C-X-C chemokine receptor type 4 (CXCR4);  potentially contributing to cellular responses to adrenergic signals and chemokine gradients;  which may influence cell migration;  cardiovascular system regulation;  and immune response.',Alpha-1B adrenergic receptor (ADRA1B);  C-X-C chemokine receptor type 4 (CXCR4)',ADRA1B;  CXCR4',0.9125
contextual,ADRA1B-CXCR4 complex',Human',Mouse',The ADRA1B-CXCR4 complex involves interactions between adrenergic and chemokine receptors;  impacting various signaling pathways associated with cell migration;  immune response;  and cardiovascular processes.',Alpha-1B adrenergic receptor;  C-X-C chemokine receptor type 4',ADRA1B;  CXCR4',0.9125
zero-shot,Bdkrb2-Tbxa2r Complex,Human,The Bdkrb2-Tbxa2r complex is not well-documented in organisms other than humans within the context of the specified organisms;  meaning there is insufficient evidence or studies regarding its presence in Mouse;  C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae.,The Bdkrb2-Tbxa2r complex consists of the bradykinin receptor B2 (Bdkrb2) and thromboxane A2 receptor (Tbxa2r). In humans;  this complex is primarily involved in modulating vascular tone and inflammation. The interaction between these receptors could be important in diverse physiological processes;  such as regulating blood pressure and contributing to inflammatory responses.,Bradykinin receptor B2 (Bdkrb2); Thromboxane A2 receptor (Tbxa2r),BDKRB2; TBXA2R,0.8425
few-shot,Bdkrb2-Tbxa2r complex,Mouse,Human,The Bdkrb2-Tbxa2r complex is involved in vasoregulation and modulation of inflammatory responses and blood pressure regulation.,Bradykinin receptor B2 (Bdkrb2);  Thromboxane A2 receptor (Tbxa2r),Bdkrb2;  Tbxa2r,0.885
contextual,Bdkrb2-Tbxa2r complex,Mouse,N/A,The Bdkrb2-Tbxa2r complex is involved in modulating responses to inflammation;  helping to regulate vasoconstriction;  vasodilation;  and platelet aggregation in the mouse.,Bradykinin receptor B2;  Thromboxane A2 receptor,Bdkrb2;  Tbxa2r,0.925
zero-shot,Drd3-Ednrb Complex,Mouse,Human,The Drd3-Ednrb complex involves interactions between the dopamine receptor D3 (Drd3) and the endothelin receptor type B (Ednrb). This complex modulates dopamine signaling pathways;  which can influence neurotransmission and cardiovascular functions. The interaction may play a role in regulating neuronal processes such as cognition;  mood;  and movement;  as well as vascular tone and blood pressure regulation.,Dopamine Receptor D3 (Drd3);  Endothelin Receptor Type B (Ednrb),Drd3: Encoded by the Drd3 gene; Ednrb: Encoded by the Ednrb gene,0.940
few-shot,Drd3-Ednrb complex',Mouse',Human',This complex involves the interaction between the dopamine receptor D3 (Drd3) and the endothelin receptor type B (Ednrb);  which may play roles in modulating neurotransmission and possibly related to neurodegeneration or psychiatric disorders.',Dopamine receptor D3;  Endothelin receptor type B',Drd3;  Ednrb',0.895
contextual,Drd3-Ednrb complex',Mouse',Human',A protein complex involved in regulating neuronal functions;  including neurotransmitter signaling and vasoconstriction;  through dopamine receptor D3 and endothelin receptor B pathways.',Dopamine receptor D3;  Endothelin receptor type B',Drd3;  Ednrb',0.91
zero-shot,Egflam-Gpr179 complex,Mouse,None,The Egflam-Gpr179 complex is involved in the functioning of ON bipolar cells in the retina. It plays a crucial role in the synaptic transmission and visual signal processing;  particularly in the signaling pathways that mediate the response of bipolar cells to changes in light conditions.,Egflam;  Gpr179,Egflam (Epidermal growth factor-like;  fibronectin type III and laminin G domains);  Gpr179 (G protein-coupled receptor 179),0.97
few-shot,Egflam-Gpr179 complex',Mouse',Human',This complex is involved in signal transduction;  particularly in photoreceptor synaptic signaling in the retina. It plays a crucial role in the functioning of photoreceptor cells by contributing to the proper transduction of visual signals.',EGF-like;  fibronectin type-III and laminin G-like domain-containing protein (Egflam);  G protein-coupled receptor 179 (Gpr179)',Egflam;  Gpr179',0.925
contextual,Egflam-Gpr179 complex',Mouse',Human',Involved in signal transduction processes in the retina;  particularly essential for the proper functioning of ON-bipolar cells in the visual pathway.',EGF-like;  fibronectin type III and laminin G-like domain-containing protein (Egflam);  G protein-coupled receptor 179 (Gpr179)',Egflam;  Gpr179',0.915
zero-shot,Ceacam1-4L-Syk-Tlr4 complex,Mouse,The specific Ceacam1-4L-Syk-Tlr4 complex has not been consistently documented in the other organisms listed (Human;  C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae).,The Ceacam1-4L-Syk-Tlr4 complex is involved in immune signaling. It plays a crucial role in pathogen recognition and the subsequent activation of immune responses. It is involved in modulating Toll-like receptor (TLR) signaling pathways;  which are essential for innate immunity.,The complex is composed of Carcinoembryonic antigen-related cell adhesion molecule 1 (Ceacam1);  Spleen tyrosine kinase (Syk);  and Toll-like receptor 4 (Tlr4).,Corresponding mouse genes for the proteins involved are:,0.2415
few-shot,Ceacam1-4L-Syk-Tlr4 complex,Human,Mouse,This complex is involved in immune signal transduction. It plays a role in mediating responses to pathogenic infections by modulating the immune response;  particularly in cellular signaling pathways associated with inflammation.,Carcinoembryonic antigen-related cell adhesion molecule 1 (CEACAM1);  Spleen tyrosine kinase (SYK);  Toll-like receptor 4 (TLR4),CEACAM1;  SYK;  TLR4,0.925
contextual,Ceacam1-4L-Syk-Tlr4 complex',Mouse',N/A',Involved in immune signaling pathways;  with roles in orchestrating inflammatory responses and modulating immune cell activation.',Carcinoembryonic antigen-related cell adhesion molecule 1 (Ceacam1-4L);  Spleen tyrosine kinase (Syk);  Toll-like receptor 4 (Tlr4)',Ceacam1;  Syk;  Tlr4',0.8825
zero-shot,KDR-NRP1-VEGF165 Complex,Human,Mouse,The KDR-NRP1-VEGF165 complex plays a crucial role in angiogenesis;  which is the process of new blood vessel formation. VEGF165 (Vascular Endothelial Growth Factor 165);  a potent pro-angiogenic factor;  binds to VEGF receptor 2 (KDR/Flk-1) and neuropilin-1 (NRP1);  enhancing the VEGF165 signaling pathway essential for endothelial cell proliferation;  migration;  and survival.,KDR/Flk-1 (Kinase Insert Domain Receptor/VEGF Receptor 2); NRP1 (Neuropilin-1); VEGF165 (Vascular Endothelial Growth Factor 165),KDR: The gene for KDR/Flk-1 is KDR.; NRP1: The gene for neuropilin-1 is NRP1.; VEGFA: The gene encoding VEGF165 is VEGFA.,0.955
few-shot,KDR-NRP1-VEGF165 complex,Human,Mouse,This protein complex plays a crucial role in angiogenesis;  the process of blood vessel formation;  by facilitating VEGF signaling. It is involved in promoting vascular permeability;  endothelial cell proliferation;  migration;  and survival.,Kinase insert domain receptor (KDR or VEGFR2);  Neuropilin-1 (NRP1);  Vascular endothelial growth factor 165 (VEGF165),KDR;  NRP1;  VEGFA,0.9649
contextual,KDR-NRP1-VEGF165 complex,Human,Mouse,This complex is involved in angiogenesis by mediating the effects of the vascular endothelial growth factor (VEGF165) on endothelial cells;  leading to the promotion of blood vessel growth and permeability.,Kinase insert domain receptor (KDR);  Neuropilin-1 (NRP1);  Vascular endothelial growth factor 165 (VEGF165),KDR;  NRP1;  VEGFA,0.955
zero-shot,NRP1-VEGF121 Complex,Human,Mouse,The NRP1-VEGF121 complex is involved in the angiogenesis process by mediating neural guidance and vascular endothelial growth factor (VEGF) signaling. This complex is critical for the binding of VEGF121;  a specific splice variant of the VEGF family;  to neuropilin-1 (NRP1);  enhancing endocytosis and presenting VEGF121 to its high-affinity receptors for downstream signaling pathways in vascular endothelial cells.,Neuropilin-1 (NRP1);  Vascular Endothelial Growth Factor 121 (VEGF121),NRP1 (for Neuropilin-1);  VEGFA (for Vascular Endothelial Growth Factor 121),0.955
few-shot,NRP1-VEGF121 complex',Human',Mouse',This complex is involved in angiogenesis;  the formation of new blood vessels;  by mediating the interaction between vascular endothelial growth factor (VEGF) and its receptor;  which is crucial in various physiological and pathological processes.',Neuropilin-1 (NRP1);  Vascular endothelial growth factor 121 (VEGF121)',NRP1;  VEGFA',0.925
contextual,NRP1-VEGF121 complex,Human,Mouse;  Drosophila melanogaster,This complex is involved in mediating angiogenesis by enhancing the binding of vascular endothelial growth factor (VEGF) to its receptor. It plays a crucial role in the formation of the blood vessel network.,Neuropilin-1 (NRP1);  Vascular endothelial growth factor 121 (VEGF121),NRP1;  VEGFA,0.94
zero-shot,KDR-VEGF165 complex,Human,Mouse,The KDR-VEGF165 complex plays a critical role in the regulation of angiogenesis;  which is the formation of new blood vessels from existing ones. This process is essential for normal development;  wound healing;  and the progression of diseases such as cancer and diabetic retinopathy.,The complex consists primarily of the KDR protein (also known as VEGF receptor 2 or VEGFR-2) and the VEGF165 protein;  which is a variant of vascular endothelial growth factor A (VEGF-A).,The KDR protein is encoded by the KDR gene;  and the VEGF165 protein is encoded by the VEGFA gene.,1.00
few-shot,KDR-VEGF165 complex',Human',Mouse',This protein complex is involved in the angiogenesis process;  mediating vascular endothelial growth factor (VEGF) signaling;  leading to the proliferation;  migration;  and new vessel formation.',Kinase insert domain receptor (KDR);  Vascular endothelial growth factor 165 (VEGF165)',KDR;  VEGFA',0.955
contextual,KDR-VEGF165 complex,Human,Mouse,This complex is primarily involved in angiogenesis;  where VEGF165 (Vascular Endothelial Growth Factor) binds to the KDR (Kinase Insert Domain Receptor);  also known as VEGFR-2;  to stimulate endothelial cell proliferation;  migration;  and new blood vessel formation.,Kinase insert domain receptor;  Vascular endothelial growth factor 165,KDR;  VEGFA,0.94
zero-shot,FLT4-VEGFC Complex,Human,Mouse,The FLT4-VEGFC complex is involved in lymphangiogenesis;  which is the formation of lymphatic vessels. This process is critical in maintaining fluid balance in tissues;  immune responses;  and fat absorption. FLT4;  also known as VEGFR-3;  is a receptor tyrosine kinase that;  upon binding to its ligand VEGFC;  initiates signaling cascades that promote the growth and migration of lymphatic endothelial cells.,FLT4 (also known as VEGFR-3) and VEGFC,FLT4 gene encodes for the FLT4 protein;  and VEGFC gene encodes for the VEGFC protein.,0.97
few-shot,FLT4-VEGFC complex',Human',Mouse',This complex is involved in lymphangiogenesis;  which is the formation of lymphatic vessels. It is crucial for vascular development and maintaining fluid balance in tissues.',Vascular endothelial growth factor receptor 3 (FLT4);  Vascular endothelial growth factor C (VEGFC)',FLT4;  VEGFC',0.955
contextual,FLT4-VEGFC complex',Human',Mouse;  C. elegans (similar VEGF/EGF receptor pathways;  but distinct orthologs)',This complex is a key regulator of lymphangiogenesis;  which is the formation of lymphatic vessels from pre-existing lymphatic vessels. It plays a critical role in the maintenance and development of the lymphatic system;  as well as in physiological processes such as immune response;  tissue fluid homeostasis;  and lipid metabolism.',Vascular endothelial growth factor receptor 3 (FLT4);  Vascular endothelial growth factor C (VEGFC)',FLT4;  VEGFC',0.955
zero-shot,ITGA3-ITGB1 Complex,Human,Mouse;  C. elegans;  Drosophila melanogaster,The ITGA3-ITGB1 complex is a heterodimeric integrin protein complex critical for mediating cell adhesion and signal transduction processes. It is involved in interactions with the extracellular matrix and plays a significant role in processes like cell migration;  proliferation;  and signal transduction;  particularly in tissue development and repair.,Integrin alpha-3 (ITGA3) and Integrin beta-1 (ITGB1),ITGA3 (gene coding for Integrin alpha-3);  ITGB1 (gene coding for Integrin beta-1),0.91
few-shot,ITGA3-ITGB1 complex,Human,Mouse;  C. elegans,This integrin complex is involved in cell adhesion and signal transduction;  playing critical roles in cellular processes such as proliferation;  differentiation;  and migration. It is implicated in a variety of cellular interactions with the extracellular matrix (ECM) as well as in signal transduction pathways that influence cell behavior.,Integrin alpha-3;  Integrin beta-1,ITGA3;  ITGB1,0.925
contextual,ITGA3-ITGB1 complex',Human',Mouse;  Drosophila melanogaster',This integrin complex is involved in cell adhesion;  signaling;  and interaction with the extracellular matrix;  playing a key role in various processes such as cell migration;  cell survival;  and tissue development.',Integrin alpha-3;  Integrin beta-1',ITGA3;  ITGB1',0.94
zero-shot,Golgi-associated retrograde protein (GARP) complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster,The GARP complex is involved in retrograde transport of vesicles from endosomes to the trans-Golgi network (TGN). This transport is crucial for maintaining Golgi function;  proper protein sorting;  and trafficking within the cell.,The GARP complex in Saccharomyces cerevisiae is composed of Vps51;  Vps52;  Vps53;  and Vps54 proteins.,Vps51: VPS51; Vps52: VPS52; Vps53: VPS53; Vps54: VPS54,0.9175
few-shot,Golgi-associated retrograde protein (GARP) complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The GARP complex is involved in tethering transport vesicles to the Golgi and is essential for the efficient retrograde transport of proteins from endosomes to the trans-Golgi network.,Vps51;  Vps52;  Vps53;  Vps54,VPS51;  VPS52;  VPS53;  VPS54,0.8975
contextual,Golgi-associated retrograde protein complex (GARP complex),Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,This complex is involved in retrograde transport;  specifically in the tethering of vesicles at the Golgi apparatus. It plays a crucial role in the retrieval of lysosomal hydrolase receptors from endosomes to the trans-Golgi network.,Vps51;  Vps52;  Vps53;  Vps54,VPS51;  VPS52;  VPS53;  VPS54,0.955
zero-shot,Transmembrane channel-like (TMC) 2 complex,Mouse,Human,The TMC2 protein complex is involved in mechanotransduction;  functioning as an ion channel that is pivotal for the conversion of mechanical stimuli into electrical signals. This function is essential for processes such as hearing;  where mechanical stimulation by sound waves is transduced into auditory nerve signals.,The TMC2 complex primarily includes the TMC2 protein;  which operates potentially in association with other ion channel subunits or accessory proteins involved in the mechanotransduction pathway.,The primary gene encoding the TMC2 protein is Tmc2.,0.825
few-shot,Transmembrane Channel-like 2 (TMC2) Complex,Mouse,Human,TMC2 is involved in mechanotransduction in the inner ear;  specifically functioning in the conversion of sound waves into electrical signals in auditory hair cells.,Transmembrane channel-like protein 1;  Transmembrane channel-like protein 2,Tmc1;  Tmc2,0.9025
contextual,Transmembrane channel-like 2 (TMC2) complex',Mouse',Human',TMC2 is involved in mechanotransduction;  specifically contributing to the process by which hair cells in the vestibular and auditory systems detect mechanical stimuli and convert them into neural signals.',Transmembrane channel-like protein 2',Tmc2',0.87
zero-shot,13 Subunit Eukaryotic Initiation Factor 3 (eIF3) Complex,Human,Mouse;  Saccharomyces cerevisiae,eIF3 is a critical component in the initiation phase of eukaryotic translation;  facilitating the recruitment of ribosome subunits to mRNA and assisting in the start codon recognition. The 13-subunit structure is specifically essential for stabilizing pre-initiation complexes and interacting with other initiation factors and mRNA.,eIF3 is composed of 13 subunits;  designated as eIF3a through eIF3m.,eIF3a: EIF3A; eIF3b: EIF3B; eIF3c: EIF3C; eIF3d: EIF3D; eIF3e: EIF3E; eIF3f: EIF3F; eIF3g: EIF3G; eIF3h: EIF3H; eIF3i: EIF3I; eIF3j: EIF3J; eIF3k: EIF3K; eIF3l: EIF3L; eIF3m: EIF3M,1.00
few-shot,13 Subunit Eukaryotic Initiation Factor 3 (eIF3) Complex',Human',Mouse;  C. elegans',eIF3 is involved in the initiation phase of eukaryotic translation;  specifically recruiting the 40S ribosomal subunit to the mRNA and facilitating the formation of the pre-initiation complex by interacting with other initiation factors.',eIF3 subunits a (eIF3a);  b (eIF3b);  c (eIF3c);  d (eIF3d);  e (eIF3e);  f (eIF3f);  g (eIF3g);  h (eIF3h);  i (eIF3i);  j (eIF3j);  k (eIF3k);  l (eIF3l);  and m (eIF3m)',EIF3A;  EIF3B;  EIF3C;  EIF3D;  EIF3E;  EIF3F;  EIF3G;  EIF3H;  EIF3I;  EIF3J;  EIF3K;  EIF3L;  EIF3M',0.9125
contextual,13 subunit eukaryotic initiation factor 3 (eIF3) complex',Human',Mouse;  Saccharomyces cerevisiae;  C. elegans;  Drosophila melanogaster',eIF3 is a critical translation initiation complex that promotes the binding of mRNA and initiator tRNA to the 40S ribosomal subunit;  thereby playing a fundamental role in the initiation phase of protein synthesis by guiding the assembly of several other factors.',eIF3a (also known as eIF3c);  eIF3b;  eIF3c;  eIF3d;  eIF3e;  eIF3f;  eIF3g;  eIF3h;  eIF3i;  eIF3j;  eIF3k;  eIF3l;  eIF3m',EIF3A;  EIF3B;  EIF3C;  EIF3D;  EIF3E;  EIF3F;  EIF3G;  EIF3H;  EIF3I;  EIF3J;  EIF3K;  EIF3L;  EIF3M',0.955
zero-shot,Tip60 chromatin-remodeling complex,Human,Drosophila melanogaster;  Saccharomyces cerevisiae,The Tip60 chromatin-remodeling complex;  also known as the NuA4 histone acetyltransferase complex;  is involved in histone acetylation;  a crucial process in modifying chromatin structure to regulate gene transcription;  DNA repair;  apoptosis;  and cell cycle progression. Specifically;  this complex acetylates histone H4 and other substrates;  including histone H2A variants;  enabling transcriptional activation by remodeling the chromatin to a more open conformation.,The human Tip60 complex includes several core subunits such as KAT5 (Tip60);  EPC1;  EPC2;  ING3;  TFPT (also known as TFIIE);  MEAF6;  TRRAP;  and RUVBL1/2 (also referred to as TIP49 or TIP48/49);  BAF53A;  and DMAP1.,The corresponding genes encoding these proteins are:,1.00
few-shot,Tip60 chromatin-remodeling complex,Human,Mouse;  Drosophila melanogaster,The Tip60 chromatin-remodeling complex is involved in histone acetylation and plays a critical role in the regulation of gene expression;  DNA repair;  apoptosis;  and the maintenance of genomic stability.,HTATIP (Tip60);  EPC1;  ING3;  MRGBP;  BRD8;  TRRAP;  DMAP1;  actin proteins ACTL6A;  and Actin-like proteins (e.g.;  BAF53A/B;  RUVBL1/2),EP400;  HTATIP;  EPC1;  ING3;  MRGBP;  BRD8;  TRRAP;  DMAP1;  ACTL6A;  ACTL6B;  ACTB,0.9125
contextual,Tip60 chromatin-remodeling complex',Drosophila melanogaster',Human;  Mouse;  Saccharomyces cerevisiae',The Tip60 chromatin-remodeling complex is essential for DNA repair;  transcription regulation;  and histone acetylation;  particularly regulating gene expression by modifying chromatin structure.',Tip60;  Domino;  Trrap;  Reptin;  Pontin;  Nipped-A;  DMAP1;  E(Pc);  Mrg15;  GAS41',Tip60;  domino;  Trrap;  rept;  pont;  Nipped-A;  DMAP1;  E(Pc);  Mrg15;  GAS41',0.925
zero-shot,COP9 Signalosome,Human,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae (Note: The COP9 Signalosome is conserved across these organisms;  though with some functional and compositional differences;  especially in simpler eukaryotes.),The COP9 Signalosome (CSN) is involved in the regulation of protein degradation. It functions primarily as a regulator of the ubiquitin-proteasome pathway by controlling the deneddylation process;  where it removes NEDD8 from cullin-RING ubiquitin ligases (CRLs). This action modulates the activity and turnover of CRLs;  influencing various cellular processes;  including signal transduction;  cell cycle regulation;  and development.,The human COP9 Signalosome complex is composed of eight subunits;  typically referred to as CSN1 to CSN8:,The genes corresponding to these proteins are:,1.00
