Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
few-shot,GNA12-GPR55-RGS2 complex,Human,N/A,The GNA12-GPR55-RGS2 complex is involved in the regulation of G-protein coupled receptor (GPCR) signaling. GNA12 (Guanine nucleotide-binding protein subunit alpha-12) couples with GPR55 (G protein-coupled receptor 55) and is negatively regulated by RGS2 (Regulator of G-protein signaling 2);  which acts as a GTPase-activating protein (GAP) to promote GTP hydrolysis and terminate G-protein signaling.,Guanine nucleotide-binding protein subunit alpha-12 (GNA12); G protein-coupled receptor 55 (GPR55); Regulator of G-protein signaling 2 (RGS2),GNA12; GPR55; RGS2,0.88
contextual,GNA12-GPR55-RGS2 complex,Human,N/A,This complex is involved in regulating G protein-coupled receptor (GPCR) signaling. GNA12;  a G protein subunit;  couples with GPR55;  a GPCR;  to initiate downstream signaling. RGS2;  a regulator of G protein signaling;  attenuates the GNA12-GPR55 interaction and reduces signaling duration.,Guanine nucleotide-binding protein subunit alpha-12 (GNA12); G protein-coupled receptor 55 (GPR55); Regulator of G protein signaling 2 (RGS2),GNA12; GPR55; RGS2,0.91
zero-shot,Melanocortin receptor 3,Human,Mouse,Melanocortin receptor 3 (MC3R) is a G protein-coupled receptor that binds melanocortin peptides;  such as α-melanocyte-stimulating hormone (α-MSH) and γ-MSH. It plays a role in regulating energy homeostasis;  feeding behavior;  and body weight.,Melanocortin receptor 3,MC3R,0.89
few-shot,Melanocortin receptor 3,Human,Mouse,Melanocortin receptor 3 (MC3R) is a G protein-coupled receptor that binds melanocortin peptides;  including α-melanocyte-stimulating hormone (α-MSH) and γ-MSH. It plays a role in regulating energy homeostasis;  food intake;  and fat mass.,Melanocortin receptor 3,MC3R,0.94
contextual,Melanocortin receptor 3,Human,Mouse,Melanocortin receptor 3 (MC3R) is a G protein-coupled receptor that binds melanocortin peptides;  including α-melanocyte-stimulating hormone (α-MSH) and γ-MSH. It plays a role in energy homeostasis;  feeding behavior;  and regulation of body weight.,Melanocortin receptor 3,MC3R,0.94
zero-shot,ATP1A1-TSHR complex,Human,Mouse,The ATP1A1-TSHR complex is involved in the regulation of thyroid hormone synthesis and secretion. ATP1A1 (Na+/K+ ATPase) is essential for maintaining the electrochemical gradient across the plasma membrane;  while TSHR (Thyroid Stimulating Hormone Receptor) is activated by TSH;  leading to the production of thyroid hormones.,ATP1A1 (Sodium/potassium-transporting ATPase subunit alpha-1); TSHR (Thyroid Stimulating Hormone Receptor),ATP1A1; TSHR,0.795
few-shot,ATP1A1-TSHR complex,Human,N/A,The ATP1A1-TSHR complex is involved in the regulation of thyroid hormone synthesis and secretion. The thyroid-stimulating hormone receptor (TSHR) is activated by thyroid-stimulating hormone (TSH);  which leads to the activation of adenylate cyclase and the production of cAMP. This process is modulated by the Na+/K+ ATPase;  which maintains the electrochemical gradient necessary for the proper function of the thyroid gland.,Sodium/potassium-transporting ATPase subunit alpha-1;  Thyrotropin receptor,ATP1A1;  TSHR,0.925
contextual,ATP1A1-TSHR complex,Human,N/A,The ATP1A1-TSHR complex is involved in the regulation of thyroid hormone production and secretion. TSHR (Thyroid Stimulating Hormone Receptor) is activated by TSH;  leading to increased thyroid hormone synthesis. ATP1A1 (Na+/K+ ATPase subunit alpha-1) is thought to interact with TSHR and modulate its function.,Sodium/potassium-transporting ATPase subunit alpha-1;  Thyrotropin receptor,ATP1A1;  TSHR,0.865
zero-shot,ADRA1B-CXCR4 complex,Human,Not applicable,The ADRA1B-CXCR4 complex is involved in the regulation of cell migration and adhesion. The interaction between ADRA1B and CXCR4 has been shown to modulate the signaling pathways involved in these cellular processes.,Alpha-1B adrenergic receptor (ADRA1B); C-X-C chemokine receptor type 4 (CXCR4),ADRA1B; CXCR4,0.79
few-shot,ADRA1B-CXCR4 complex,Human,N/A,The ADRA1B-CXCR4 complex is involved in the regulation of cell migration and proliferation. The interaction between ADRA1B and CXCR4 has been shown to modulate the signaling of both receptors;  affecting downstream pathways such as MAPK and PI3K/Akt.,Alpha-1B adrenergic receptor;  C-X-C chemokine receptor type 4,ADRA1B;  CXCR4,0.79
contextual,ADRA1B-CXCR4 complex,Human,N/A,Acts as a co-receptor for HIV-1 and interacts with envelope glycoprotein gp120 to facilitate viral entry into cells. The formation of this complex between CXCR4 and ADRA1B may modulate the efficiency of HIV-1 infection.,Alpha-1B adrenergic receptor;  C-X-C chemokine receptor type 4,ADRA1B;  CXCR4,0.91
zero-shot,Bdkrb2-Tbxa2r complex,Mus musculus (Mouse),Homo sapiens (Human),The Bdkrb2-Tbxa2r complex is involved in the regulation of vascular smooth muscle contraction and blood pressure homeostasis through G protein-coupled receptor signaling pathways.,Bdkrb2 (Bradykinin receptor B2);  Tbxa2r (Thromboxane A2 receptor),Bdkrb2;  Tbxa2r,0.795
few-shot,Bdkrb2-Tbxa2r complex,Human,N/A,The Bdkrb2-Tbxa2r complex is a G protein-coupled receptor (GPCR) heterodimer involved in the regulation of vascular smooth muscle contraction and platelet aggregation. The complex mediates the effects of bradykinin and thromboxane A2;  two important vasoactive substances.,B2 bradykinin receptor;  Thromboxane A2 receptor,BDKRB2;  TBXA2R,0.88
contextual,Bdkrb2-Tbxa2r complex,Human,N/A,A signaling complex involved in regulating blood pressure. Bdkrb2 (bradykinin B2 receptor) is activated by bradykinin and causes vasodilation. Tbxa2r (thromboxane A2 receptor) is activated by thromboxane A2 and causes vasoconstriction. Their interaction may help fine-tune blood pressure regulation.,B2 bradykinin receptor;  Thromboxane A2 receptor,BDKRB2;  TBXA2R,0.88
zero-shot,Drd3-Ednrb complex,Mouse (Mus musculus),The Drd3-Ednrb complex has not been specifically reported in the other mentioned organisms (Human;  C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae).,The Drd3-Ednrb complex is involved in the regulation of dopamine signaling and endothelin receptor type B (Ednrb) activity in the central nervous system. The interaction between Drd3 and Ednrb may modulate neurotransmission and cellular responses in specific brain regions.,Drd3 (Dopamine receptor D3); Ednrb (Endothelin receptor type B),Drd3; Ednrb,0.635
few-shot,,,,,,,0.00
contextual,,,,,,,0.00
zero-shot,Egflam-Gpr179 complex,Mouse (Mus musculus),The Egflam-Gpr179 complex has not been reported in the other mentioned organisms (Human;  C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae).,The Egflam-Gpr179 complex is involved in retinal development and visual function. Specifically;  it plays a role in the development and organization of photoreceptor synapses in the outer plexiform layer of the retina.,Egflam (EGF-like;  fibronectin type-III and laminin G-like domain-containing protein); Gpr179 (G protein-coupled receptor 179),Egflam; Gpr179,0.825
few-shot,Egflam-Gpr179 complex,Mouse,N/A,The Egflam-Gpr179 complex is essential for the proper formation and organization of the rod outer segment discs in photoreceptor cells. It plays a crucial role in the structural integrity and function of the photoreceptor outer segment;  which is necessary for visual perception.,EGF-like;  fibronectin type-III and laminin G-like domain-containing protein (Egflam);  Probable G-protein coupled receptor 179 (Gpr179),Egflam;  Gpr179,0.91
contextual,Egflam-Gpr179 complex,Mouse,N/A,The Egflam-Gpr179 complex is a critical component of the synaptic structure in the outer plexiform layer of the retina. It is involved in the formation and maintenance of synaptic connections between photoreceptor cells and bipolar cells;  which is essential for proper visual signal transmission.,Pikachurin;  Probable G-protein coupled receptor 179,Egflam;  Gpr179,0.925
zero-shot,Ceacam1-4L-Syk-Tlr4 complex,Mouse (Mus musculus),Not applicable,The Ceacam1-4L-Syk-Tlr4 complex is involved in the regulation of innate immune responses. Ceacam1-4L acts as a co-receptor for Tlr4;  modulating its signaling pathway. Syk is recruited to the complex and plays a role in the downstream signaling events.,Ceacam1-4L (Carcinoembryonic antigen-related cell adhesion molecule 1;  long isoform); Syk (Spleen tyrosine kinase); Tlr4 (Toll-like receptor 4),Ceacam1; Syk; Tlr4,0.825
few-shot,Ceacam1-4L-Syk-Tlr4 complex,Mouse,N/A,This complex is involved in the negative regulation of TLR4 signaling. CEACAM1-4L recruits SYK to the activated TLR4 complex;  resulting in the phosphorylation of TLR4 on Tyr674 and Tyr680;  and the inhibition of TLR4-mediated NF-κB activation and pro-inflammatory cytokine production.,Carcinoembryonic antigen-related cell adhesion molecule 1 isoform 4L;  Tyrosine-protein kinase SYK;  Toll-like receptor 4,Ceacam1;  Syk;  Tlr4,0.91
contextual,Ceacam1-4L-Syk-Tlr4 complex,Mouse,N/A,This complex is involved in the negative regulation of TLR4 signaling;  which is part of the innate immune response. CEACAM1-4L recruits SYK to TLR4;  leading to the phosphorylation of TLR4 and subsequent inhibition of its signaling pathway.,Carcinoembryonic antigen-related cell adhesion molecule 1 isoform 4L;  Tyrosine-protein kinase SYK;  Toll-like receptor 4,Ceacam1;  Syk;  Tlr4,0.925
zero-shot,KDR-NRP1-VEGF165 complex,Human (Homo sapiens),Mouse (Mus musculus),The KDR-NRP1-VEGF165 complex is involved in angiogenesis and vascular permeability. VEGF165 binds to KDR (VEGFR-2) and NRP1;  promoting endothelial cell survival;  proliferation;  and migration;  as well as increasing vascular permeability.,KDR (Kinase Insert Domain Receptor;  also known as VEGFR-2); NRP1 (Neuropilin-1); VEGF165 (Vascular Endothelial Growth Factor;  isoform 165),KDR; NRP1; VEGFA (specifically;  the isoform VEGF165),0.8875
few-shot,KDR-NRP1-VEGF165 complex,Human,Mouse,This complex plays a crucial role in angiogenesis and vascular permeability. VEGF165 binds to KDR (VEGFR-2) and NRP1;  promoting endothelial cell migration;  proliferation;  and survival;  as well as increasing vascular permeability.,Vascular endothelial growth factor receptor 2 (KDR);  Neuropilin-1 (NRP1);  Vascular endothelial growth factor A isoform 165 (VEGF165),KDR;  NRP1;  VEGFA (specific isoform: VEGF165),0.985
contextual,KDR-NRP1-VEGF165 complex,Human,Mouse,This complex mediates VEGF165-induced endothelial cell migration and proliferation;  promoting angiogenesis and vascular permeability. VEGF165 binding to KDR and NRP1 enhances the signaling through the KDR receptor tyrosine kinase.,Vascular endothelial growth factor receptor 2 (KDR);  Neuropilin-1 (NRP1);  Vascular endothelial growth factor A isoform 165 (VEGF165),KDR;  NRP1;  VEGFA,0.97
zero-shot,NRP1-VEGF121 complex,The NRP1-VEGF121 complex is most prominent in humans (Homo sapiens).,The NRP1-VEGF121 complex is also found in mice (Mus musculus).,The NRP1-VEGF121 complex is involved in angiogenesis;  the formation of new blood vessels from pre-existing ones. VEGF121;  a vascular endothelial growth factor isoform;  binds to neuropilin-1 (NRP1) and acts as a co-receptor for VEGF receptors;  enhancing VEGF signaling and promoting angiogenesis.,Neuropilin-1 (NRP1); Vascular endothelial growth factor A isoform 121 (VEGF121),NRP1; VEGFA (specifically;  the isoform VEGF121),0.91
few-shot,NRP1-VEGF121 complex,Human,Mouse,The NRP1-VEGF121 complex is involved in the regulation of angiogenesis;  cell migration;  and cell survival. Neuropilin-1 (NRP1) acts as a co-receptor for vascular endothelial growth factor (VEGF);  specifically the VEGF121 isoform;  enhancing VEGF signaling through VEGF receptors.,Neuropilin-1;  Vascular endothelial growth factor A (VEGF121 isoform),NRP1;  VEGFA,0.94
contextual,NRP1-VEGF121 complex,Human,Mouse,The NRP1-VEGF121 complex is involved in angiogenesis;  axon guidance;  cell survival;  migration;  and invasion. Neuropilin-1 (NRP1) acts as a co-receptor for VEGF121 (vascular endothelial growth factor 121) and enhances its signaling through the VEGFR2 receptor tyrosine kinase.,Neuropilin-1 (NRP1); Vascular endothelial growth factor A isoform 121 (VEGF121),NRP1; VEGFA (specifically the isoform VEGF121),0.955
zero-shot,KDR-VEGF165 complex,Human,Mouse,The KDR-VEGF165 complex plays a crucial role in angiogenesis;  the formation of new blood vessels from pre-existing ones. When VEGF165 binds to KDR (also known as VEGFR-2);  it triggers a signaling cascade that promotes endothelial cell proliferation;  migration;  and survival;  leading to the growth of new blood vessels. This complex is essential for various physiological processes;  such as embryonic development;  wound healing;  and female reproductive functions. Additionally;  the KDR-VEGF165 complex is involved in pathological conditions;  such as tumor growth and metastasis;  where it contributes to the formation of tumor vasculature.,KDR (Kinase Insert Domain Receptor); VEGF165 (Vascular Endothelial Growth Factor 165),KDR; VEGFA (VEGF165 is a splice variant of the VEGFA gene),0.97
few-shot,KDR-VEGF165 complex,Human,N/A,This complex forms upon binding of vascular endothelial growth factor A (VEGF-A) isoform VEGF165 to the extracellular domain of KDR (kinase insert domain receptor);  also known as VEGFR-2. This interaction activates the receptor tyrosine kinase activity of KDR;  leading to downstream signaling events that promote angiogenesis;  endothelial cell proliferation;  migration;  and vascular permeability.,Vascular endothelial growth factor receptor 2 (KDR);  Vascular endothelial growth factor A isoform VEGF165 (VEGFA),KDR;  VEGFA,0.97
contextual,KDR-VEGF165 complex,Human,Mouse,The KDR-VEGF165 complex is involved in the regulation of angiogenesis;  vasculogenesis;  and endothelial cell growth. VEGF165 binds to the extracellular domain of KDR (VEGFR-2);  triggering receptor dimerization and autophosphorylation;  which activates downstream signaling pathways that promote endothelial cell proliferation;  migration;  and survival.,Vascular endothelial growth factor receptor 2 (KDR); Vascular endothelial growth factor A isoform 165 (VEGF165),KDR (Kinase insert domain receptor); VEGFA (Vascular endothelial growth factor A),0.955
zero-shot,FLT4-VEGFC complex,Human,Mouse,The FLT4-VEGFC complex is involved in lymphangiogenesis;  the formation of lymphatic vessels from pre-existing lymphatic vessels. VEGFC binding to FLT4 (also known as VEGFR-3) leads to receptor dimerization and autophosphorylation;  activating downstream signaling pathways that promote lymphatic endothelial cell proliferation;  migration;  and survival.,FLT4 (Fms-related tyrosine kinase 4); VEGFC (Vascular endothelial growth factor C),FLT4; VEGFC,0.89
few-shot,FLT4-VEGFC complex,Human,Mouse,The FLT4-VEGFC complex is involved in lymphangiogenesis;  the formation of lymphatic vessels from pre-existing lymphatic vessels. VEGFC binding to FLT4 (also known as VEGFR-3) induces receptor dimerization and autophosphorylation;  leading to downstream signaling that promotes lymphatic endothelial cell proliferation;  migration;  and survival.,Vascular endothelial growth factor receptor 3 (FLT4);  Vascular endothelial growth factor C (VEGFC),FLT4;  VEGFC,0.955
contextual,FLT4-VEGFC complex,Human,Mouse,The FLT4-VEGFC complex is involved in lymphangiogenesis and angiogenesis. VEGFC binds to and activates the FLT4 receptor tyrosine kinase;  promoting the growth and development of lymphatic vessels and blood vessels.,Vascular endothelial growth factor receptor 3 (FLT4);  Vascular endothelial growth factor C (VEGFC),FLT4;  VEGFC,0.955
zero-shot,Integrin alpha3-beta1 complex,Homo sapiens (Human),Mus musculus (Mouse),The integrin alpha3-beta1 complex is a cell surface receptor that mediates cell-matrix adhesion and signaling. It binds to various extracellular matrix proteins;  including laminin;  collagen;  and fibronectin;  and plays a role in cell migration;  proliferation;  and differentiation. The complex is involved in various biological processes such as embryonic development;  wound healing;  and tumor progression.,Integrin alpha-3 (ITGA3); Integrin beta-1 (ITGB1),ITGA3; ITGB1,0.91
few-shot,ITGA3-ITGB1 complex,Human,N/A,The ITGA3-ITGB1 complex;  also known as integrin alpha3-beta1 or VLA-3;  is a cell surface receptor that mediates cell-cell and cell-extracellular matrix interactions. It plays a role in cell adhesion;  migration;  and signaling in various biological processes;  including embryonic development;  wound healing;  and cancer progression.,Integrin alpha-3;  Integrin beta-1,ITGA3;  ITGB1,0.94
contextual,ITGA3-ITGB1 complex,Human,N/A,A member of the integrin family that functions as a receptor for fibronectin;  laminin-5;  and collagen. It plays a role in cell adhesion;  migration;  and signaling in various biological processes;  including embryonic development;  wound healing;  and cancer metastasis.,Integrin alpha-3;  Integrin beta-1,ITGA3;  ITGB1,0.97
zero-shot,Golgi-associated retrograde protein (GARP) complex,Saccharomyces cerevisiae (budding yeast),The GARP complex is conserved across eukaryotes;  including Humans;  Mice;  C. elegans;  and Drosophila melanogaster.,The GARP complex is involved in the retrograde transport of proteins and lipids from endosomes to the trans-Golgi network (TGN). It plays a crucial role in the retrieval of Golgi-resident proteins and the maintenance of Golgi integrity.,Vps51; Vps52; Vps53; Vps54,VPS51; VPS52; VPS53; VPS54,0.87
few-shot,Golgi-associated retrograde protein complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,The Golgi-associated retrograde protein (GARP) complex is involved in the retrograde transport of proteins and lipids from endosomes to the trans-Golgi network (TGN). It plays a crucial role in the retrieval of Golgi-resident proteins and the maintenance of Golgi integrity.,Vacuolar protein sorting-associated protein 51;  Vacuolar protein sorting-associated protein 52;  Vacuolar protein sorting-associated protein 53;  Vacuolar protein sorting-associated protein 54,VPS51;  VPS52;  VPS53;  VPS54,0.925
contextual,Golgi-associated retrograde protein complex,Saccharomyces cerevisiae (budding yeast),Human;  Mouse;  Drosophila melanogaster;  C. elegans,The GARP (Golgi-associated retrograde protein) complex is involved in the retrograde transport of proteins from endosomes to the trans-Golgi network (TGN). It functions as a tethering factor that facilitates the fusion of endosome-derived vesicles with the TGN membrane.,Vacuolar protein sorting-associated protein 51 (Vps51); Vacuolar protein sorting-associated protein 52 (Vps52); Vacuolar protein sorting-associated protein 53 (Vps53); Vacuolar protein sorting-associated protein 54 (Vps54),VPS51; VPS52; VPS53; VPS54,0.925
zero-shot,Transmembrane channel-like (TMC) 2 complex,Human (Homo sapiens),Mouse (Mus musculus),The TMC2 complex forms a mechanosensitive ion channel that plays a role in hearing and balance by mediating mechanotransduction in cochlear hair cells. It is involved in converting mechanical stimuli;  such as sound waves;  into electrical signals in the inner ear.,TMC2,TMC2,0.795
few-shot,Transmembrane channel-like (TMC) 2 complex,Human,Mouse,The transmembrane channel-like (TMC) 2 protein is believed to be involved in the mechanotransduction process in the inner ear;  converting mechanical stimuli into electrical signals. It may play a role in hearing and balance.,Transmembrane channel-like protein 2,TMC2,0.79
contextual,Transmembrane channel-like protein 2 complex,Mouse,Human,The exact function of the TMC2 complex is not fully understood;  but it is thought to play a role in inner ear hair cell development and function;  potentially as a mechanotransduction channel or an modifier of channel activity.,Transmembrane channel-like protein 2,Tmc2,0.83
zero-shot,13 subunit eukaryotic initiation factor 3 (eIF3) complex,Human (Homo sapiens),The eIF3 complex is also found in Mouse (Mus musculus);  Drosophila melanogaster;  and Saccharomyces cerevisiae;  but with varying subunit compositions.,The eIF3 complex plays a crucial role in the initiation of protein synthesis by facilitating the assembly of the 43S preinitiation complex;  which includes the 40S ribosomal subunit;  the ternary complex (eIF2-GTP-Met-tRNAi);  and other initiation factors. It also aids in the recruitment of the mRNA to the 43S preinitiation complex and scanning for the AUG start codon.,The human eIF3 complex consists of 13 subunits: eIF3a;  eIF3b;  eIF3c;  eIF3d;  eIF3e;  eIF3f;  eIF3g;  eIF3h;  eIF3i;  eIF3j;  eIF3k;  eIF3l;  and eIF3m.,The corresponding genes for the human eIF3 subunits are: EIF3A;  EIF3B;  EIF3C;  EIF3D;  EIF3E;  EIF3F;  EIF3G;  EIF3H;  EIF3I;  EIF3J;  EIF3K;  EIF3L;  and EIF3M.,0.95
few-shot,13 subunit eukaryotic initiation factor 3 (eIF3) complex,Human,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae,The eIF3 complex plays a crucial role in the initiation of protein synthesis by facilitating the assembly of the translation initiation complex;  which includes the 40S ribosomal subunit;  mRNA;  and initiator tRNA. It also helps in the recognition of the start codon and the recruitment of other initiation factors.,eIF3a;  eIF3b;  eIF3c;  eIF3d;  eIF3e;  eIF3f;  eIF3g;  eIF3h;  eIF3i;  eIF3j;  eIF3k;  eIF3l;  eIF3m,EIF3A;  EIF3B;  EIF3C;  EIF3D;  EIF3E;  EIF3F;  EIF3G;  EIF3H;  EIF3I;  EIF3J;  EIF3K;  EIF3L;  EIF3M,0.94
contextual,13 subunit eukaryotic initiation factor 3 (eIF3) complex,Human,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae,Binds to 40S ribosomal subunits;  promoting the binding of methionyl-tRNAi and mRNA;  and thus the assembly of the 48S translation initiation complex. This is a crucial early step in protein synthesis.,Eukaryotic translation initiation factor 3 subunit A;  Eukaryotic translation initiation factor 3 subunit B;  Eukaryotic translation initiation factor 3 subunit C;  Eukaryotic translation initiation factor 3 subunit D;  Eukaryotic translation initiation factor 3 subunit E;  Eukaryotic translation initiation factor 3 subunit F;  Eukaryotic translation initiation factor 3 subunit G;  Eukaryotic translation initiation factor 3 subunit H;  Eukaryotic translation initiation factor 3 subunit I;  Eukaryotic translation initiation factor 3 subunit J;  Eukaryotic translation initiation factor 3 subunit K;  Eukaryotic translation initiation factor 3 subunit L;  Eukaryotic translation initiation factor 3 subunit M,EIF3A;  EIF3B;  EIF3C;  EIF3D;  EIF3E;  EIF3F;  EIF3G;  EIF3H;  EIF3I;  EIF3J;  EIF3K;  EIF3L;  EIF3M,0.925
zero-shot,Tip60 chromatin-remodeling complex,Human (Homo sapiens),The Tip60 complex is also found in Drosophila melanogaster and Saccharomyces cerevisiae.,The Tip60 chromatin-remodeling complex is involved in various cellular processes;  including transcriptional regulation;  DNA repair;  and apoptosis. It functions as a histone acetyltransferase (HAT) complex;  acetylating histones H2A and H4;  which leads to chromatin remodeling and transcriptional activation.,In humans;  the core components of the Tip60 complex include:,The corresponding genes for the proteins in the human Tip60 complex are:,1.00
few-shot,Tip60 chromatin-remodeling complex,Human,Drosophila melanogaster,The Tip60 chromatin-remodeling complex is involved in DNA repair;  apoptosis;  cell cycle regulation;  and transcriptional regulation. It has histone acetyltransferase (HAT) activity and can acetylate histones H2A;  H3;  and H4;  as well as non-histone proteins. The complex also plays a role in chromatin remodeling and is involved in the cellular response to DNA damage.,Histone acetyltransferase KAT5 (Tip60); RuvB-like 1 (Pontin); RuvB-like 2 (Reptin); Actin-like protein 6A (BAF53a); Enhancer of polycomb homolog 1 (EPC1); Enhancer of polycomb homolog 2 (EPC2); Bromodomain-containing protein 8 (BRD8); Inhibitor of growth protein 3 (ING3); Morf-related gene 15 protein (MRG15); DNA methyltransferase 1-associated protein 1 (DMAP1); E1A-binding protein p400 (EP400); Transformation/transcription domain-associated protein (TRRAP),KAT5;  RUVBL1;  RUVBL2;  ACTL6A;  EPC1;  EPC2;  BRD8;  ING3;  MORF4L1;  DMAP1;  EP400;  TRRAP,0.94
