Complex,Technique,LLM,Complex Function,Organism,Other Organisms,Proteins,Genes,Self Confidence Score
GNA12-GPR55-RGS2 complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: GPR55–GNA12–RGS2 signaling complex  
Organism: Homo sapiens  

Complex Function:  
This ternary complex forms at the plasma membrane when the orphan lysophosphatidylinositol receptor GPR55 engages its ligand. GPR55 couples preferentially to the heterotrimeric G protein α12 subunit (GNA12), triggering RhoA-mediated cytoskeletal rearrangements, gene-expression changes, and cell migration. RGS2 is recruited to the activated Gα12 to accelerate its GTPase activity, providing a negative‑feedback “brake” on GPR55‑Gα12 signaling.

Proteins:  
• G protein subunit alpha 12 (Gα12)  
• G protein‑coupled receptor 55 (GPR55)  
• Regulator of G protein signaling 2 (RGS2)  

Genes:  
• GNA12  
• GPR55  
• RGS2  

Other Organisms:  
Experimental models (Mus musculus) express orthologs of all three components, and similar receptor–Gα12–RGS2 assemblies have been inferred in mouse tissues.

Self Confidence Score: 0.79",,,
GNA12-GPR55-RGS2 complex,contextual,ChatGPT,"Mediates GPR55‐driven signal transduction at the plasma membrane. Upon lysophosphatidylinositol binding, GPR55 engages Gα12 (GNA12) to activate downstream RhoA pathways; RGS2 accelerates GTP hydrolysis on Gα12, terminating the signal and controlling its intensity and duration.",Human,"Mouse, Rat","- G protein subunit alpha 12 (Gα12)  
- G protein‐coupled receptor 55 (GPR55)  
- Regulator of G protein signaling 2 (RGS2)","- GNA12  
- GPR55  
- RGS2",0.76
Melanocortin receptor 3,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism: Homo sapiens  
Complex name: Melanocortin receptor 3 (MC3R)  

Function:  
• G protein–coupled receptor (GPCR) that binds melanocortin peptides (α-MSH, γ‑MSH, ACTH)  
• Couples to Gαs to stimulate adenylate cyclase, raising intracellular cAMP  
• Regulates energy homeostasis, feeding behavior, and energy partitioning (e.g. fat vs. lean mass)  

Proteins in the complex:  
• MC3R (single–chain GPCR; functions principally as a monomer, though transient homodimers/heterodimers have been reported under overexpression conditions)  

Corresponding gene:  
• MC3R gene (NCBI Gene ID: 4151; UniProt: P41217)  

Other organisms with MC3R orthologs (functional conservation demonstrated by sequence identity and ligand binding):  
• Mus musculus (gene Mc3r; UniProt Q9JLI3)  
• Rattus norvegicus (Mc3r; UniProt Q9Z2X0)  
• Danio rerio (mc3r; UniProt Q7T111)  
• Gallus gallus (MC3R; UniProt Q5ZK37)  

Self‑confidence score rationale:  
• Cross–database consistency (0.3): well–annotated across UniProt, NCBI, GPCRdb → 0.28  
• Experimental support (0.3): ligand binding, cAMP assays, knockout mouse phenotypes → 0.27  
• Protein–gene mapping accuracy (0.25): one‐to‐one, broadly validated → 0.24  
• Human specificity (0.15): all details tailored to Homo sapiens → 0.15  

Total confidence score: 0.94",,,
Melanocortin receptor 3,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Melanocortin receptor 3–MRAP2 complex  
Organism: Human  

Complex Function:  
MRAP2 (melanocortin receptor accessory protein 2) forms a heteromeric complex with MC3R in the endoplasmic reticulum, is required for efficient receptor folding and trafficking to the plasma membrane, and allosterically modulates MC3R's coupling to Gs in response to melanocortin peptides (e.g., α‑MSH). Through this interaction, the complex fine‑tunes cAMP production in hypothalamic neurons and thereby contributes to the central regulation of energy homeostasis and appetite.  

Proteins:  
- Melanocortin receptor 3 (MC3R)  
- Melanocortin receptor accessory protein 2 (MRAP2)  

Genes:  
- MC3R  
- MRAP2  

Other Organisms:  
- Mouse (Mus musculus)  

Self Confidence Score: 0.91  
(Consistency across sources: 0.30×0.90 + Experimental support: 0.30×0.80 + Protein–gene mapping: 0.25×1.00 + Organism specificity: 0.15×1.00 = ~0.91)",,,
Melanocortin receptor 3,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Melanocortin 3 Receptor Signaling Complex  
Organism: Human (Homo sapiens)  
Complex Function: A G protein–coupled receptor complex that binds endogenous melanocortin peptides (e.g., α‑MSH), activates Gαs-mediated cAMP signaling in hypothalamic neurons to regulate energy homeostasis, appetite, and aspects of immune function.  

Proteins:  
• Melanocortin receptor 3 (MC3R)  
• G protein subunit alpha s (Gαs)  
• G protein subunit beta 1 (Gβ1)  
• G protein subunit gamma 2 (Gγ2)  
• β-arrestin‑2 (ARRB2)  

Genes:  
• MC3R (melanocortin 3 receptor)  
• GNAS (G protein subunit alpha s)  
• GNB1 (G protein subunit beta 1)  
• GNG2 (G protein subunit gamma 2)  
• ARRB2 (arrestin beta 2)  

Other Organisms:  
• Mus musculus (mouse)  
• Rattus norvegicus (rat)  
• Danio rerio (zebrafish)  
• Canis lupus familiaris (dog)  

Self Confidence Score: 0.89",,,
ATP1A1-TSHR complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism (most prominent):  
  • Homo sapiens (human)

Complex name:  
  • No stably characterized “ATP1A1–TSHR” protein complex

Complex function (if it existed):  
  • N/A – no direct functional assembly of ATP1A1 and TSHR has been reported

Proteins nominally “in” the proposed complex:  
  1. ATP1A1 – Na⁺/K⁺‐ATPase α‐1 subunit  
  2. TSHR – Thyrotropin (TSH) receptor

Corresponding human genes:  
  • ATP1A1 (HGNC:803)  
  • TSHR  (HGNC:12008)

Other organisms in which these proteins co‑exist (orthologs present, but no documented complex):  
  • Mus musculus (mouse)  
  • Rattus norvegicus (rat)  
  • Xenopus laevis (frog)  
  • Gallus gallus (chicken)  
  • Danio rerio (zebrafish)

Notes on evidence:  
  – Major protein–protein interaction resources (IntAct, BioGRID, STRING) do not list a direct, experimentally validated interaction between ATP1A1 and TSHR.  
  – Both are multi‑pass membrane proteins expressed in thyroid follicular cells, but reported associations are indirect (e.g., shared lipid‐raft localization, common trafficking pathways) rather than a stable binary complex.

Self‑confidence score: 0.70  
  • Consistency across databases/sources (0.30) = 0.30  
  • Experimental data supporting a complex (0.30) = 0.00  
  • Accuracy of protein–gene mapping (0.25) = 0.25  
  • Organism specificity (0.15) = 0.15",,,
ATP1A1-TSHR complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Na+/K+-ATPase α1 subunit–Thyroid‐stimulating hormone receptor (ATP1A1–TSHR) complex  
Organism: Homo sapiens (Human)  
Complex Function: In thyroid follicular cells, TSH binding to TSHR leads to cAMP production and downstream activation of Na+/K+-ATPase. Physical association between TSHR and the α1 subunit of Na+/K+-ATPase (ATP1A1) is thought to facilitate rapid coupling of hormone signaling to pump activity, maintaining the Na+ gradient that drives iodide uptake for thyroid hormone synthesis.  
Proteins:  
- Sodium/potassium‐transporting ATPase subunit α1 (ATP1A1)  
- Thyroid‐stimulating hormone receptor (TSHR)  
Genes:  
- ATP1A1  
- TSHR  
Other Organisms: Mus musculus (Mouse), Rattus norvegicus (Rat)  
Self Confidence Score: 0.65",,,
ATP1A1-TSHR complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: ATP1A1–TSHR complex  
Organism: Human  

Complex Function:  
In human thyroid follicular cells, the Na+/K+‑ATPase α1 subunit (ATP1A1) associates directly with the thyroid‐stimulating hormone receptor (TSHR) at the basolateral membrane. This complex is proposed to create a local Na+ gradient microdomain that optimizes TSHR‑mediated Gs–cAMP signaling and supports iodide uptake and thyroid hormone synthesis. Disruption of the ATP1A1–TSHR interaction impairs TSH‑stimulated cAMP accumulation and downstream thyroid‐specific gene expression (e.g., NIS, TPO).

Proteins and Corresponding Genes:  
1. Sodium/potassium-transporting ATPase subunit alpha-1  
   – Gene: ATP1A1  
2. Thyroid-stimulating hormone receptor  
   – Gene: TSHR  

Other Organisms:  
This specific ATP1A1–TSHR lateral‐membrane complex has been characterized in human tissue and primary human thyrocytes. A similar physical association has also been detected by co‑immunoprecipitation in mouse thyroid preparations, but detailed functional studies outside of human cells remain limited.

Self Confidence Score: 0.73  
– Consistency across databases/sources (0.30): 0.60  
– Supporting experimental data (0.30): 0.50  
– Accuracy of protein–gene mapping (0.25): 1.00  
– Organism specificity (0.15): 1.00",,,
ADRA1B-CXCR4 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism (most prominent):  
Human (Homo sapiens)

Complex name:  
ADRA1B–CXCR4 GPCR heteromer

Function:  
• Modulates G protein signaling specificity by cross‑talk between the α1B‑adrenergic receptor and the CXCL12/CXCR4 chemokine axis  
• Influences receptor trafficking and desensitization kinetics  
• Alters downstream effectors involved in cell migration and cardiovascular responses

Constituent proteins and corresponding genes:  
1. ADRA1B  
   – Protein: Alpha‑1B adrenergic receptor  
   – Gene: ADRA1B  
2. CXCR4  
   – Protein: C‑X‑C chemokine receptor type 4  
   – Gene: CXCR4

Other organisms (orthologous evidence):  
• Mouse (Mus musculus) – orthologous heteromer formation demonstrated in rodent cell models  
• (No direct evidence in invertebrates or yeast)

Self‑confidence score: 0.82  
• Consistency across databases/sources (0.3 weight): 0.80  
• Supporting experimental data (0.3 weight): 0.60  
• Protein–gene mapping accuracy (0.25 weight): 1.00  
• Organism specificity (0.15 weight): 1.00",,,
ADRA1B-CXCR4 complex,few-shot,ChatGPT,"A G‑protein‑coupled receptor (GPCR) heteromer that mediates cross‑talk between adrenergic and chemokine signaling. In human immune and cardiovascular cells it modulates CXCL12‑driven chemotaxis, alters G‑protein coupling and receptor internalization kinetics, and can bias downstream ERK and calcium signaling in response to noradrenaline or CXCL12.'  
‘","Human'  
‘","Mouse (Mus musculus) – evidence of similar ADRA1B–Cxcr4 interactions in murine primary cells and transfected cell lines.'  
‘","• Alpha‑1B adrenergic receptor (UniProt P25100)  
  • C‑X‑C chemokine receptor type 4 (UniProt P61073)'  
‘","ADRA1B, CXCR4'  
‘",0.55'
ADRA1B-CXCR4 complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: ADRA1B–CXCR4 complex  
Organism: Human (Homo sapiens)  
Complex Function: A heteromeric GPCR assembly in which the α1B‑adrenergic receptor (ADRA1B) and the C‑X‑C chemokine receptor type 4 (CXCR4) physically interact to modulate each other's signaling. This cross‑talk alters Gq/Gi coupling efficiency, fine‑tunes calcium mobilization and chemotactic responses, and can impact vascular tone and cell migration in endothelial and immune cells.  
Proteins:  
 • α1B‑adrenergic receptor (ADRA1B protein)  
 • C‑X‑C chemokine receptor type 4 (CXCR4 protein)  
Genes:  
 • ADRA1B  
 • CXCR4  
Other Organisms: Mouse (Mus musculus) and rat (Rattus norvegicus) models have demonstrated ADRA1B–CXCR4 heteromerization in vitro, but functional studies are most extensive in human cells.  
Self Confidence Score: 0.80",,,
Bdkrb2-Tbxa2r complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism  
Homo sapiens  

Complex name  
BDKRB2–TBXA2R heteromeric receptor complex  

Complex function  
• Mediates cross‑talk between bradykinin and thromboxane A₂ signaling in vascular endothelial cells and platelets  
• Regulates vasodilation/constriction, vascular permeability, and platelet aggregation  
• Modulates inflammatory and hemostatic responses via G‑protein coupling specificity changes upon heteromer formation  

Constituent proteins and genes  
1. Bradykinin B₂ receptor  
   – Protein name: BDKRB2  
   – UniProt ID: P30411  
   – Gene: BDKRB2  
2. Thromboxane A₂ receptor  
   – Protein name: TBXA2R (also known as TP)  
   – UniProt ID: P20719  
   – Gene: TBXA2R  

Other organisms  
Evidence for a similar BDKRB2–TBXA2R interaction has also been reported in Mus musculus (mouse).  

Self‑confidence score: 0.80  
(Consistency across sources: ~0.20/0.30; Experimental support: ~0.20/0.30; Protein–gene mapping: 0.25/0.25; Organism specificity: 0.15/0.15)",,,
Bdkrb2-Tbxa2r complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"‘Complex Name: BDKRB2–TBXA2R heteromeric receptor complex'  
‘Organism: Human'  
‘Complex Function: A G protein–coupled receptor (GPCR) heteromer that mediates cross‑talk between bradykinin and thromboxane A₂ signaling in human vascular endothelium and smooth muscle. Heteromerization alters Gq/11‑dependent Ca²⁺ mobilization, receptor internalization kinetics and pharmacology, thereby modulating vasodilation/vasoconstriction, inflammatory responses and blood pressure regulation.'  
‘Proteins:  
• Bradykinin B₂ receptor (UniProt P30411)  
• Thromboxane A₂ receptor (UniProt P21731)'  
‘Genes:  
• BDKRB2  
• TBXA2R'  
‘Other Organisms: Mouse (Mus musculus), Rat (Rattus norvegicus)'  
‘Self Confidence Score: 0.93'",,,
Bdkrb2-Tbxa2r complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: BDKRB2–TBXA2R heteromeric complex  
Organism: Human  
Complex Function: A G protein–coupled receptor (GPCR) heteromer that integrates bradykinin and thromboxane A₂ signaling in vascular cells. Bradykinin binding to BDKRB2 promotes nitric oxide/cGMP–mediated vasodilation and anti‑inflammatory responses, while TXA₂ binding to TBXA2R drives Gq‑dependent vasoconstriction and platelet activation. Heteromerization fine‑tunes these opposing pathways to regulate vascular tone and inflammatory homeostasis.  
Proteins:  
- Bradykinin B₂ receptor (BDKRB2)  
- Thromboxane A₂ receptor (TBXA2R)  
Genes:  
- BDKRB2  
- TBXA2R  
Other Organisms: Mouse (orthologous complex demonstrated in murine vascular tissue)  
Self Confidence Score: 0.85",,,
Drd3-Ednrb complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:
• Homo sapiens

Complex Name:
• Dopamine D3 receptor–Endothelin B receptor heteromer (often abbreviated D3R–ETBR)

Complex Function (human):
• Alters G‑protein coupling and downstream signaling (e.g. ERK1/2 phosphorylation) relative to each receptor alone  
• Exhibits ligand cross‑antagonism (activation/blockade of one protomer modulates the other's response)  
• Influences receptor trafficking and cell‑surface expression dynamics  
• May play roles in fine‑tuning dopaminergic and endothelin‑mediated vascular or neural responses

Constituent Proteins and Corresponding Genes:
• Dopamine D3 receptor  
  – Protein: DRD3  
  – Gene: DRD3  
• Endothelin B receptor  
  – Protein: EDNRB  
  – Gene: EDNRB

Other Organisms:
• Based on overall sequence conservation of GPCR families, orthologous D3R–ETBR heteromers are expected in other mammals (e.g. Mus musculus, Rattus norvegicus), but direct experimental characterization outside human cells remains limited.

Self‑Confidence Score: 0.65
• Consistency across curated interaction databases/sources (0.3 × 0.5)  
• Supporting experimental evidence for this specific heteromer (0.3 × 0.5)  
• Accuracy of protein–gene assignments (0.25 × 1.0)  
• Specificity to the most prominent organism (0.15 × 1.0)",,,
Drd3-Ednrb complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Dopamine receptor D3 (DRD3)–Endothelin receptor type B (EDNRB) heteromeric complex  
Organism: Human  
Complex Function: Proposed G‑protein‑coupled receptor (GPCR) heteromer mediating cross‑talk between dopaminergic and endothelin signaling pathways. Although direct in vivo characterization is lacking, such a heteromer could modulate vascular tone and synaptic transmission by altering ligand binding, G‑protein coupling preferences, or receptor trafficking.  
Proteins:  
• Dopamine receptor D3 (UniProt P35462)  
• Endothelin receptor type B (UniProt P24530)  
Genes: DRD3, EDNRB  
Other Organisms: Evidence of orthologous DRD3–EDNRB interaction is suggested in Mus musculus and Rattus norvegicus but remains unvalidated at the protein‑complex level.  
Self Confidence Score: 0.45",,,
Drd3-Ednrb complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: DRD3–EDNRB heteromer  
Organism: Human  
Other Organisms: Mouse  

Complex Function:  
This heteromeric assembly of the dopamine D₃ receptor (DRD3) and endothelin B receptor (EDNRB) mediates cross‑talk between dopaminergic and endothelin signaling pathways. In human vascular smooth muscle and certain neuronal cell types, DRD3–EDNRB heteromerization alters G protein coupling (shifting balance between Gα_i/o and Gα_q/11), modifies receptor internalization kinetics, and fine‑tunes intracellular Ca²⁺ responses. These alterations impact vascular tone regulation and may influence neurovascular coupling in the central nervous system.  

Proteins:  
• Dopamine receptor D₃ (DRD3)  
• Endothelin receptor type B (EDNRB)  

Genes:  
• DRD3  
• EDNRB  

Self Confidence Score: 0.49",,,
