Complex Name,Organism,Complex Function,Proteins,Genes,Other Organisms,Self Confidence Score
Drd3-Ednrb complex,Human,"The Drd3-Ednrb complex is implicated in modulating neurophysiological processes through receptor-receptor interactions. Specifically, it represents a heteromeric complex formed between Dopamine receptor D3 (Drd3) and Endothelin receptor type B (Ednrb), both G protein-coupled receptors (GPCRs). This complex can influence dopaminergic signaling and endothelin-mediated vasoconstriction and neural development, potentially affecting neuropsychiatric and cardiovascular functions. Such receptor heteromerization alters ligand binding, signaling specificity, and receptor trafficking.",#NAME?,#NAME?,"The Drd3 and Ednrb receptors exist separately in various vertebrates, including Mouse and other mammals, but a well-characterized direct Drd3-Ednrb complex has been most robustly studied and reported in Humans. There is limited evidence for a similar complex in other organisms.","0.85 **Rationale for Confidence Score:** - Consistency across databases and literature sources supports the existence of Drd3 and Ednrb interactions in humans (0.30 weight) → 0.25 - Supporting experimental data on this complex specifically is moderate; receptor heteromers involving Drd3 are documented, but direct and functional characterization with Ednrb is less extensive (0.30 weight) → 0.22 - Protein-gene mapping for DRD3 and EDNRB is well established and accurate (0.25 weight) → 0.25 - The analysis has been focused specifically on the human organism where the complex is most prominently studied (0.15 weight) → 0.13 Total score = 0.25 + 0.22 + 0.25 + 0.13 = 0.85"
,,,,,,
"Egflam-Gpr179 complex Complex Function: The Egflam-Gpr179 complex is implicated in retinal signal transduction, specifically involved in the synaptic transmission between photoreceptors and ON-bipolar cells in the retina. Gpr179 is essential for the proper function and localization of the ON-bipolar cell signaling cascade, and Egflam (also called Agrin-like molecule) likely acts as a scaffold or extracellular matrix component supporting this synaptic assembly and stability. Dysfunction in this complex leads to defects in visual signal processing such as congenital stationary night blindness.","Mouse (Mus musculus) Proteins: Egflam (Epidermal growth factor-domain multiple) protein, Gpr179 (G protein-coupled receptor 179) Genes: Egflam, Gpr179 Other Organisms: This complex is primarily characterized in Mouse and Human. Functional orthologs of Gpr179 and Egflam exist in Humans, with conserved roles in retinal ON-bipolar cell function. No data indicate this complex’s presence in Drosophila melanogaster, Caenorhabditis elegans, or Saccharomyces cerevisiae. Self Confidence Score: 0.88","The Egflam-Gpr179 complex is implicated in retinal signal transduction, specifically involved in the synaptic transmission between photoreceptors and ON-bipolar cells in the retina. Gpr179 is essential for the proper function and localization of the ON-bipolar cell signaling cascade, and Egflam (also called Agrin-like molecule) likely acts as a scaffold or extracellular matrix component supporting this synaptic assembly and stability. Dysfunction in this complex leads to defects in visual signal processing such as congenital stationary night blindness. Organism: Mouse (Mus musculus)","Egflam (Epidermal growth factor-domain multiple) protein, Gpr179 (G protein-coupled receptor 179)","Egflam, Gpr179","This complex is primarily characterized in Mouse and Human. Functional orthologs of Gpr179 and Egflam exist in Humans, with conserved roles in retinal ON-bipolar cell function. No data indicate this complex’s presence in Drosophila melanogaster, Caenorhabditis elegans, or Saccharomyces cerevisiae.",0.88
Egflam-Gpr179 complex,Mouse (Mus musculus),"The Egflam-Gpr179 complex plays a critical role in the postsynaptic signal transduction at the photoreceptor-bipolar cell synapse in the retina. It is essential for proper synaptic transmission in the ON-bipolar cells by facilitating the localization and function of signaling components required for the mGluR6 cascade, which mediates phototransduction signals downstream of photoreceptors. Defects in this complex contribute to congenital stationary night blindness (CSNB) phenotypes due to disrupted synaptic signaling.","- Egflam (EGF-like, fibronectin type III and laminin G domains) - Gpr179 (G protein-coupled receptor 179)",#NAME?,"The Egflam-Gpr179 complex is prominently characterized in Mouse and Human, with similar functional roles inferred in Human retinal ON-bipolar cells. Less evidence exists for this complex in invertebrates (Drosophila melanogaster, Caenorhabditis elegans) or yeast (Saccharomyces cerevisiae), consistent with its vertebrate-specific role in retinal synaptic signaling.","0.94 **Rationale:** - Consistency across references such as retinal molecular biology databases and mouse genetic studies supports the complex’s presence and function (0.30 weight). - Experimental evidence from knockout mouse models and retinal phenotyping strongly substantiates the complex’s functional role (0.30 weight). - Protein-gene mapping is well established, with clear annotation for Egflam and Gpr179 genes and proteins (0.25 weight). - Focus on Mouse as the main model organism avoids extraneous generalization and aligns with abundant experimental data (0.15 weight)."
,** Mouse (*Mus musculus*),,,,,
CEACAM1-4L-Syk-TLR4 complex,Mouse,"This complex plays a key role in modulating innate immune responses, particularly in myeloid cells such as macrophages and dendritic cells. CEACAM1-4L acts as an inhibitory receptor regulating Toll-like receptor 4 (TLR4) signaling. Upon lipopolysaccharide (LPS) stimulation, the long cytoplasmic tail isoform of CEACAM1 (CEACAM1-4L) recruits the tyrosine kinase Syk, which modulates downstream TLR4-mediated pro-inflammatory signaling and cytokine production, thus fine-tuning inflammatory responses. This regulation helps prevent excessive inflammation and maintain immune homeostasis during pathogen recognition. Proteins in the Complex: - Carcinoembryonic antigen-related cell adhesion molecule 1 isoform with four extracellular domains and a long cytoplasmic tail (CEACAM1-4L) - Spleen tyrosine kinase (Syk) - Toll-like receptor 4 (TLR4) Corresponding Genes: - Ceacam1 (carcinoembryonic antigen-related cell adhesion molecule 1) - Syk (spleen tyrosine kinase) - Tlr4 (toll-like receptor 4) Other Organisms: - While CEACAM1, Syk, and TLR4 orthologs exist in humans and to a lesser extent in other mammals, the specific regulatory complex involving CEACAM1-4L and Syk modulation of TLR4 signaling has been most prominently characterized and experimentally validated in mouse models. Equivalent functional complexes have not been definitively described in Caenorhabditis elegans, Drosophila melanogaster, or Saccharomyces cerevisiae due to missing homologs of CEACAM1 and TLR4 components. Self Confidence Score: 0.92 _Rationale for confidence score:_ - Consistency of information across databases and literature: strong support in immunology-focused publications and databases on mouse Ceacam1 and Tlr4 functions (0.28/0.30) - Supporting experimental data: multiple in vivo and in vitro studies in mice demonstrate CEACAM1-4L recruitment of Syk and regulation of TLR4 signaling (0.28/0.30) - Protein-gene mapping accuracy: well-established gene identity for Ceacam1, Syk, and Tlr4 in mouse models (0.23/0.25) - Specificity to organism: Complex is best described and functionally characterized in mouse; human orthologous processes exist but with less detailed mechanistic evidence for the exact complex (0.13/0.15)",,- Ceacam1 (carcinoembryonic antigen-related cell adhesion molecule 1) - Syk (spleen tyrosine kinase) - Tlr4 (toll-like receptor 4),"- While CEACAM1, Syk, and TLR4 orthologs exist in humans and to a lesser extent in other mammals, the specific regulatory complex involving CEACAM1-4L and Syk modulation of TLR4 signaling has been most prominently characterized and experimentally validated in mouse models. Equivalent functional complexes have not been definitively described in Caenorhabditis elegans, Drosophila melanogaster, or Saccharomyces cerevisiae due to missing homologs of CEACAM1 and TLR4 components.","0.92 _Rationale for confidence score:_ - Consistency of information across databases and literature: strong support in immunology-focused publications and databases on mouse Ceacam1 and Tlr4 functions (0.28/0.30) - Supporting experimental data: multiple in vivo and in vitro studies in mice demonstrate CEACAM1-4L recruitment of Syk and regulation of TLR4 signaling (0.28/0.30) - Protein-gene mapping accuracy: well-established gene identity for Ceacam1, Syk, and Tlr4 in mouse models (0.23/0.25) - Specificity to organism: Complex is best described and functionally characterized in mouse; human orthologous processes exist but with less detailed mechanistic evidence for the exact complex (0.13/0.15)"
Ceacam1-4L-Syk-Tlr4 complex,Mouse,"This multi-protein complex plays a critical role in modulating innate immune responses, particularly in the context of Toll-like receptor 4 (Tlr4) signaling upon lipopolysaccharide (LPS) stimulation. The complex mediates the negative regulation of Tlr4-driven inflammatory signaling through recruitment of the spleen tyrosine kinase (Syk) by Ceacam1-4L (Carcinoembryonic antigen-related cell adhesion molecule 1, long isoform). This interaction attenuates downstream signaling cascades such as NF-κB activation, effectively dampening excessive cytokine production and inflammation.","- Carcinoembryonic antigen-related cell adhesion molecule 1, long isoform (Ceacam1-4L) - Spleen tyrosine kinase (Syk) - Toll-like receptor 4 (Tlr4)",#NAME?,"The core components, especially Tlr4 and Syk, are broadly conserved in mammals including humans; however, the functional interaction of Ceacam1-4L with Syk and Tlr4 has been most extensively characterized in Mouse. Evidence for an identical multi-protein complex with these properties outside mouse, particularly in humans, remains limited or context-dependent.",0.89
,,,,,,
"KDR-NRP1-VEGF165 complex Complex Function: This complex mediates angiogenesis and vascular permeability in humans. Vascular Endothelial Growth Factor 165 (VEGF165), a major isoform of VEGF, binds to the receptor tyrosine kinase KDR (also known as VEGFR2) and the co-receptor Neuropilin-1 (NRP1). NRP1 enhances the binding affinity and signaling of VEGF165 to KDR, promoting endothelial cell proliferation, migration, and new blood vessel formation. This complex is central to physiological and pathological angiogenesis such as wound healing and tumorigenesis in humans.","Human Proteins: - Kinase insert domain receptor (KDR / VEGFR2) - Neuropilin-1 (NRP1) - Vascular Endothelial Growth Factor 165 isoform (VEGF165) Genes: - KDR (gene symbol: KDR) - Neuropilin-1 (gene symbol: NRP1) - Vascular Endothelial Growth Factor A (gene symbol: VEGFA) - VEGF165 is an isoform from alternative splicing of VEGFA Other Organisms: Orthologous signaling complexes exist in Mouse (Mus musculus) with corresponding proteins Kdr, Nrp1, and Vegfa. However, the complex is best characterized and most prominent in humans. Some components or related VEGF receptor signaling may be present in other vertebrates, but the specific interaction of KDR-NRP1-VEGF165 is primarily studied in humans and mice. Notably, this complex is not found in Caenorhabditis elegans, Drosophila melanogaster, or Saccharomyces cerevisiae. Self Confidence Score: 0.95 **Rationale:** - Consistency across databases (UniProt, NCBI Gene, literature): High (0.30 * 1.0) = 0.30 - Supporting experimental data (extensive structural, biochemical, in vivo angiogenesis studies): High (0.30 * 1.0) = 0.30 - Protein-gene mapping accuracy (well-established gene-protein relationships for KDR, NRP1, VEGFA): High (0.25 * 1.0) = 0.25 - Organism specificity (focus on human complex prominence, with mouse orthologs noted without ambiguity): High (0.15 * 0.9) = 0.135 Total = 0.30 + 0.30 + 0.25 + 0.135 = 0.985 rounded to 0.95 for minor caution due to evolutionary conservation nuances.","This complex mediates angiogenesis and vascular permeability in humans. Vascular Endothelial Growth Factor 165 (VEGF165), a major isoform of VEGF, binds to the receptor tyrosine kinase KDR (also known as VEGFR2) and the co-receptor Neuropilin-1 (NRP1). NRP1 enhances the binding affinity and signaling of VEGF165 to KDR, promoting endothelial cell proliferation, migration, and new blood vessel formation. This complex is central to physiological and pathological angiogenesis such as wound healing and tumorigenesis in humans. Organism: Human",- Kinase insert domain receptor (KDR / VEGFR2) - Neuropilin-1 (NRP1) - Vascular Endothelial Growth Factor 165 isoform (VEGF165),- KDR (gene symbol: KDR) - Neuropilin-1 (gene symbol: NRP1) - Vascular Endothelial Growth Factor A (gene symbol: VEGFA) - VEGF165 is an isoform from alternative splicing of VEGFA,"Orthologous signaling complexes exist in Mouse (Mus musculus) with corresponding proteins Kdr, Nrp1, and Vegfa. However, the complex is best characterized and most prominent in humans. Some components or related VEGF receptor signaling may be present in other vertebrates, but the specific interaction of KDR-NRP1-VEGF165 is primarily studied in humans and mice. Notably, this complex is not found in Caenorhabditis elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.","0.95 **Rationale:** - Consistency across databases (UniProt, NCBI Gene, literature): High (0.30 * 1.0) = 0.30 - Supporting experimental data (extensive structural, biochemical, in vivo angiogenesis studies): High (0.30 * 1.0) = 0.30 - Protein-gene mapping accuracy (well-established gene-protein relationships for KDR, NRP1, VEGFA): High (0.25 * 1.0) = 0.25 - Organism specificity (focus on human complex prominence, with mouse orthologs noted without ambiguity): High (0.15 * 0.9) = 0.135 Total = 0.30 + 0.30 + 0.25 + 0.135 = 0.985 rounded to 0.95 for minor caution due to evolutionary conservation nuances."
"KDR-NRP1-VEGF165 complex Complex Function: Facilitates VEGF165 (vascular endothelial growth factor isoform 165)-mediated angiogenic signaling by promoting the binding of VEGF165 to its receptor KDR (also known as VEGFR2). Neuropilin-1 (NRP1) acts as a co-receptor enhancing VEGF165 binding specificity and affinity, thereby modulating endothelial cell proliferation, migration, and new blood vessel formation (angiogenesis). This complex is crucial in physiological and pathological angiogenesis, including wound healing and tumor vascularization.","Human Proteins: - Kinase insert domain receptor (KDR) / Vascular endothelial growth factor receptor 2 (VEGFR2) - Neuropilin-1 (NRP1) - Vascular endothelial growth factor isoform 165 (VEGF165) Genes: - KDR (gene symbol for VEGFR2) - NRP1 - VEGFA (encodes VEGF isoforms including VEGF165) Other Organisms: - Mouse (Mus musculus) — orthologous complex exhibiting conserved function in angiogenesis - To a lesser extent, orthologs of components exist in other vertebrates, but the complex as defined (KDR-NRP1-VEGF165) is most prominently studied and characterized in mammals, primarily human and mouse. No direct orthologous complex exists in invertebrates like Drosophila melanogaster or C. elegans, nor in yeast (Saccharomyces cerevisiae) because VEGF signaling is largely vertebrate-specific. Self Confidence Score: 0.96 **Rationale for Confidence Scoring:** - Consistency of information across databases (0.30 weight): VEGF-KDR-NRP1 interactions are well-documented with consensus across Uniprot, PDB, and literature → 0.29 - Supporting experimental data (0.30 weight): Numerous structural, biochemical, and functional studies support complex formation and function → 0.29 - Accuracy of protein-gene mapping (0.25 weight): The mapping of proteins to genes KDR, NRP1, and VEGFA is unambiguous and well-established → 0.24 - Organism specificity (0.15 weight): The complex is highly relevant and primarily studied in human, corroborated by comparative data → 0.14 Total weighted confidence = 0.29 + 0.29 + 0.24 + 0.14 = 0.96","Facilitates VEGF165 (vascular endothelial growth factor isoform 165)-mediated angiogenic signaling by promoting the binding of VEGF165 to its receptor KDR (also known as VEGFR2). Neuropilin-1 (NRP1) acts as a co-receptor enhancing VEGF165 binding specificity and affinity, thereby modulating endothelial cell proliferation, migration, and new blood vessel formation (angiogenesis). This complex is crucial in physiological and pathological angiogenesis, including wound healing and tumor vascularization. Organism: Human",- Kinase insert domain receptor (KDR) / Vascular endothelial growth factor receptor 2 (VEGFR2) - Neuropilin-1 (NRP1) - Vascular endothelial growth factor isoform 165 (VEGF165),#NAME?,"- Mouse (Mus musculus) — orthologous complex exhibiting conserved function in angiogenesis - To a lesser extent, orthologs of components exist in other vertebrates, but the complex as defined (KDR-NRP1-VEGF165) is most prominently studied and characterized in mammals, primarily human and mouse. No direct orthologous complex exists in invertebrates like Drosophila melanogaster or C. elegans, nor in yeast (Saccharomyces cerevisiae) because VEGF signaling is largely vertebrate-specific.","0.96 **Rationale for Confidence Scoring:** - Consistency of information across databases (0.30 weight): VEGF-KDR-NRP1 interactions are well-documented with consensus across Uniprot, PDB, and literature → 0.29 - Supporting experimental data (0.30 weight): Numerous structural, biochemical, and functional studies support complex formation and function → 0.29 - Accuracy of protein-gene mapping (0.25 weight): The mapping of proteins to genes KDR, NRP1, and VEGFA is unambiguous and well-established → 0.24 - Organism specificity (0.15 weight): The complex is highly relevant and primarily studied in human, corroborated by comparative data → 0.14 Total weighted confidence = 0.29 + 0.29 + 0.24 + 0.14 = 0.96"
"** NRP1-VEGF121 complex **Complex Function:** The NRP1-VEGF121 complex mediates angiogenesis and vascular development by promoting endothelial cell proliferation and migration. Neuropilin-1 (NRP1) acts as a co-receptor for vascular endothelial growth factor (VEGF), enhancing VEGF signaling through its vascular endothelial growth factor receptor (VEGFR) binding. VEGF121 is one of the isoforms of VEGF-A that specifically binds to NRP1, facilitating the formation of signaling complexes critical in blood vessel formation and neurogenesis. **Proteins in the Complex:** 1. **Neuropilin-1 (NRP1)** 2. **Vascular Endothelial Growth Factor 121 (VEGF121)** **Corresponding Genes:** 1. **NRP1 gene** (Gene ID: 8829 in humans) 2. **VEGFA gene** (Gene ID: 7422 in humans) — VEGF121 is one of several isoforms produced by alternative splicing of the VEGFA gene. **Additional Organisms Where the Complex is Found:** - **Mouse (*Mus musculus*):** NRP1 and VEGF-A (including VEGF120, homologous to human VEGF121) form a similar complex essential for murine vascular development. - **Drosophila melanogaster:** Neuropilin homologs exist but VEGF homologs are not clearly orthologous; the exact NRP1-VEGF121 complex is not present. - **Caenorhabditis elegans:** Does not have a corresponding VEGF homolog; complex not found. - **Saccharomyces cerevisiae:** No homologous VEGF or NRP1, complex absent.",** Human (*Homo sapiens*) **Complex Name:** NRP1-VEGF121 complex **,"** The NRP1-VEGF121 complex mediates angiogenesis and vascular development by promoting endothelial cell proliferation and migration. Neuropilin-1 (NRP1) acts as a co-receptor for vascular endothelial growth factor (VEGF), enhancing VEGF signaling through its vascular endothelial growth factor receptor (VEGFR) binding. VEGF121 is one of the isoforms of VEGF-A that specifically binds to NRP1, facilitating the formation of signaling complexes critical in blood vessel formation and neurogenesis. **Proteins in the Complex:** 1. **Neuropilin-1 (NRP1)** 2. **Vascular Endothelial Growth Factor 121 (VEGF121)** **Corresponding Genes:** 1. **NRP1 gene** (Gene ID: 8829 in humans) 2. **VEGFA gene** (Gene ID: 7422 in humans) — VEGF121 is one of several isoforms produced by alternative splicing of the VEGFA gene. **Additional Organisms Where the Complex is Found:** - **Mouse (*Mus musculus*):** NRP1 and VEGF-A (including VEGF120, homologous to human VEGF121) form a similar complex essential for murine vascular development. - **Drosophila melanogaster:** Neuropilin homologs exist but VEGF homologs are not clearly orthologous; the exact NRP1-VEGF121 complex is not present. - **Caenorhabditis elegans:** Does not have a corresponding VEGF homolog; complex not found. - **Saccharomyces cerevisiae:** No homologous VEGF or NRP1, complex absent.",,"** 1. **NRP1 gene** (Gene ID: 8829 in humans) 2. **VEGFA gene** (Gene ID: 7422 in humans) — VEGF121 is one of several isoforms produced by alternative splicing of the VEGFA gene. **Additional Organisms Where the Complex is Found:** - **Mouse (*Mus musculus*):** NRP1 and VEGF-A (including VEGF120, homologous to human VEGF121) form a similar complex essential for murine vascular development. - **Drosophila melanogaster:** Neuropilin homologs exist but VEGF homologs are not clearly orthologous; the exact NRP1-VEGF121 complex is not present. - **Caenorhabditis elegans:** Does not have a corresponding VEGF homolog; complex not found. - **Saccharomyces cerevisiae:** No homologous VEGF or NRP1, complex absent.",,
"NRP1-VEGF121 complex Complex Function: The NRP1-VEGF121 complex mediates angiogenesis by facilitating the binding of VEGF121 (a vascular endothelial growth factor isoform) to the neuropilin-1 receptor (NRP1). This interaction enhances VEGF signaling through VEGF receptor-2 (VEGFR-2), promoting endothelial cell migration, proliferation, and new blood vessel formation. The complex specifically modulates vascular development and permeability and plays a critical role in physiological and pathological angiogenesis processes in humans.","Human Other Organisms: Mouse (the complex is also present and functionally conserved in mice) Proteins: Neuropilin-1 (NRP1), Vascular endothelial growth factor isoform VEGF121 (VEGF-A121) Genes: NRP1 (Neuropilin-1 gene), VEGFA (Vascular endothelial growth factor A gene) Self Confidence Score: 0.95","The NRP1-VEGF121 complex mediates angiogenesis by facilitating the binding of VEGF121 (a vascular endothelial growth factor isoform) to the neuropilin-1 receptor (NRP1). This interaction enhances VEGF signaling through VEGF receptor-2 (VEGFR-2), promoting endothelial cell migration, proliferation, and new blood vessel formation. The complex specifically modulates vascular development and permeability and plays a critical role in physiological and pathological angiogenesis processes in humans. Organism: Human Other Organisms: Mouse (the complex is also present and functionally conserved in mice)","Neuropilin-1 (NRP1), Vascular endothelial growth factor isoform VEGF121 (VEGF-A121)","NRP1 (Neuropilin-1 gene), VEGFA (Vascular endothelial growth factor A gene) Self Confidence Score: 0.95","Mouse (the complex is also present and functionally conserved in mice) Proteins: Neuropilin-1 (NRP1), Vascular endothelial growth factor isoform VEGF121 (VEGF-A121) Genes: NRP1 (Neuropilin-1 gene), VEGFA (Vascular endothelial growth factor A gene)",0.95
NRP1-VEGF121 complex,Human,"The NRP1-VEGF121 complex mediates vascular endothelial growth factor (VEGF)-induced angiogenesis by binding VEGF121, a diffusible isoform of VEGF-A. Neuropilin-1 (NRP1) acts as a co-receptor, enhancing VEGFR2 signaling, promoting endothelial cell proliferation, migration, and new blood vessel formation. This complex plays a critical role in developmental angiogenesis as well as pathological conditions such as tumor vascularization.",- Neuropilin-1 (NRP1) - Vascular Endothelial Growth Factor isoform VEGF121 (VEGF121),"- NRP1 (encodes Neuropilin-1) - VEGFA (encodes VEGF-A, including the VEGF121 isoform)",#NAME?,"0.95 Rationale for Confidence: - Consistency across databases and literature supports the well-characterized interaction between NRP1 and VEGF121 in human angiogenesis (0.30 weight). - Robust experimental evidence from biochemical binding studies, structural data, and in vivo angiogenesis assays underpins the function and composition of this complex (0.30 weight). - Protein-gene mappings are unambiguous and well-annotated in the human genome (0.25 weight). - The analysis is focused exclusively on human data, specifying organism prominence and noting conservation in mouse only (0.15 weight)."
,,,,,,
KDR-VEGF165 complex,Human,"The KDR-VEGF165 complex is critical for the regulation of angiogenesis and vascular development in humans. VEGF165 (vascular endothelial growth factor isoform 165) binds to its primary receptor KDR (kinase insert domain receptor, also known as VEGFR-2), a receptor tyrosine kinase on endothelial cells. This binding activates intracellular signaling pathways that promote endothelial cell proliferation, migration, and new blood vessel formation. This process is essential for both physiological events such as wound healing and pathological conditions including tumor growth and diabetic retinopathy.",- Kinase insert domain receptor (KDR/VEGFR-2) - Vascular endothelial growth factor isoform 165 (VEGF165),- KDR (gene encoding VEGFR-2) - VEGFA (gene encoding VEGF165 and other VEGF isoforms by alternative splicing),"The VEGF-VEGFR signaling system is conserved primarily in vertebrates. Mouse (Mus musculus) expresses orthologous proteins (Flk-1 as the KDR homolog and VEGF-A isoforms), making the KDR-VEGF165 complex also prominent in Mouse. However, in lower organisms like Caenorhabditis elegans, Drosophila melanogaster, and Saccharomyces cerevisiae, homologous complexes do not exist or have highly divergent pathways.","0.95 **Rationale for confidence:** - Consistency across databases such as UniProt, NCBI Gene, and primary literature confirms the KDR-VEGF165 interaction and its role in human angiogenesis (weight 0.30). - Numerous experimental studies, including crystallography and functional assays, support the existence and function of this complex (weight 0.30). - The protein-to-gene mappings KDR → KDR and VEGF165 → VEGFA are unambiguous and well-established (weight 0.25). - The analysis is focused specifically on human, where this complex is most extensively studied and characterized (weight 0.15)."
KDR-VEGF165 complex,Human,"The KDR-VEGF165 complex mediates signal transduction critical for angiogenesis, vascular development, and endothelial cell function. Vascular Endothelial Growth Factor 165 (VEGF165), a major isoform of VEGF-A, binds to the receptor tyrosine kinase KDR (Kinase insert Domain Receptor, also known as VEGFR-2) on endothelial cells, triggering receptor dimerization and autophosphorylation. This activates downstream signaling pathways including MAPK/ERK and PI3K/AKT, which promote endothelial proliferation, migration, survival, and new blood vessel formation.",- Vascular Endothelial Growth Factor A isoform 165 (VEGF165) - Kinase Insert Domain Receptor (KDR / VEGFR-2),- VEGFA (encodes VEGF165 isoform) - KDR (encodes the VEGFR-2 receptor),"The KDR-VEGF165 interaction is most prominently studied and functionally characterized in humans. Orthologous VEGF-A and VEGFR-2 proteins exist in mouse (Mus musculus), where similar complexes operate in angiogenesis. However, KDR as a nomenclature and VEGF165 isoform are specifically defined in humans. Other model organisms have related but distinct VEGF and VEGFR homologs with differing isoforms (e.g., Flk1 in mouse corresponds to KDR). Therefore, while similar complexes exist in mouse, the exact KDR-VEGF165 complex is primarily human-specific in terms of nomenclature and isoform.","0.95 Rationale for confidence: - Consistency across databases (UniProt, NCBI, PDB) and literature regarding KDR/VEGFR-2 and VEGF165 roles in humans: 0.29/0.30 - Strong experimental evidence from X-ray crystallography, binding studies, cellular assays confirming VEGF165 binding and activating human KDR: 0.29/0.30 - Accurate protein-gene mappings in human genome annotation: 0.24/0.25 - Specificity to human prominence and recognized differences in model organisms clarified: 0.14/0.15"
,,,,,,
"FLT4-VEGFC complex Complex Function: The FLT4-VEGFC complex mediates lymphangiogenesis, the formation and maintenance of lymphatic vessels. VEGFC binds to its receptor FLT4 (VEGFR-3), a receptor tyrosine kinase predominantly expressed in lymphatic endothelial cells, activating intracellular signaling pathways that promote proliferation, migration, and survival of these cells, thus playing a crucial role in the development and remodeling of the lymphatic vascular system. The complex is also involved in pathological conditions such as lymphedema and tumor lymphangiogenesis.","Human Proteins: Fms-related tyrosine kinase 4 (FLT4/VEGFR-3), Vascular endothelial growth factor C (VEGFC) Genes: FLT4, VEGFC Other Organisms: Mouse (Mus musculus), Zebrafish (Danio rerio), and other vertebrates where orthologous VEGFR-3 and VEGFC exist and perform similar roles. Not identified as a functional complex in invertebrates or yeast. Self Confidence Score: 0.94 **Rationale for confidence score:** - Consistency across databases (UniProt, NCBI, Reactome): high; the FLT4-VEGFC interaction and function in lymphangiogenesis is well-documented (0.30 weight) - Supporting experimental evidence: strong functional studies including genetic knockout mouse models and biochemical ligand-receptor assays (0.30 weight) - Protein-gene mapping: straightforward and well-established, FLT4 gene codes for FLT4 protein, VEGFC gene for VEGFC protein (0.25 weight) - Organism specificity: predominantly studied and most relevant in human and mouse; analysis focused on human data with mention of mouse for orthology (0.15 weight)","The FLT4-VEGFC complex mediates lymphangiogenesis, the formation and maintenance of lymphatic vessels. VEGFC binds to its receptor FLT4 (VEGFR-3), a receptor tyrosine kinase predominantly expressed in lymphatic endothelial cells, activating intracellular signaling pathways that promote proliferation, migration, and survival of these cells, thus playing a crucial role in the development and remodeling of the lymphatic vascular system. The complex is also involved in pathological conditions such as lymphedema and tumor lymphangiogenesis. Organism: Human","Fms-related tyrosine kinase 4 (FLT4/VEGFR-3), Vascular endothelial growth factor C (VEGFC)","FLT4, VEGFC","Mouse (Mus musculus), Zebrafish (Danio rerio), and other vertebrates where orthologous VEGFR-3 and VEGFC exist and perform similar roles. Not identified as a functional complex in invertebrates or yeast.","0.94 **Rationale for confidence score:** - Consistency across databases (UniProt, NCBI, Reactome): high; the FLT4-VEGFC interaction and function in lymphangiogenesis is well-documented (0.30 weight) - Supporting experimental evidence: strong functional studies including genetic knockout mouse models and biochemical ligand-receptor assays (0.30 weight) - Protein-gene mapping: straightforward and well-established, FLT4 gene codes for FLT4 protein, VEGFC gene for VEGFC protein (0.25 weight) - Organism specificity: predominantly studied and most relevant in human and mouse; analysis focused on human data with mention of mouse for orthology (0.15 weight)"
FLT4-VEGFC complex,Human,"The FLT4-VEGFC complex mediates lymphangiogenesis by binding vascular endothelial growth factor C (VEGFC) to its receptor FLT4 (also known as VEGFR3). This interaction triggers receptor dimerization and autophosphorylation, initiating intracellular signaling that promotes lymphatic endothelial cell proliferation, migration, and survival, crucial for the development and maintenance of the lymphatic vascular system. Additionally, it plays roles in pathological conditions involving lymphatic vessel remodeling such as cancer metastasis and lymphedema.",- Fms-related tyrosine kinase 4 (FLT4 / VEGFR3) - Vascular endothelial growth factor C (VEGFC),- FLT4 (gene encoding the receptor FLT4/VEGFR3) - VEGFC (gene encoding the ligand VEGFC),#NAME?,"0.94 **Rationale:** - Consistency across databases such as UniProt, NCBI, and literature supports the well-established FLT4-VEGFC ligand-receptor relationship and its role in lymphangiogenesis (0.30 * 1.0 = 0.30) - Strong experimental evidence from biochemical, genetic knock-out, and in vivo functional assays confirm the complex function (0.30 * 1.0 = 0.30) - Protein-gene assignments are unambiguous and experimentally validated (0.25 * 1.0 = 0.25) - The focus strictly on Human data, with mention of relevant conserved homologs in Mouse and Zebrafish, avoids overgeneralization (0.15 * 0.63 ≈ 0.09) Total = 0.30 + 0.30 + 0.25 + 0.09 = 0.94"
,,,,,,
